Period Ending:,202231/08,202131/08,202031/08,201931/08
Total Current Assets,1561,2030,2356.49,1883.34
"Cash and Short Term Investments 951 1440 1850.05 1321.14  Cash - - - -  Cash & Equivalents 951 1440 1850.05 1321.14  Short Term Investments - - - -  Total Receivables, Net 214 143 122.63 139.22  Accounts Receivables - Trade, Net 214 143 122.63 139.22  Total Inventory 80 60 61.75 47.98  Prepaid Expenses 186 179 200 224.67  Other Current Assets, Total 130 208 122.06 150.34","Cash and Short Term Investments 951 1440 1850.05 1321.14  Cash - - - -  Cash & Equivalents 951 1440 1850.05 1321.14  Short Term Investments - - - -  Total Receivables, Net 214 143 122.63 139.22  Accounts Receivables - Trade, Net 214 143 122.63 139.22  Total Inventory 80 60 61.75 47.98  Prepaid Expenses 186 179 200 224.67  Other Current Assets, Total 130 208 122.06 150.34","Cash and Short Term Investments 951 1440 1850.05 1321.14  Cash - - - -  Cash & Equivalents 951 1440 1850.05 1321.14  Short Term Investments - - - -  Total Receivables, Net 214 143 122.63 139.22  Accounts Receivables - Trade, Net 214 143 122.63 139.22  Total Inventory 80 60 61.75 47.98  Prepaid Expenses 186 179 200 224.67  Other Current Assets, Total 130 208 122.06 150.34","Cash and Short Term Investments 951 1440 1850.05 1321.14  Cash - - - -  Cash & Equivalents 951 1440 1850.05 1321.14  Short Term Investments - - - -  Total Receivables, Net 214 143 122.63 139.22  Accounts Receivables - Trade, Net 214 143 122.63 139.22  Total Inventory 80 60 61.75 47.98  Prepaid Expenses 186 179 200 224.67  Other Current Assets, Total 130 208 122.06 150.34","Cash and Short Term Investments 951 1440 1850.05 1321.14  Cash - - - -  Cash & Equivalents 951 1440 1850.05 1321.14  Short Term Investments - - - -  Total Receivables, Net 214 143 122.63 139.22  Accounts Receivables - Trade, Net 214 143 122.63 139.22  Total Inventory 80 60 61.75 47.98  Prepaid Expenses 186 179 200 224.67  Other Current Assets, Total 130 208 122.06 150.34"
Cash and Short Term Investments,951,1440,1850.05,1321.14
Cash,-,-,-,-
Cash & Equivalents,951,1440,1850.05,1321.14
Short Term Investments,-,-,-,-
"Total Receivables, Net",214,143,122.63,139.22
"Accounts Receivables - Trade, Net",214,143,122.63,139.22
Total Inventory,80,60,61.75,47.98
Prepaid Expenses,186,179,200,224.67
"Other Current Assets, Total",130,208,122.06,150.34
Total Assets,4501,4942,5785.48,5471.7
