Period Ending:,202231/03,202131/03,202031/03,201931/03
Total Current Assets,2555.82,2850.29,2501.53,3168.58
"Cash and Short Term Investments 129.38 113.43 44.74 859.76  Cash - - - -  Cash & Equivalents 129.38 113.43 44.74 859.76  Short Term Investments - - - -  Total Receivables, Net 1358.74 1557.36 1381.44 1032.64  Accounts Receivables - Trade, Net 1353.84 1442.46 1367.57 1025.3  Total Inventory 989.55 1119.44 1008.27 1190.05  Prepaid Expenses 57.22 47.73 40.38 37.59  Other Current Assets, Total 20.92 12.33 26.69 48.54","Cash and Short Term Investments 129.38 113.43 44.74 859.76  Cash - - - -  Cash & Equivalents 129.38 113.43 44.74 859.76  Short Term Investments - - - -  Total Receivables, Net 1358.74 1557.36 1381.44 1032.64  Accounts Receivables - Trade, Net 1353.84 1442.46 1367.57 1025.3  Total Inventory 989.55 1119.44 1008.27 1190.05  Prepaid Expenses 57.22 47.73 40.38 37.59  Other Current Assets, Total 20.92 12.33 26.69 48.54","Cash and Short Term Investments 129.38 113.43 44.74 859.76  Cash - - - -  Cash & Equivalents 129.38 113.43 44.74 859.76  Short Term Investments - - - -  Total Receivables, Net 1358.74 1557.36 1381.44 1032.64  Accounts Receivables - Trade, Net 1353.84 1442.46 1367.57 1025.3  Total Inventory 989.55 1119.44 1008.27 1190.05  Prepaid Expenses 57.22 47.73 40.38 37.59  Other Current Assets, Total 20.92 12.33 26.69 48.54","Cash and Short Term Investments 129.38 113.43 44.74 859.76  Cash - - - -  Cash & Equivalents 129.38 113.43 44.74 859.76  Short Term Investments - - - -  Total Receivables, Net 1358.74 1557.36 1381.44 1032.64  Accounts Receivables - Trade, Net 1353.84 1442.46 1367.57 1025.3  Total Inventory 989.55 1119.44 1008.27 1190.05  Prepaid Expenses 57.22 47.73 40.38 37.59  Other Current Assets, Total 20.92 12.33 26.69 48.54","Cash and Short Term Investments 129.38 113.43 44.74 859.76  Cash - - - -  Cash & Equivalents 129.38 113.43 44.74 859.76  Short Term Investments - - - -  Total Receivables, Net 1358.74 1557.36 1381.44 1032.64  Accounts Receivables - Trade, Net 1353.84 1442.46 1367.57 1025.3  Total Inventory 989.55 1119.44 1008.27 1190.05  Prepaid Expenses 57.22 47.73 40.38 37.59  Other Current Assets, Total 20.92 12.33 26.69 48.54"
Cash and Short Term Investments,129.38,113.43,44.74,859.76
Cash,-,-,-,-
Cash & Equivalents,129.38,113.43,44.74,859.76
Short Term Investments,-,-,-,-
"Total Receivables, Net",1358.74,1557.36,1381.44,1032.64
"Accounts Receivables - Trade, Net",1353.84,1442.46,1367.57,1025.3
Total Inventory,989.55,1119.44,1008.27,1190.05
Prepaid Expenses,57.22,47.73,40.38,37.59
"Other Current Assets, Total",20.92,12.33,26.69,48.54
Total Assets,4352.44,4715.75,4871.46,5653.78
"Property/Plant/Equipment, Total - Net 793.14 812.08 859.96 898.68  Property/Plant/Equipment, Total - Gross 4313.61 4309.52 4311.93 4313.13  Accumulated Depreciation, Total -3520.46 -3497.44 -3451.97 -3414.45  Goodwill, Net - - - -  Intangibles, Net 32.9 36.05 53.96 69.65  Long Term Investments - - 340.89 394.46  Note Receivable - Long Term 55.9 61.68 72.45 79.29  Other Long Term Assets, Total 914.69 955.66 1042.68 1043.12  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 793.14 812.08 859.96 898.68  Property/Plant/Equipment, Total - Gross 4313.61 4309.52 4311.93 4313.13  Accumulated Depreciation, Total -3520.46 -3497.44 -3451.97 -3414.45  Goodwill, Net - - - -  Intangibles, Net 32.9 36.05 53.96 69.65  Long Term Investments - - 340.89 394.46  Note Receivable - Long Term 55.9 61.68 72.45 79.29  Other Long Term Assets, Total 914.69 955.66 1042.68 1043.12  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 793.14 812.08 859.96 898.68  Property/Plant/Equipment, Total - Gross 4313.61 4309.52 4311.93 4313.13  Accumulated Depreciation, Total -3520.46 -3497.44 -3451.97 -3414.45  Goodwill, Net - - - -  Intangibles, Net 32.9 36.05 53.96 69.65  Long Term Investments - - 340.89 394.46  Note Receivable - Long Term 55.9 61.68 72.45 79.29  Other Long Term Assets, Total 914.69 955.66 1042.68 1043.12  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 793.14 812.08 859.96 898.68  Property/Plant/Equipment, Total - Gross 4313.61 4309.52 4311.93 4313.13  Accumulated Depreciation, Total -3520.46 -3497.44 -3451.97 -3414.45  Goodwill, Net - - - -  Intangibles, Net 32.9 36.05 53.96 69.65  Long Term Investments - - 340.89 394.46  Note Receivable - Long Term 55.9 61.68 72.45 79.29  Other Long Term Assets, Total 914.69 955.66 1042.68 1043.12  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 793.14 812.08 859.96 898.68  Property/Plant/Equipment, Total - Gross 4313.61 4309.52 4311.93 4313.13  Accumulated Depreciation, Total -3520.46 -3497.44 -3451.97 -3414.45  Goodwill, Net - - - -  Intangibles, Net 32.9 36.05 53.96 69.65  Long Term Investments - - 340.89 394.46  Note Receivable - Long Term 55.9 61.68 72.45 79.29  Other Long Term Assets, Total 914.69 955.66 1042.68 1043.12  Other Assets, Total - - - -"
"Property/Plant/Equipment, Total - Net",793.14,812.08,859.96,898.68
"Property/Plant/Equipment, Total - Gross",4313.61,4309.52,4311.93,4313.13
"Accumulated Depreciation, Total",-3520.46,-3497.44,-3451.97,-3414.45
"Goodwill, Net",-,-,-,-
"Intangibles, Net",32.9,36.05,53.96,69.65
Long Term Investments,-,-,340.89,394.46
Note Receivable - Long Term,55.9,61.68,72.45,79.29
"Other Long Term Assets, Total",914.69,955.66,1042.68,1043.12
"Other Assets, Total",-,-,-,-
Total Current Liabilities,1454.16,2201.32,2091.8,2357.9
"Accounts Payable 228.35 478.75 354.61 225.59  Payable/Accrued - - - -  Accrued Expenses 389.06 453.29 293.91 318.99  Notes Payable/Short Term Debt 261.88 358.27 654.67 630  Current Port. of LT Debt/Capital Leases 342.67 506.01 602 922.51  Other Current liabilities, Total 232.19 405 186.61 260.81","Accounts Payable 228.35 478.75 354.61 225.59  Payable/Accrued - - - -  Accrued Expenses 389.06 453.29 293.91 318.99  Notes Payable/Short Term Debt 261.88 358.27 654.67 630  Current Port. of LT Debt/Capital Leases 342.67 506.01 602 922.51  Other Current liabilities, Total 232.19 405 186.61 260.81","Accounts Payable 228.35 478.75 354.61 225.59  Payable/Accrued - - - -  Accrued Expenses 389.06 453.29 293.91 318.99  Notes Payable/Short Term Debt 261.88 358.27 654.67 630  Current Port. of LT Debt/Capital Leases 342.67 506.01 602 922.51  Other Current liabilities, Total 232.19 405 186.61 260.81","Accounts Payable 228.35 478.75 354.61 225.59  Payable/Accrued - - - -  Accrued Expenses 389.06 453.29 293.91 318.99  Notes Payable/Short Term Debt 261.88 358.27 654.67 630  Current Port. of LT Debt/Capital Leases 342.67 506.01 602 922.51  Other Current liabilities, Total 232.19 405 186.61 260.81","Accounts Payable 228.35 478.75 354.61 225.59  Payable/Accrued - - - -  Accrued Expenses 389.06 453.29 293.91 318.99  Notes Payable/Short Term Debt 261.88 358.27 654.67 630  Current Port. of LT Debt/Capital Leases 342.67 506.01 602 922.51  Other Current liabilities, Total 232.19 405 186.61 260.81"
Accounts Payable,228.35,478.75,354.61,225.59
Payable/Accrued,-,-,-,-
Accrued Expenses,389.06,453.29,293.91,318.99
Notes Payable/Short Term Debt,261.88,358.27,654.67,630
Current Port. of LT Debt/Capital Leases,342.67,506.01,602,922.51
"Other Current liabilities, Total",232.19,405,186.61,260.81
Total Liabilities,2085.07,3166.45,3369.95,4258.06
