Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,3666,2267,2397.14,1874.51
"Cash and Short Term Investments 3218 1644 1893.13 1345  Cash - - - -  Cash & Equivalents 3218 1644 1893.13 1345  Short Term Investments - - - -  Total Receivables, Net 246 352 291.07 277.8  Accounts Receivables - Trade, Net 246 352 291.07 277.8  Total Inventory 75 83 96.69 129.33  Prepaid Expenses 112 122 93.09 95.12  Other Current Assets, Total 15 66 23.16 27.27","Cash and Short Term Investments 3218 1644 1893.13 1345  Cash - - - -  Cash & Equivalents 3218 1644 1893.13 1345  Short Term Investments - - - -  Total Receivables, Net 246 352 291.07 277.8  Accounts Receivables - Trade, Net 246 352 291.07 277.8  Total Inventory 75 83 96.69 129.33  Prepaid Expenses 112 122 93.09 95.12  Other Current Assets, Total 15 66 23.16 27.27","Cash and Short Term Investments 3218 1644 1893.13 1345  Cash - - - -  Cash & Equivalents 3218 1644 1893.13 1345  Short Term Investments - - - -  Total Receivables, Net 246 352 291.07 277.8  Accounts Receivables - Trade, Net 246 352 291.07 277.8  Total Inventory 75 83 96.69 129.33  Prepaid Expenses 112 122 93.09 95.12  Other Current Assets, Total 15 66 23.16 27.27","Cash and Short Term Investments 3218 1644 1893.13 1345  Cash - - - -  Cash & Equivalents 3218 1644 1893.13 1345  Short Term Investments - - - -  Total Receivables, Net 246 352 291.07 277.8  Accounts Receivables - Trade, Net 246 352 291.07 277.8  Total Inventory 75 83 96.69 129.33  Prepaid Expenses 112 122 93.09 95.12  Other Current Assets, Total 15 66 23.16 27.27","Cash and Short Term Investments 3218 1644 1893.13 1345  Cash - - - -  Cash & Equivalents 3218 1644 1893.13 1345  Short Term Investments - - - -  Total Receivables, Net 246 352 291.07 277.8  Accounts Receivables - Trade, Net 246 352 291.07 277.8  Total Inventory 75 83 96.69 129.33  Prepaid Expenses 112 122 93.09 95.12  Other Current Assets, Total 15 66 23.16 27.27"
Cash and Short Term Investments,3218,1644,1893.13,1345
Cash,-,-,-,-
Cash & Equivalents,3218,1644,1893.13,1345
Short Term Investments,-,-,-,-
"Total Receivables, Net",246,352,291.07,277.8
"Accounts Receivables - Trade, Net",246,352,291.07,277.8
Total Inventory,75,83,96.69,129.33
Prepaid Expenses,112,122,93.09,95.12
"Other Current Assets, Total",15,66,23.16,27.27
Total Assets,8618,8854,8403.1,7866.23
"Property/Plant/Equipment, Total - Net 2682 4109 3784.98 3705.7  Property/Plant/Equipment, Total - Gross - 5687.78 5183.18 4962.47  Accumulated Depreciation, Total - -1578.61 -1398.2 -1256.77  Goodwill, Net 1507 1648 1393.66 1496.99  Intangibles, Net 331 337 345.26 392.27  Long Term Investments 274 356 15.88 17.88  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 1 466.18 378.88  Other Assets, Total 1 -67 - -","Property/Plant/Equipment, Total - Net 2682 4109 3784.98 3705.7  Property/Plant/Equipment, Total - Gross - 5687.78 5183.18 4962.47  Accumulated Depreciation, Total - -1578.61 -1398.2 -1256.77  Goodwill, Net 1507 1648 1393.66 1496.99  Intangibles, Net 331 337 345.26 392.27  Long Term Investments 274 356 15.88 17.88  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 1 466.18 378.88  Other Assets, Total 1 -67 - -","Property/Plant/Equipment, Total - Net 2682 4109 3784.98 3705.7  Property/Plant/Equipment, Total - Gross - 5687.78 5183.18 4962.47  Accumulated Depreciation, Total - -1578.61 -1398.2 -1256.77  Goodwill, Net 1507 1648 1393.66 1496.99  Intangibles, Net 331 337 345.26 392.27  Long Term Investments 274 356 15.88 17.88  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 1 466.18 378.88  Other Assets, Total 1 -67 - -","Property/Plant/Equipment, Total - Net 2682 4109 3784.98 3705.7  Property/Plant/Equipment, Total - Gross - 5687.78 5183.18 4962.47  Accumulated Depreciation, Total - -1578.61 -1398.2 -1256.77  Goodwill, Net 1507 1648 1393.66 1496.99  Intangibles, Net 331 337 345.26 392.27  Long Term Investments 274 356 15.88 17.88  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 1 466.18 378.88  Other Assets, Total 1 -67 - -","Property/Plant/Equipment, Total - Net 2682 4109 3784.98 3705.7  Property/Plant/Equipment, Total - Gross - 5687.78 5183.18 4962.47  Accumulated Depreciation, Total - -1578.61 -1398.2 -1256.77  Goodwill, Net 1507 1648 1393.66 1496.99  Intangibles, Net 331 337 345.26 392.27  Long Term Investments 274 356 15.88 17.88  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 1 466.18 378.88  Other Assets, Total 1 -67 - -"
"Property/Plant/Equipment, Total - Net",2682,4109,3784.98,3705.7
"Property/Plant/Equipment, Total - Gross",-,5687.78,5183.18,4962.47
"Accumulated Depreciation, Total",-,-1578.61,-1398.2,-1256.77
"Goodwill, Net",1507,1648,1393.66,1496.99
"Intangibles, Net",331,337,345.26,392.27
Long Term Investments,274,356,15.88,17.88
Note Receivable - Long Term,-,-,-,-
"Other Long Term Assets, Total",1,1,466.18,378.88
"Other Assets, Total",1,-67,-,-
Total Current Liabilities,3108,3014,2871.27,2494.04
"Accounts Payable 18 25 18.67 14.68  Payable/Accrued - - - -  Accrued Expenses 264 273 272.46 223.42  Notes Payable/Short Term Debt - 675 775 853  Current Port. of LT Debt/Capital Leases 31 144 81.7 46.14  Other Current liabilities, Total 2795 1897 1723.44 1356.8","Accounts Payable 18 25 18.67 14.68  Payable/Accrued - - - -  Accrued Expenses 264 273 272.46 223.42  Notes Payable/Short Term Debt - 675 775 853  Current Port. of LT Debt/Capital Leases 31 144 81.7 46.14  Other Current liabilities, Total 2795 1897 1723.44 1356.8","Accounts Payable 18 25 18.67 14.68  Payable/Accrued - - - -  Accrued Expenses 264 273 272.46 223.42  Notes Payable/Short Term Debt - 675 775 853  Current Port. of LT Debt/Capital Leases 31 144 81.7 46.14  Other Current liabilities, Total 2795 1897 1723.44 1356.8","Accounts Payable 18 25 18.67 14.68  Payable/Accrued - - - -  Accrued Expenses 264 273 272.46 223.42  Notes Payable/Short Term Debt - 675 775 853  Current Port. of LT Debt/Capital Leases 31 144 81.7 46.14  Other Current liabilities, Total 2795 1897 1723.44 1356.8","Accounts Payable 18 25 18.67 14.68  Payable/Accrued - - - -  Accrued Expenses 264 273 272.46 223.42  Notes Payable/Short Term Debt - 675 775 853  Current Port. of LT Debt/Capital Leases 31 144 81.7 46.14  Other Current liabilities, Total 2795 1897 1723.44 1356.8"
Accounts Payable,18,25,18.67,14.68
Payable/Accrued,-,-,-,-
Accrued Expenses,264,273,272.46,223.42
Notes Payable/Short Term Debt,-,675,775,853
Current Port. of LT Debt/Capital Leases,31,144,81.7,46.14
"Other Current liabilities, Total",2795,1897,1723.44,1356.8
Total Liabilities,3615,4426,3916.34,3328.35
