Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,6409.32,5524,5915.49,4281.21
"Cash and Short Term Investments 3755.03 3357 3149.7 2559.27  Cash - - - -  Cash & Equivalents 3755.03 3357 3149.7 2559.27  Short Term Investments - - - -  Total Receivables, Net 2460.68 2025 1516.25 1271.39  Accounts Receivables - Trade, Net 2460.68 2025 1516.25 1271.39  Total Inventory 4.48 6 1117.9 365.43  Prepaid Expenses 80.42 78 81.8 66.22  Other Current Assets, Total 108.71 58 49.84 18.89","Cash and Short Term Investments 3755.03 3357 3149.7 2559.27  Cash - - - -  Cash & Equivalents 3755.03 3357 3149.7 2559.27  Short Term Investments - - - -  Total Receivables, Net 2460.68 2025 1516.25 1271.39  Accounts Receivables - Trade, Net 2460.68 2025 1516.25 1271.39  Total Inventory 4.48 6 1117.9 365.43  Prepaid Expenses 80.42 78 81.8 66.22  Other Current Assets, Total 108.71 58 49.84 18.89","Cash and Short Term Investments 3755.03 3357 3149.7 2559.27  Cash - - - -  Cash & Equivalents 3755.03 3357 3149.7 2559.27  Short Term Investments - - - -  Total Receivables, Net 2460.68 2025 1516.25 1271.39  Accounts Receivables - Trade, Net 2460.68 2025 1516.25 1271.39  Total Inventory 4.48 6 1117.9 365.43  Prepaid Expenses 80.42 78 81.8 66.22  Other Current Assets, Total 108.71 58 49.84 18.89","Cash and Short Term Investments 3755.03 3357 3149.7 2559.27  Cash - - - -  Cash & Equivalents 3755.03 3357 3149.7 2559.27  Short Term Investments - - - -  Total Receivables, Net 2460.68 2025 1516.25 1271.39  Accounts Receivables - Trade, Net 2460.68 2025 1516.25 1271.39  Total Inventory 4.48 6 1117.9 365.43  Prepaid Expenses 80.42 78 81.8 66.22  Other Current Assets, Total 108.71 58 49.84 18.89","Cash and Short Term Investments 3755.03 3357 3149.7 2559.27  Cash - - - -  Cash & Equivalents 3755.03 3357 3149.7 2559.27  Short Term Investments - - - -  Total Receivables, Net 2460.68 2025 1516.25 1271.39  Accounts Receivables - Trade, Net 2460.68 2025 1516.25 1271.39  Total Inventory 4.48 6 1117.9 365.43  Prepaid Expenses 80.42 78 81.8 66.22  Other Current Assets, Total 108.71 58 49.84 18.89"
Cash and Short Term Investments,3755.03,3357,3149.7,2559.27
Cash,-,-,-,-
Cash & Equivalents,3755.03,3357,3149.7,2559.27
Short Term Investments,-,-,-,-
"Total Receivables, Net",2460.68,2025,1516.25,1271.39
"Accounts Receivables - Trade, Net",2460.68,2025,1516.25,1271.39
Total Inventory,4.48,6,1117.9,365.43
Prepaid Expenses,80.42,78,81.8,66.22
"Other Current Assets, Total",108.71,58,49.84,18.89
Total Assets,8451.94,5874,6486.3,4700.31
"Property/Plant/Equipment, Total - Net 126.8 24 82.73 127.47  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net 1524.41 - - -  Intangibles, Net 2.32 0.58 1.01 0.58  Long Term Investments 80.42 257 109.91 30.08  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 222.24 2 377.17 260.96  Other Assets, Total -2261.07 -1894 - -","Property/Plant/Equipment, Total - Net 126.8 24 82.73 127.47  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net 1524.41 - - -  Intangibles, Net 2.32 0.58 1.01 0.58  Long Term Investments 80.42 257 109.91 30.08  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 222.24 2 377.17 260.96  Other Assets, Total -2261.07 -1894 - -","Property/Plant/Equipment, Total - Net 126.8 24 82.73 127.47  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net 1524.41 - - -  Intangibles, Net 2.32 0.58 1.01 0.58  Long Term Investments 80.42 257 109.91 30.08  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 222.24 2 377.17 260.96  Other Assets, Total -2261.07 -1894 - -","Property/Plant/Equipment, Total - Net 126.8 24 82.73 127.47  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net 1524.41 - - -  Intangibles, Net 2.32 0.58 1.01 0.58  Long Term Investments 80.42 257 109.91 30.08  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 222.24 2 377.17 260.96  Other Assets, Total -2261.07 -1894 - -","Property/Plant/Equipment, Total - Net 126.8 24 82.73 127.47  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net 1524.41 - - -  Intangibles, Net 2.32 0.58 1.01 0.58  Long Term Investments 80.42 257 109.91 30.08  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 222.24 2 377.17 260.96  Other Assets, Total -2261.07 -1894 - -"
"Property/Plant/Equipment, Total - Net",126.8,24,82.73,127.47
"Property/Plant/Equipment, Total - Gross",-,-,-,-
"Accumulated Depreciation, Total",-,-,-,-
"Goodwill, Net",1524.41,-,-,-
"Intangibles, Net",2.32,0.58,1.01,0.58
Long Term Investments,80.42,257,109.91,30.08
Note Receivable - Long Term,-,-,-,-
"Other Long Term Assets, Total",222.24,2,377.17,260.96
"Other Assets, Total",-2261.07,-1894,-,-
Total Current Liabilities,2376.94,1398,2646.67,1285.36
"Accounts Payable 1390.06 1034 858.14 811.91  Payable/Accrued - - - -  Accrued Expenses 451.72 51 173.04 67.28  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 226.02 14 11.72 13.15  Other Current liabilities, Total 309.14 299 1603.77 393.02","Accounts Payable 1390.06 1034 858.14 811.91  Payable/Accrued - - - -  Accrued Expenses 451.72 51 173.04 67.28  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 226.02 14 11.72 13.15  Other Current liabilities, Total 309.14 299 1603.77 393.02","Accounts Payable 1390.06 1034 858.14 811.91  Payable/Accrued - - - -  Accrued Expenses 451.72 51 173.04 67.28  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 226.02 14 11.72 13.15  Other Current liabilities, Total 309.14 299 1603.77 393.02","Accounts Payable 1390.06 1034 858.14 811.91  Payable/Accrued - - - -  Accrued Expenses 451.72 51 173.04 67.28  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 226.02 14 11.72 13.15  Other Current liabilities, Total 309.14 299 1603.77 393.02","Accounts Payable 1390.06 1034 858.14 811.91  Payable/Accrued - - - -  Accrued Expenses 451.72 51 173.04 67.28  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 226.02 14 11.72 13.15  Other Current liabilities, Total 309.14 299 1603.77 393.02"
Accounts Payable,1390.06,1034,858.14,811.91
Payable/Accrued,-,-,-,-
Accrued Expenses,451.72,51,173.04,67.28
Notes Payable/Short Term Debt,-,-,-,-
Current Port. of LT Debt/Capital Leases,226.02,14,11.72,13.15
"Other Current liabilities, Total",309.14,299,1603.77,393.02
Total Liabilities,4012.86,1404,2655.82,1344.24
