Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,11890,12891,10138.05,6654.31
"Cash and Short Term Investments 3389 2737 2382.16 1899.48  Cash - - - -  Cash & Equivalents 3389 2737 2382.16 1899.48  Short Term Investments - - - -  Total Receivables, Net 3727 4838 3651.47 2156.26  Accounts Receivables - Trade, Net 3727 4838 3651.47 2156.26  Total Inventory 3892 4512 3242.98 2200.89  Prepaid Expenses 436 429 551.49 204.01  Other Current Assets, Total 446 375 309.95 193.67","Cash and Short Term Investments 3389 2737 2382.16 1899.48  Cash - - - -  Cash & Equivalents 3389 2737 2382.16 1899.48  Short Term Investments - - - -  Total Receivables, Net 3727 4838 3651.47 2156.26  Accounts Receivables - Trade, Net 3727 4838 3651.47 2156.26  Total Inventory 3892 4512 3242.98 2200.89  Prepaid Expenses 436 429 551.49 204.01  Other Current Assets, Total 446 375 309.95 193.67","Cash and Short Term Investments 3389 2737 2382.16 1899.48  Cash - - - -  Cash & Equivalents 3389 2737 2382.16 1899.48  Short Term Investments - - - -  Total Receivables, Net 3727 4838 3651.47 2156.26  Accounts Receivables - Trade, Net 3727 4838 3651.47 2156.26  Total Inventory 3892 4512 3242.98 2200.89  Prepaid Expenses 436 429 551.49 204.01  Other Current Assets, Total 446 375 309.95 193.67","Cash and Short Term Investments 3389 2737 2382.16 1899.48  Cash - - - -  Cash & Equivalents 3389 2737 2382.16 1899.48  Short Term Investments - - - -  Total Receivables, Net 3727 4838 3651.47 2156.26  Accounts Receivables - Trade, Net 3727 4838 3651.47 2156.26  Total Inventory 3892 4512 3242.98 2200.89  Prepaid Expenses 436 429 551.49 204.01  Other Current Assets, Total 446 375 309.95 193.67","Cash and Short Term Investments 3389 2737 2382.16 1899.48  Cash - - - -  Cash & Equivalents 3389 2737 2382.16 1899.48  Short Term Investments - - - -  Total Receivables, Net 3727 4838 3651.47 2156.26  Accounts Receivables - Trade, Net 3727 4838 3651.47 2156.26  Total Inventory 3892 4512 3242.98 2200.89  Prepaid Expenses 436 429 551.49 204.01  Other Current Assets, Total 446 375 309.95 193.67"
Cash and Short Term Investments,3389,2737,2382.16,1899.48
Cash,-,-,-,-
Cash & Equivalents,3389,2737,2382.16,1899.48
Short Term Investments,-,-,-,-
"Total Receivables, Net",3727,4838,3651.47,2156.26
"Accounts Receivables - Trade, Net",3727,4838,3651.47,2156.26
Total Inventory,3892,4512,3242.98,2200.89
Prepaid Expenses,436,429,551.49,204.01
