Period Ending:,202231/12,202131/12,202031/12,202031/03
Total Current Assets,52850,60002,60074.44,66885.55
"Cash and Short Term Investments 23140 17264 20897.44 21850.51  Cash - - - -  Cash & Equivalents 23140 17264 20897.44 21850.51  Short Term Investments - - - -  Total Receivables, Net 273 205 198.38 146.78  Accounts Receivables - Trade, Net 273 205 198.38 146.78  Total Inventory 28192 41995 38387.85 43493.1  Prepaid Expenses 131 438 474.04 1305.73  Other Current Assets, Total 1114 100 116.74 89.43","Cash and Short Term Investments 23140 17264 20897.44 21850.51  Cash - - - -  Cash & Equivalents 23140 17264 20897.44 21850.51  Short Term Investments - - - -  Total Receivables, Net 273 205 198.38 146.78  Accounts Receivables - Trade, Net 273 205 198.38 146.78  Total Inventory 28192 41995 38387.85 43493.1  Prepaid Expenses 131 438 474.04 1305.73  Other Current Assets, Total 1114 100 116.74 89.43","Cash and Short Term Investments 23140 17264 20897.44 21850.51  Cash - - - -  Cash & Equivalents 23140 17264 20897.44 21850.51  Short Term Investments - - - -  Total Receivables, Net 273 205 198.38 146.78  Accounts Receivables - Trade, Net 273 205 198.38 146.78  Total Inventory 28192 41995 38387.85 43493.1  Prepaid Expenses 131 438 474.04 1305.73  Other Current Assets, Total 1114 100 116.74 89.43","Cash and Short Term Investments 23140 17264 20897.44 21850.51  Cash - - - -  Cash & Equivalents 23140 17264 20897.44 21850.51  Short Term Investments - - - -  Total Receivables, Net 273 205 198.38 146.78  Accounts Receivables - Trade, Net 273 205 198.38 146.78  Total Inventory 28192 41995 38387.85 43493.1  Prepaid Expenses 131 438 474.04 1305.73  Other Current Assets, Total 1114 100 116.74 89.43","Cash and Short Term Investments 23140 17264 20897.44 21850.51  Cash - - - -  Cash & Equivalents 23140 17264 20897.44 21850.51  Short Term Investments - - - -  Total Receivables, Net 273 205 198.38 146.78  Accounts Receivables - Trade, Net 273 205 198.38 146.78  Total Inventory 28192 41995 38387.85 43493.1  Prepaid Expenses 131 438 474.04 1305.73  Other Current Assets, Total 1114 100 116.74 89.43"
Cash and Short Term Investments,23140,17264,20897.44,21850.51
Cash,-,-,-,-
Cash & Equivalents,23140,17264,20897.44,21850.51
Short Term Investments,-,-,-,-
"Total Receivables, Net",273,205,198.38,146.78
"Accounts Receivables - Trade, Net",273,205,198.38,146.78
Total Inventory,28192,41995,38387.85,43493.1
Prepaid Expenses,131,438,474.04,1305.73
