Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Current Assets,1528,1371.46,1107.71,403.11
"Cash and Short Term Investments 1435 1291.24 1037.86 332.8  Cash - - - -  Cash & Equivalents 1435 1291.24 1037.86 332.8  Short Term Investments 51.5 - - -  Total Receivables, Net 47.37 40.9 33.53 35.24  Accounts Receivables - Trade, Net 47 40.9 33.53 35.24  Total Inventory 0.535 0.22 1.21 0.17  Prepaid Expenses - - - 30.68  Other Current Assets, Total 46 39.11 35.11 4.23","Cash and Short Term Investments 1435 1291.24 1037.86 332.8  Cash - - - -  Cash & Equivalents 1435 1291.24 1037.86 332.8  Short Term Investments 51.5 - - -  Total Receivables, Net 47.37 40.9 33.53 35.24  Accounts Receivables - Trade, Net 47 40.9 33.53 35.24  Total Inventory 0.535 0.22 1.21 0.17  Prepaid Expenses - - - 30.68  Other Current Assets, Total 46 39.11 35.11 4.23","Cash and Short Term Investments 1435 1291.24 1037.86 332.8  Cash - - - -  Cash & Equivalents 1435 1291.24 1037.86 332.8  Short Term Investments 51.5 - - -  Total Receivables, Net 47.37 40.9 33.53 35.24  Accounts Receivables - Trade, Net 47 40.9 33.53 35.24  Total Inventory 0.535 0.22 1.21 0.17  Prepaid Expenses - - - 30.68  Other Current Assets, Total 46 39.11 35.11 4.23","Cash and Short Term Investments 1435 1291.24 1037.86 332.8  Cash - - - -  Cash & Equivalents 1435 1291.24 1037.86 332.8  Short Term Investments 51.5 - - -  Total Receivables, Net 47.37 40.9 33.53 35.24  Accounts Receivables - Trade, Net 47 40.9 33.53 35.24  Total Inventory 0.535 0.22 1.21 0.17  Prepaid Expenses - - - 30.68  Other Current Assets, Total 46 39.11 35.11 4.23","Cash and Short Term Investments 1435 1291.24 1037.86 332.8  Cash - - - -  Cash & Equivalents 1435 1291.24 1037.86 332.8  Short Term Investments 51.5 - - -  Total Receivables, Net 47.37 40.9 33.53 35.24  Accounts Receivables - Trade, Net 47 40.9 33.53 35.24  Total Inventory 0.535 0.22 1.21 0.17  Prepaid Expenses - - - 30.68  Other Current Assets, Total 46 39.11 35.11 4.23"
Cash and Short Term Investments,1435,1291.24,1037.86,332.8
Cash,-,-,-,-
Cash & Equivalents,1435,1291.24,1037.86,332.8
Short Term Investments,51.5,-,-,-
"Total Receivables, Net",47.37,40.9,33.53,35.24
"Accounts Receivables - Trade, Net",47,40.9,33.53,35.24
Total Inventory,0.535,0.22,1.21,0.17
Prepaid Expenses,-,-,-,30.68
