Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Current Assets,963834,967276,717252,598146
"Cash and Short Term Investments 653160 80501 76161 73473  Cash - - - -  Cash & Equivalents 74396 66018 62000 61718  Short Term Investments 571343 14483 14161 11755  Total Receivables, Net 136597 131528 95720 89937  Accounts Receivables - Trade, Net 131549 766 610 854  Total Inventory - - - -  Prepaid Expenses - 651 534 601  Other Current Assets, Total 174077 754596 544837 434135","Cash and Short Term Investments 653160 80501 76161 73473  Cash - - - -  Cash & Equivalents 74396 66018 62000 61718  Short Term Investments 571343 14483 14161 11755  Total Receivables, Net 136597 131528 95720 89937  Accounts Receivables - Trade, Net 131549 766 610 854  Total Inventory - - - -  Prepaid Expenses - 651 534 601  Other Current Assets, Total 174077 754596 544837 434135","Cash and Short Term Investments 653160 80501 76161 73473  Cash - - - -  Cash & Equivalents 74396 66018 62000 61718  Short Term Investments 571343 14483 14161 11755  Total Receivables, Net 136597 131528 95720 89937  Accounts Receivables - Trade, Net 131549 766 610 854  Total Inventory - - - -  Prepaid Expenses - 651 534 601  Other Current Assets, Total 174077 754596 544837 434135","Cash and Short Term Investments 653160 80501 76161 73473  Cash - - - -  Cash & Equivalents 74396 66018 62000 61718  Short Term Investments 571343 14483 14161 11755  Total Receivables, Net 136597 131528 95720 89937  Accounts Receivables - Trade, Net 131549 766 610 854  Total Inventory - - - -  Prepaid Expenses - 651 534 601  Other Current Assets, Total 174077 754596 544837 434135","Cash and Short Term Investments 653160 80501 76161 73473  Cash - - - -  Cash & Equivalents 74396 66018 62000 61718  Short Term Investments 571343 14483 14161 11755  Total Receivables, Net 136597 131528 95720 89937  Accounts Receivables - Trade, Net 131549 766 610 854  Total Inventory - - - -  Prepaid Expenses - 651 534 601  Other Current Assets, Total 174077 754596 544837 434135"
Cash and Short Term Investments,653160,80501,76161,73473
Cash,-,-,-,-
Cash & Equivalents,74396,66018,62000,61718
Short Term Investments,571343,14483,14161,11755
"Total Receivables, Net",136597,131528,95720,89937
"Accounts Receivables - Trade, Net",131549,766,610,854
Total Inventory,-,-,-,-
Prepaid Expenses,-,651,534,601
"Other Current Assets, Total",174077,754596,544837,434135
Total Assets,991482,996049,725367,606528
"Property/Plant/Equipment, Total - Net 1868 1830 1136 1268  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net 9943 10990 285 448  Intangibles, Net 9710 10766 1921 2095  Long Term Investments 4748 3857 2866 3043  Note Receivable - Long Term 5048 25 27 50  Other Long Term Assets, Total 1052 1305 1880 1478  Other Assets, Total 616571 - - -","Property/Plant/Equipment, Total - Net 1868 1830 1136 1268  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net 9943 10990 285 448  Intangibles, Net 9710 10766 1921 2095  Long Term Investments 4748 3857 2866 3043  Note Receivable - Long Term 5048 25 27 50  Other Long Term Assets, Total 1052 1305 1880 1478  Other Assets, Total 616571 - - -","Property/Plant/Equipment, Total - Net 1868 1830 1136 1268  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net 9943 10990 285 448  Intangibles, Net 9710 10766 1921 2095  Long Term Investments 4748 3857 2866 3043  Note Receivable - Long Term 5048 25 27 50  Other Long Term Assets, Total 1052 1305 1880 1478  Other Assets, Total 616571 - - -","Property/Plant/Equipment, Total - Net 1868 1830 1136 1268  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net 9943 10990 285 448  Intangibles, Net 9710 10766 1921 2095  Long Term Investments 4748 3857 2866 3043  Note Receivable - Long Term 5048 25 27 50  Other Long Term Assets, Total 1052 1305 1880 1478  Other Assets, Total 616571 - - -","Property/Plant/Equipment, Total - Net 1868 1830 1136 1268  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net 9943 10990 285 448  Intangibles, Net 9710 10766 1921 2095  Long Term Investments 4748 3857 2866 3043  Note Receivable - Long Term 5048 25 27 50  Other Long Term Assets, Total 1052 1305 1880 1478  Other Assets, Total 616571 - - -"
"Property/Plant/Equipment, Total - Net",1868,1830,1136,1268
"Property/Plant/Equipment, Total - Gross",-,-,-,-
"Accumulated Depreciation, Total",-,-,-,-
"Goodwill, Net",9943,10990,285,448
"Intangibles, Net",9710,10766,1921,2095
Long Term Investments,4748,3857,2866,3043
Note Receivable - Long Term,5048,25,27,50
"Other Long Term Assets, Total",1052,1305,1880,1478
"Other Assets, Total",616571,-,-,-
