Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,143632,150588,129463,85192
"Cash and Short Term Investments 33696 42073 34054 23866  Cash - - - -  Cash & Equivalents 33696 42073 34054 23866  Short Term Investments - - - -  Total Receivables, Net 80937 72323 64622 36153  Accounts Receivables - Trade, Net 80937 72323 64622 25550  Total Inventory 27221 32372 25772 22319  Prepaid Expenses - - 232 277  Other Current Assets, Total 1778 3820 5015 2577","Cash and Short Term Investments 33696 42073 34054 23866  Cash - - - -  Cash & Equivalents 33696 42073 34054 23866  Short Term Investments - - - -  Total Receivables, Net 80937 72323 64622 36153  Accounts Receivables - Trade, Net 80937 72323 64622 25550  Total Inventory 27221 32372 25772 22319  Prepaid Expenses - - 232 277  Other Current Assets, Total 1778 3820 5015 2577","Cash and Short Term Investments 33696 42073 34054 23866  Cash - - - -  Cash & Equivalents 33696 42073 34054 23866  Short Term Investments - - - -  Total Receivables, Net 80937 72323 64622 36153  Accounts Receivables - Trade, Net 80937 72323 64622 25550  Total Inventory 27221 32372 25772 22319  Prepaid Expenses - - 232 277  Other Current Assets, Total 1778 3820 5015 2577","Cash and Short Term Investments 33696 42073 34054 23866  Cash - - - -  Cash & Equivalents 33696 42073 34054 23866  Short Term Investments - - - -  Total Receivables, Net 80937 72323 64622 36153  Accounts Receivables - Trade, Net 80937 72323 64622 25550  Total Inventory 27221 32372 25772 22319  Prepaid Expenses - - 232 277  Other Current Assets, Total 1778 3820 5015 2577","Cash and Short Term Investments 33696 42073 34054 23866  Cash - - - -  Cash & Equivalents 33696 42073 34054 23866  Short Term Investments - - - -  Total Receivables, Net 80937 72323 64622 36153  Accounts Receivables - Trade, Net 80937 72323 64622 25550  Total Inventory 27221 32372 25772 22319  Prepaid Expenses - - 232 277  Other Current Assets, Total 1778 3820 5015 2577"
Cash and Short Term Investments,33696,42073,34054,23866
Cash,-,-,-,-
Cash & Equivalents,33696,42073,34054,23866
Short Term Investments,-,-,-,-
"Total Receivables, Net",80937,72323,64622,36153
"Accounts Receivables - Trade, Net",80937,72323,64622,25550
Total Inventory,27221,32372,25772,22319
Prepaid Expenses,-,-,232,277
"Other Current Assets, Total",1778,3820,5015,2577
Total Assets,199633,208334,189178,147515
