Period Ending:,202231/03,202131/03,202031/03,201931/03
Total Current Assets,14348.24,15285.13,14948.14,15353.63
"Cash and Short Term Investments 6681.38 9133.48 8645.04 8733.7  Cash - - - -  Cash & Equivalents 6681.38 9133.48 8645.04 8733.7  Short Term Investments - - - -  Total Receivables, Net 5367.15 4374.88 4406.59 4513.38  Accounts Receivables - Trade, Net 2939.22 2777.4 2686.29 2412.1  Total Inventory 2224.13 1674.94 1811.11 2012.4  Prepaid Expenses 50.92 40.05 32.22 34.37  Other Current Assets, Total 24.67 61.77 53.17 59.77","Cash and Short Term Investments 6681.38 9133.48 8645.04 8733.7  Cash - - - -  Cash & Equivalents 6681.38 9133.48 8645.04 8733.7  Short Term Investments - - - -  Total Receivables, Net 5367.15 4374.88 4406.59 4513.38  Accounts Receivables - Trade, Net 2939.22 2777.4 2686.29 2412.1  Total Inventory 2224.13 1674.94 1811.11 2012.4  Prepaid Expenses 50.92 40.05 32.22 34.37  Other Current Assets, Total 24.67 61.77 53.17 59.77","Cash and Short Term Investments 6681.38 9133.48 8645.04 8733.7  Cash - - - -  Cash & Equivalents 6681.38 9133.48 8645.04 8733.7  Short Term Investments - - - -  Total Receivables, Net 5367.15 4374.88 4406.59 4513.38  Accounts Receivables - Trade, Net 2939.22 2777.4 2686.29 2412.1  Total Inventory 2224.13 1674.94 1811.11 2012.4  Prepaid Expenses 50.92 40.05 32.22 34.37  Other Current Assets, Total 24.67 61.77 53.17 59.77","Cash and Short Term Investments 6681.38 9133.48 8645.04 8733.7  Cash - - - -  Cash & Equivalents 6681.38 9133.48 8645.04 8733.7  Short Term Investments - - - -  Total Receivables, Net 5367.15 4374.88 4406.59 4513.38  Accounts Receivables - Trade, Net 2939.22 2777.4 2686.29 2412.1  Total Inventory 2224.13 1674.94 1811.11 2012.4  Prepaid Expenses 50.92 40.05 32.22 34.37  Other Current Assets, Total 24.67 61.77 53.17 59.77","Cash and Short Term Investments 6681.38 9133.48 8645.04 8733.7  Cash - - - -  Cash & Equivalents 6681.38 9133.48 8645.04 8733.7  Short Term Investments - - - -  Total Receivables, Net 5367.15 4374.88 4406.59 4513.38  Accounts Receivables - Trade, Net 2939.22 2777.4 2686.29 2412.1  Total Inventory 2224.13 1674.94 1811.11 2012.4  Prepaid Expenses 50.92 40.05 32.22 34.37  Other Current Assets, Total 24.67 61.77 53.17 59.77"
Cash and Short Term Investments,6681.38,9133.48,8645.04,8733.7
Cash,-,-,-,-
Cash & Equivalents,6681.38,9133.48,8645.04,8733.7
Short Term Investments,-,-,-,-
"Total Receivables, Net",5367.15,4374.88,4406.59,4513.38
"Accounts Receivables - Trade, Net",2939.22,2777.4,2686.29,2412.1
Total Inventory,2224.13,1674.94,1811.11,2012.4
Prepaid Expenses,50.92,40.05,32.22,34.37
"Other Current Assets, Total",24.67,61.77,53.17,59.77
Total Assets,20562.31,20824.23,19340.66,19643.43
"Property/Plant/Equipment, Total - Net 4935.05 4000.39 2979.1 2890.38  Property/Plant/Equipment, Total - Gross 11993.27 10717.44 9452.99 9023.29  Accumulated Depreciation, Total -7058.22 -6717.05 -6473.89 -6132.91  Goodwill, Net - - - -  Intangibles, Net 235.65 266.48 330.03 220.22  Long Term Investments 393.25 359.77 288.97 353.66  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 650.12 912.45 794.42 825.55  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 4935.05 4000.39 2979.1 2890.38  Property/Plant/Equipment, Total - Gross 11993.27 10717.44 9452.99 9023.29  Accumulated Depreciation, Total -7058.22 -6717.05 -6473.89 -6132.91  Goodwill, Net - - - -  Intangibles, Net 235.65 266.48 330.03 220.22  Long Term Investments 393.25 359.77 288.97 353.66  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 650.12 912.45 794.42 825.55  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 4935.05 4000.39 2979.1 2890.38  Property/Plant/Equipment, Total - Gross 11993.27 10717.44 9452.99 9023.29  Accumulated Depreciation, Total -7058.22 -6717.05 -6473.89 -6132.91  Goodwill, Net - - - -  Intangibles, Net 235.65 266.48 330.03 220.22  Long Term Investments 393.25 359.77 288.97 353.66  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 650.12 912.45 794.42 825.55  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 4935.05 4000.39 2979.1 2890.38  Property/Plant/Equipment, Total - Gross 11993.27 10717.44 9452.99 9023.29  Accumulated Depreciation, Total -7058.22 -6717.05 -6473.89 -6132.91  Goodwill, Net - - - -  Intangibles, Net 235.65 266.48 330.03 220.22  Long Term Investments 393.25 359.77 288.97 353.66  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 650.12 912.45 794.42 825.55  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 4935.05 4000.39 2979.1 2890.38  Property/Plant/Equipment, Total - Gross 11993.27 10717.44 9452.99 9023.29  Accumulated Depreciation, Total -7058.22 -6717.05 -6473.89 -6132.91  Goodwill, Net - - - -  Intangibles, Net 235.65 266.48 330.03 220.22  Long Term Investments 393.25 359.77 288.97 353.66  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 650.12 912.45 794.42 825.55  Other Assets, Total - - - -"
"Property/Plant/Equipment, Total - Net",4935.05,4000.39,2979.1,2890.38
"Property/Plant/Equipment, Total - Gross",11993.27,10717.44,9452.99,9023.29
"Accumulated Depreciation, Total",-7058.22,-6717.05,-6473.89,-6132.91
"Goodwill, Net",-,-,-,-
"Intangibles, Net",235.65,266.48,330.03,220.22
Long Term Investments,393.25,359.77,288.97,353.66
Note Receivable - Long Term,-,-,-,-
"Other Long Term Assets, Total",650.12,912.45,794.42,825.55
"Other Assets, Total",-,-,-,-
Total Current Liabilities,4092.02,4691.23,4049.41,4699.5
