Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Current Assets,606370,530253,467198,446314
"Cash and Short Term Investments 203748 177907 168197 149764  Cash - - - -  Cash & Equivalents 200630 176655 167480 143564  Short Term Investments 3118 1252 717 6200  Total Receivables, Net 270969 250933 206806 198681  Accounts Receivables - Trade, Net 270969 221966 177242 174795  Total Inventory 106086 87807 79260 84916  Prepaid Expenses - 11656 11830 11441  Other Current Assets, Total 25567 1950 1105 1512","Cash and Short Term Investments 203748 177907 168197 149764  Cash - - - -  Cash & Equivalents 200630 176655 167480 143564  Short Term Investments 3118 1252 717 6200  Total Receivables, Net 270969 250933 206806 198681  Accounts Receivables - Trade, Net 270969 221966 177242 174795  Total Inventory 106086 87807 79260 84916  Prepaid Expenses - 11656 11830 11441  Other Current Assets, Total 25567 1950 1105 1512","Cash and Short Term Investments 203748 177907 168197 149764  Cash - - - -  Cash & Equivalents 200630 176655 167480 143564  Short Term Investments 3118 1252 717 6200  Total Receivables, Net 270969 250933 206806 198681  Accounts Receivables - Trade, Net 270969 221966 177242 174795  Total Inventory 106086 87807 79260 84916  Prepaid Expenses - 11656 11830 11441  Other Current Assets, Total 25567 1950 1105 1512","Cash and Short Term Investments 203748 177907 168197 149764  Cash - - - -  Cash & Equivalents 200630 176655 167480 143564  Short Term Investments 3118 1252 717 6200  Total Receivables, Net 270969 250933 206806 198681  Accounts Receivables - Trade, Net 270969 221966 177242 174795  Total Inventory 106086 87807 79260 84916  Prepaid Expenses - 11656 11830 11441  Other Current Assets, Total 25567 1950 1105 1512","Cash and Short Term Investments 203748 177907 168197 149764  Cash - - - -  Cash & Equivalents 200630 176655 167480 143564  Short Term Investments 3118 1252 717 6200  Total Receivables, Net 270969 250933 206806 198681  Accounts Receivables - Trade, Net 270969 221966 177242 174795  Total Inventory 106086 87807 79260 84916  Prepaid Expenses - 11656 11830 11441  Other Current Assets, Total 25567 1950 1105 1512"
Cash and Short Term Investments,203748,177907,168197,149764
Cash,-,-,-,-
Cash & Equivalents,200630,176655,167480,143564
Short Term Investments,3118,1252,717,6200
"Total Receivables, Net",270969,250933,206806,198681
"Accounts Receivables - Trade, Net",270969,221966,177242,174795
Total Inventory,106086,87807,79260,84916
Prepaid Expenses,-,11656,11830,11441
"Other Current Assets, Total",25567,1950,1105,1512
Total Assets,1783349,1676926,1574251,1567299
