Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,1409,1644.02,1554.72,2162.17
"Cash and Short Term Investments 788 676.24 375.72 1575.69  Cash - - - -  Cash & Equivalents 788 676.24 375.72 1575.69  Short Term Investments - - - -  Total Receivables, Net 239 430.21 569.7 226.11  Accounts Receivables - Trade, Net 239 430.21 569.7 226.11  Total Inventory 255 254 480.61 142.47  Prepaid Expenses - 203.36 43.14 180.23  Other Current Assets, Total 127 80.22 85.57 37.67","Cash and Short Term Investments 788 676.24 375.72 1575.69  Cash - - - -  Cash & Equivalents 788 676.24 375.72 1575.69  Short Term Investments - - - -  Total Receivables, Net 239 430.21 569.7 226.11  Accounts Receivables - Trade, Net 239 430.21 569.7 226.11  Total Inventory 255 254 480.61 142.47  Prepaid Expenses - 203.36 43.14 180.23  Other Current Assets, Total 127 80.22 85.57 37.67","Cash and Short Term Investments 788 676.24 375.72 1575.69  Cash - - - -  Cash & Equivalents 788 676.24 375.72 1575.69  Short Term Investments - - - -  Total Receivables, Net 239 430.21 569.7 226.11  Accounts Receivables - Trade, Net 239 430.21 569.7 226.11  Total Inventory 255 254 480.61 142.47  Prepaid Expenses - 203.36 43.14 180.23  Other Current Assets, Total 127 80.22 85.57 37.67","Cash and Short Term Investments 788 676.24 375.72 1575.69  Cash - - - -  Cash & Equivalents 788 676.24 375.72 1575.69  Short Term Investments - - - -  Total Receivables, Net 239 430.21 569.7 226.11  Accounts Receivables - Trade, Net 239 430.21 569.7 226.11  Total Inventory 255 254 480.61 142.47  Prepaid Expenses - 203.36 43.14 180.23  Other Current Assets, Total 127 80.22 85.57 37.67","Cash and Short Term Investments 788 676.24 375.72 1575.69  Cash - - - -  Cash & Equivalents 788 676.24 375.72 1575.69  Short Term Investments - - - -  Total Receivables, Net 239 430.21 569.7 226.11  Accounts Receivables - Trade, Net 239 430.21 569.7 226.11  Total Inventory 255 254 480.61 142.47  Prepaid Expenses - 203.36 43.14 180.23  Other Current Assets, Total 127 80.22 85.57 37.67"
Cash and Short Term Investments,788,676.24,375.72,1575.69
Cash,-,-,-,-
Cash & Equivalents,788,676.24,375.72,1575.69
Short Term Investments,-,-,-,-
"Total Receivables, Net",239,430.21,569.7,226.11
"Accounts Receivables - Trade, Net",239,430.21,569.7,226.11
Total Inventory,255,254,480.61,142.47
Prepaid Expenses,-,203.36,43.14,180.23
"Other Current Assets, Total",127,80.22,85.57,37.67
Total Assets,1656,1794.63,1695.85,2294.31
"Property/Plant/Equipment, Total - Net 49 58.74 46.52 54.72  Property/Plant/Equipment, Total - Gross - 225.57 191.01 176.95  Accumulated Depreciation, Total - -166.83 -144.49 -122.23  Goodwill, Net - - - -  Intangibles, Net 125 9.44 11.63 7.69  Long Term Investments 72 - - -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 82.43 82.98 69.74  Other Assets, Total 143 - - -","Property/Plant/Equipment, Total - Net 49 58.74 46.52 54.72  Property/Plant/Equipment, Total - Gross - 225.57 191.01 176.95  Accumulated Depreciation, Total - -166.83 -144.49 -122.23  Goodwill, Net - - - -  Intangibles, Net 125 9.44 11.63 7.69  Long Term Investments 72 - - -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 82.43 82.98 69.74  Other Assets, Total 143 - - -","Property/Plant/Equipment, Total - Net 49 58.74 46.52 54.72  Property/Plant/Equipment, Total - Gross - 225.57 191.01 176.95  Accumulated Depreciation, Total - -166.83 -144.49 -122.23  Goodwill, Net - - - -  Intangibles, Net 125 9.44 11.63 7.69  Long Term Investments 72 - - -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 82.43 82.98 69.74  Other Assets, Total 143 - - -","Property/Plant/Equipment, Total - Net 49 58.74 46.52 54.72  Property/Plant/Equipment, Total - Gross - 225.57 191.01 176.95  Accumulated Depreciation, Total - -166.83 -144.49 -122.23  Goodwill, Net - - - -  Intangibles, Net 125 9.44 11.63 7.69  Long Term Investments 72 - - -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 82.43 82.98 69.74  Other Assets, Total 143 - - -","Property/Plant/Equipment, Total - Net 49 58.74 46.52 54.72  Property/Plant/Equipment, Total - Gross - 225.57 191.01 176.95  Accumulated Depreciation, Total - -166.83 -144.49 -122.23  Goodwill, Net - - - -  Intangibles, Net 125 9.44 11.63 7.69  Long Term Investments 72 - - -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 82.43 82.98 69.74  Other Assets, Total 143 - - -"
"Property/Plant/Equipment, Total - Net",49,58.74,46.52,54.72
"Property/Plant/Equipment, Total - Gross",-,225.57,191.01,176.95
"Accumulated Depreciation, Total",-,-166.83,-144.49,-122.23
"Goodwill, Net",-,-,-,-
"Intangibles, Net",125,9.44,11.63,7.69
Long Term Investments,72,-,-,-
Note Receivable - Long Term,-,-,-,-
"Other Long Term Assets, Total",1,82.43,82.98,69.74
"Other Assets, Total",143,-,-,-
Total Current Liabilities,489,752.85,736.17,1149.39
"Accounts Payable 107 99.59 133.6 274.37  Payable/Accrued - - - -  Accrued Expenses - 83.59 - 121.71  Notes Payable/Short Term Debt 57 - 200 -  Current Port. of LT Debt/Capital Leases 148 160.82 151.8 107.66  Other Current liabilities, Total 177 408.84 250.77 645.65","Accounts Payable 107 99.59 133.6 274.37  Payable/Accrued - - - -  Accrued Expenses - 83.59 - 121.71  Notes Payable/Short Term Debt 57 - 200 -  Current Port. of LT Debt/Capital Leases 148 160.82 151.8 107.66  Other Current liabilities, Total 177 408.84 250.77 645.65","Accounts Payable 107 99.59 133.6 274.37  Payable/Accrued - - - -  Accrued Expenses - 83.59 - 121.71  Notes Payable/Short Term Debt 57 - 200 -  Current Port. of LT Debt/Capital Leases 148 160.82 151.8 107.66  Other Current liabilities, Total 177 408.84 250.77 645.65","Accounts Payable 107 99.59 133.6 274.37  Payable/Accrued - - - -  Accrued Expenses - 83.59 - 121.71  Notes Payable/Short Term Debt 57 - 200 -  Current Port. of LT Debt/Capital Leases 148 160.82 151.8 107.66  Other Current liabilities, Total 177 408.84 250.77 645.65","Accounts Payable 107 99.59 133.6 274.37  Payable/Accrued - - - -  Accrued Expenses - 83.59 - 121.71  Notes Payable/Short Term Debt 57 - 200 -  Current Port. of LT Debt/Capital Leases 148 160.82 151.8 107.66  Other Current liabilities, Total 177 408.84 250.77 645.65"
Accounts Payable,107,99.59,133.6,274.37
Payable/Accrued,-,-,-,-
Accrued Expenses,-,83.59,-,121.71
Notes Payable/Short Term Debt,57,-,200,-
Current Port. of LT Debt/Capital Leases,148,160.82,151.8,107.66
"Other Current liabilities, Total",177,408.84,250.77,645.65
Total Liabilities,1087,1260.38,1267.18,1581.39
"Total Long Term Debt 579 483.33 506.82 412.62  Long Term Debt 579 483.33 506.82 412.62  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -38 24.2 24.19 19.38","Total Long Term Debt 579 483.33 506.82 412.62  Long Term Debt 579 483.33 506.82 412.62  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -38 24.2 24.19 19.38","Total Long Term Debt 579 483.33 506.82 412.62  Long Term Debt 579 483.33 506.82 412.62  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -38 24.2 24.19 19.38","Total Long Term Debt 579 483.33 506.82 412.62  Long Term Debt 579 483.33 506.82 412.62  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -38 24.2 24.19 19.38","Total Long Term Debt 579 483.33 506.82 412.62  Long Term Debt 579 483.33 506.82 412.62  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -38 24.2 24.19 19.38"
Total Long Term Debt,579,483.33,506.82,412.62
Long Term Debt,579,483.33,506.82,412.62
Capital Lease Obligations,-,-,-,-
Deferred Income Tax,-,-,-,-
Minority Interest,-,-,-,-
"Other Liabilities, Total",-38,24.2,24.19,19.38
Total Equity,569,534.24,428.66,712.92
