Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Current Assets,17136,13591.18,11469.4,11238
"Cash and Short Term Investments 2676 1926.92 1652 1878.4  Cash - - - -  Cash & Equivalents 2676 1926.92 1652 1878.4  Short Term Investments - - - -  Total Receivables, Net 11224 10599.31 8462.44 7586.39  Accounts Receivables - Trade, Net 6873 5759.43 4493.13 3911.83  Total Inventory 3121 951.96 1251.58 1678.4  Prepaid Expenses 60 95.46 89.44 81.83  Other Current Assets, Total 55 17.53 13.94 12.99","Cash and Short Term Investments 2676 1926.92 1652 1878.4  Cash - - - -  Cash & Equivalents 2676 1926.92 1652 1878.4  Short Term Investments - - - -  Total Receivables, Net 11224 10599.31 8462.44 7586.39  Accounts Receivables - Trade, Net 6873 5759.43 4493.13 3911.83  Total Inventory 3121 951.96 1251.58 1678.4  Prepaid Expenses 60 95.46 89.44 81.83  Other Current Assets, Total 55 17.53 13.94 12.99","Cash and Short Term Investments 2676 1926.92 1652 1878.4  Cash - - - -  Cash & Equivalents 2676 1926.92 1652 1878.4  Short Term Investments - - - -  Total Receivables, Net 11224 10599.31 8462.44 7586.39  Accounts Receivables - Trade, Net 6873 5759.43 4493.13 3911.83  Total Inventory 3121 951.96 1251.58 1678.4  Prepaid Expenses 60 95.46 89.44 81.83  Other Current Assets, Total 55 17.53 13.94 12.99","Cash and Short Term Investments 2676 1926.92 1652 1878.4  Cash - - - -  Cash & Equivalents 2676 1926.92 1652 1878.4  Short Term Investments - - - -  Total Receivables, Net 11224 10599.31 8462.44 7586.39  Accounts Receivables - Trade, Net 6873 5759.43 4493.13 3911.83  Total Inventory 3121 951.96 1251.58 1678.4  Prepaid Expenses 60 95.46 89.44 81.83  Other Current Assets, Total 55 17.53 13.94 12.99","Cash and Short Term Investments 2676 1926.92 1652 1878.4  Cash - - - -  Cash & Equivalents 2676 1926.92 1652 1878.4  Short Term Investments - - - -  Total Receivables, Net 11224 10599.31 8462.44 7586.39  Accounts Receivables - Trade, Net 6873 5759.43 4493.13 3911.83  Total Inventory 3121 951.96 1251.58 1678.4  Prepaid Expenses 60 95.46 89.44 81.83  Other Current Assets, Total 55 17.53 13.94 12.99"
Cash and Short Term Investments,2676,1926.92,1652,1878.4
Cash,-,-,-,-
Cash & Equivalents,2676,1926.92,1652,1878.4
Short Term Investments,-,-,-,-
"Total Receivables, Net",11224,10599.31,8462.44,7586.39
"Accounts Receivables - Trade, Net",6873,5759.43,4493.13,3911.83
Total Inventory,3121,951.96,1251.58,1678.4
Prepaid Expenses,60,95.46,89.44,81.83
"Other Current Assets, Total",55,17.53,13.94,12.99
Total Assets,21969,18279.28,16021.94,15379.15
