Period Ending:,202331/03,202231/03,202131/03,Unnamed: 4
Total Current Assets,37283,28036,20539,-
"Cash and Short Term Investments 13812 8614 5385 -  Cash - - - -  Cash & Equivalents 13812 8614 5385 -  Short Term Investments - - - -  Total Receivables, Net 22108 773 782 -  Accounts Receivables - Trade, Net 22108 773 529 -  Total Inventory - 18300 14116 -  Prepaid Expenses - 228 87 -  Other Current Assets, Total 1363 121 169 -","Cash and Short Term Investments 13812 8614 5385 -  Cash - - - -  Cash & Equivalents 13812 8614 5385 -  Short Term Investments - - - -  Total Receivables, Net 22108 773 782 -  Accounts Receivables - Trade, Net 22108 773 529 -  Total Inventory - 18300 14116 -  Prepaid Expenses - 228 87 -  Other Current Assets, Total 1363 121 169 -","Cash and Short Term Investments 13812 8614 5385 -  Cash - - - -  Cash & Equivalents 13812 8614 5385 -  Short Term Investments - - - -  Total Receivables, Net 22108 773 782 -  Accounts Receivables - Trade, Net 22108 773 529 -  Total Inventory - 18300 14116 -  Prepaid Expenses - 228 87 -  Other Current Assets, Total 1363 121 169 -","Cash and Short Term Investments 13812 8614 5385 -  Cash - - - -  Cash & Equivalents 13812 8614 5385 -  Short Term Investments - - - -  Total Receivables, Net 22108 773 782 -  Accounts Receivables - Trade, Net 22108 773 529 -  Total Inventory - 18300 14116 -  Prepaid Expenses - 228 87 -  Other Current Assets, Total 1363 121 169 -","Cash and Short Term Investments 13812 8614 5385 -  Cash - - - -  Cash & Equivalents 13812 8614 5385 -  Short Term Investments - - - -  Total Receivables, Net 22108 773 782 -  Accounts Receivables - Trade, Net 22108 773 529 -  Total Inventory - 18300 14116 -  Prepaid Expenses - 228 87 -  Other Current Assets, Total 1363 121 169 -"
Cash and Short Term Investments,13812,8614,5385,-
Cash,-,-,-,-
Cash & Equivalents,13812,8614,5385,-
Short Term Investments,-,-,-,-
"Total Receivables, Net",22108,773,782,-
"Accounts Receivables - Trade, Net",22108,773,529,-
Total Inventory,-,18300,14116,-
Prepaid Expenses,-,228,87,-
"Other Current Assets, Total",1363,121,169,-
Total Assets,48354,29795,40853,-
