Period Ending:,202231/05,202131/05,202031/05,201931/05
Total Current Assets,9734,8642.52,9283.2,8538.45
"Cash and Short Term Investments 5029 4367.4 4359.35 3606.96  Cash - - - -  Cash & Equivalents 5029 4367.4 4359.35 3606.96  Short Term Investments - - - -  Total Receivables, Net 3938 3480.74 3985.98 3953.25  Accounts Receivables - Trade, Net 3938 2670.85 2927.99 2856.05  Total Inventory 734 729.43 914.54 957.04  Prepaid Expenses 29 27.7 20.3 17.37  Other Current Assets, Total 4 37.26 3.02 3.83","Cash and Short Term Investments 5029 4367.4 4359.35 3606.96  Cash - - - -  Cash & Equivalents 5029 4367.4 4359.35 3606.96  Short Term Investments - - - -  Total Receivables, Net 3938 3480.74 3985.98 3953.25  Accounts Receivables - Trade, Net 3938 2670.85 2927.99 2856.05  Total Inventory 734 729.43 914.54 957.04  Prepaid Expenses 29 27.7 20.3 17.37  Other Current Assets, Total 4 37.26 3.02 3.83","Cash and Short Term Investments 5029 4367.4 4359.35 3606.96  Cash - - - -  Cash & Equivalents 5029 4367.4 4359.35 3606.96  Short Term Investments - - - -  Total Receivables, Net 3938 3480.74 3985.98 3953.25  Accounts Receivables - Trade, Net 3938 2670.85 2927.99 2856.05  Total Inventory 734 729.43 914.54 957.04  Prepaid Expenses 29 27.7 20.3 17.37  Other Current Assets, Total 4 37.26 3.02 3.83","Cash and Short Term Investments 5029 4367.4 4359.35 3606.96  Cash - - - -  Cash & Equivalents 5029 4367.4 4359.35 3606.96  Short Term Investments - - - -  Total Receivables, Net 3938 3480.74 3985.98 3953.25  Accounts Receivables - Trade, Net 3938 2670.85 2927.99 2856.05  Total Inventory 734 729.43 914.54 957.04  Prepaid Expenses 29 27.7 20.3 17.37  Other Current Assets, Total 4 37.26 3.02 3.83","Cash and Short Term Investments 5029 4367.4 4359.35 3606.96  Cash - - - -  Cash & Equivalents 5029 4367.4 4359.35 3606.96  Short Term Investments - - - -  Total Receivables, Net 3938 3480.74 3985.98 3953.25  Accounts Receivables - Trade, Net 3938 2670.85 2927.99 2856.05  Total Inventory 734 729.43 914.54 957.04  Prepaid Expenses 29 27.7 20.3 17.37  Other Current Assets, Total 4 37.26 3.02 3.83"
Cash and Short Term Investments,5029,4367.4,4359.35,3606.96
Cash,-,-,-,-
Cash & Equivalents,5029,4367.4,4359.35,3606.96
Short Term Investments,-,-,-,-
"Total Receivables, Net",3938,3480.74,3985.98,3953.25
"Accounts Receivables - Trade, Net",3938,2670.85,2927.99,2856.05
Total Inventory,734,729.43,914.54,957.04
Prepaid Expenses,29,27.7,20.3,17.37
"Other Current Assets, Total",4,37.26,3.02,3.83
Total Assets,14876,13488.37,13587.69,12776.38
"Property/Plant/Equipment, Total - Net 2394 2386.83 1789.31 1752.92  Property/Plant/Equipment, Total - Gross - 14059.36 13238.57 13033.01  Accumulated Depreciation, Total - -11672.52 -11449.26 -11280.09  Goodwill, Net - - - -  Intangibles, Net 6 8.56 7.48 9.69  Long Term Investments 2740 2410.15 2505.25 2472.86  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 40.3 2.45 2.46  Other Assets, Total -3200 - - -","Property/Plant/Equipment, Total - Net 2394 2386.83 1789.31 1752.92  Property/Plant/Equipment, Total - Gross - 14059.36 13238.57 13033.01  Accumulated Depreciation, Total - -11672.52 -11449.26 -11280.09  Goodwill, Net - - - -  Intangibles, Net 6 8.56 7.48 9.69  Long Term Investments 2740 2410.15 2505.25 2472.86  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 40.3 2.45 2.46  Other Assets, Total -3200 - - -","Property/Plant/Equipment, Total - Net 2394 2386.83 1789.31 1752.92  Property/Plant/Equipment, Total - Gross - 14059.36 13238.57 13033.01  Accumulated Depreciation, Total - -11672.52 -11449.26 -11280.09  Goodwill, Net - - - -  Intangibles, Net 6 8.56 7.48 9.69  Long Term Investments 2740 2410.15 2505.25 2472.86  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 40.3 2.45 2.46  Other Assets, Total -3200 - - -","Property/Plant/Equipment, Total - Net 2394 2386.83 1789.31 1752.92  Property/Plant/Equipment, Total - Gross - 14059.36 13238.57 13033.01  Accumulated Depreciation, Total - -11672.52 -11449.26 -11280.09  Goodwill, Net - - - -  Intangibles, Net 6 8.56 7.48 9.69  Long Term Investments 2740 2410.15 2505.25 2472.86  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 40.3 2.45 2.46  Other Assets, Total -3200 - - -","Property/Plant/Equipment, Total - Net 2394 2386.83 1789.31 1752.92  Property/Plant/Equipment, Total - Gross - 14059.36 13238.57 13033.01  Accumulated Depreciation, Total - -11672.52 -11449.26 -11280.09  Goodwill, Net - - - -  Intangibles, Net 6 8.56 7.48 9.69  Long Term Investments 2740 2410.15 2505.25 2472.86  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 40.3 2.45 2.46  Other Assets, Total -3200 - - -"
"Property/Plant/Equipment, Total - Net",2394,2386.83,1789.31,1752.92
"Property/Plant/Equipment, Total - Gross",-,14059.36,13238.57,13033.01
"Accumulated Depreciation, Total",-,-11672.52,-11449.26,-11280.09
"Goodwill, Net",-,-,-,-
"Intangibles, Net",6,8.56,7.48,9.69
Long Term Investments,2740,2410.15,2505.25,2472.86
Note Receivable - Long Term,-,-,-,-
"Other Long Term Assets, Total",2,40.3,2.45,2.46
"Other Assets, Total",-3200,-,-,-
Total Current Liabilities,3552,2924.07,3512.49,3729.01
"Accounts Payable 2353 1948.87 2037.26 2193.22  Payable/Accrued - - - -  Accrued Expenses 520 368.84 631.6 801.46  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 12 14.59 18.08 16.65  Other Current liabilities, Total 667 591.76 825.56 717.68","Accounts Payable 2353 1948.87 2037.26 2193.22  Payable/Accrued - - - -  Accrued Expenses 520 368.84 631.6 801.46  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 12 14.59 18.08 16.65  Other Current liabilities, Total 667 591.76 825.56 717.68","Accounts Payable 2353 1948.87 2037.26 2193.22  Payable/Accrued - - - -  Accrued Expenses 520 368.84 631.6 801.46  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 12 14.59 18.08 16.65  Other Current liabilities, Total 667 591.76 825.56 717.68","Accounts Payable 2353 1948.87 2037.26 2193.22  Payable/Accrued - - - -  Accrued Expenses 520 368.84 631.6 801.46  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 12 14.59 18.08 16.65  Other Current liabilities, Total 667 591.76 825.56 717.68","Accounts Payable 2353 1948.87 2037.26 2193.22  Payable/Accrued - - - -  Accrued Expenses 520 368.84 631.6 801.46  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases 12 14.59 18.08 16.65  Other Current liabilities, Total 667 591.76 825.56 717.68"
Accounts Payable,2353,1948.87,2037.26,2193.22
Payable/Accrued,-,-,-,-
Accrued Expenses,520,368.84,631.6,801.46
Notes Payable/Short Term Debt,-,-,-,-
Current Port. of LT Debt/Capital Leases,12,14.59,18.08,16.65
"Other Current liabilities, Total",667,591.76,825.56,717.68
Total Liabilities,4422,3761.19,4341.82,4467.16
"Total Long Term Debt 24 18.27 28.07 24.06  Long Term Debt - - - -  Capital Lease Obligations 24 18.27 28.07 24.06  Deferred Income Tax 372 333.13 297.47 242.59  Minority Interest - - - -  Other Liabilities, Total 474 485.72 503.79 471.5","Total Long Term Debt 24 18.27 28.07 24.06  Long Term Debt - - - -  Capital Lease Obligations 24 18.27 28.07 24.06  Deferred Income Tax 372 333.13 297.47 242.59  Minority Interest - - - -  Other Liabilities, Total 474 485.72 503.79 471.5","Total Long Term Debt 24 18.27 28.07 24.06  Long Term Debt - - - -  Capital Lease Obligations 24 18.27 28.07 24.06  Deferred Income Tax 372 333.13 297.47 242.59  Minority Interest - - - -  Other Liabilities, Total 474 485.72 503.79 471.5","Total Long Term Debt 24 18.27 28.07 24.06  Long Term Debt - - - -  Capital Lease Obligations 24 18.27 28.07 24.06  Deferred Income Tax 372 333.13 297.47 242.59  Minority Interest - - - -  Other Liabilities, Total 474 485.72 503.79 471.5","Total Long Term Debt 24 18.27 28.07 24.06  Long Term Debt - - - -  Capital Lease Obligations 24 18.27 28.07 24.06  Deferred Income Tax 372 333.13 297.47 242.59  Minority Interest - - - -  Other Liabilities, Total 474 485.72 503.79 471.5"
Total Long Term Debt,24,18.27,28.07,24.06
Long Term Debt,-,-,-,-
Capital Lease Obligations,24,18.27,28.07,24.06
Deferred Income Tax,372,333.13,297.47,242.59
Minority Interest,-,-,-,-
"Other Liabilities, Total",474,485.72,503.79,471.5
Total Equity,10454,9727.18,9245.88,8309.22
