Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,-,9072,8581.28,8199.99
"Cash and Short Term Investments - 1775 1910.31 1385.68  Cash - - - -  Cash & Equivalents - 1775 1910.31 1385.68  Short Term Investments - - - -  Total Receivables, Net - 4377 4168.05 4475.66  Accounts Receivables - Trade, Net - 4225 4035.36 4403.08  Total Inventory - 2618 2256.89 2291.21  Prepaid Expenses - 234.17 193.15 11.98  Other Current Assets, Total - 302 52.88 35.46","Cash and Short Term Investments - 1775 1910.31 1385.68  Cash - - - -  Cash & Equivalents - 1775 1910.31 1385.68  Short Term Investments - - - -  Total Receivables, Net - 4377 4168.05 4475.66  Accounts Receivables - Trade, Net - 4225 4035.36 4403.08  Total Inventory - 2618 2256.89 2291.21  Prepaid Expenses - 234.17 193.15 11.98  Other Current Assets, Total - 302 52.88 35.46","Cash and Short Term Investments - 1775 1910.31 1385.68  Cash - - - -  Cash & Equivalents - 1775 1910.31 1385.68  Short Term Investments - - - -  Total Receivables, Net - 4377 4168.05 4475.66  Accounts Receivables - Trade, Net - 4225 4035.36 4403.08  Total Inventory - 2618 2256.89 2291.21  Prepaid Expenses - 234.17 193.15 11.98  Other Current Assets, Total - 302 52.88 35.46","Cash and Short Term Investments - 1775 1910.31 1385.68  Cash - - - -  Cash & Equivalents - 1775 1910.31 1385.68  Short Term Investments - - - -  Total Receivables, Net - 4377 4168.05 4475.66  Accounts Receivables - Trade, Net - 4225 4035.36 4403.08  Total Inventory - 2618 2256.89 2291.21  Prepaid Expenses - 234.17 193.15 11.98  Other Current Assets, Total - 302 52.88 35.46","Cash and Short Term Investments - 1775 1910.31 1385.68  Cash - - - -  Cash & Equivalents - 1775 1910.31 1385.68  Short Term Investments - - - -  Total Receivables, Net - 4377 4168.05 4475.66  Accounts Receivables - Trade, Net - 4225 4035.36 4403.08  Total Inventory - 2618 2256.89 2291.21  Prepaid Expenses - 234.17 193.15 11.98  Other Current Assets, Total - 302 52.88 35.46"
Cash and Short Term Investments,-,1775,1910.31,1385.68
Cash,-,-,-,-
Cash & Equivalents,-,1775,1910.31,1385.68
Short Term Investments,-,-,-,-
"Total Receivables, Net",-,4377,4168.05,4475.66
"Accounts Receivables - Trade, Net",-,4225,4035.36,4403.08
Total Inventory,-,2618,2256.89,2291.21
Prepaid Expenses,-,234.17,193.15,11.98
"Other Current Assets, Total",-,302,52.88,35.46
Total Assets,-,10521,10093.7,9497.24
"Property/Plant/Equipment, Total - Net - 376 400.31 430.57  Property/Plant/Equipment, Total - Gross - 793.03 919.26 955.11  Accumulated Depreciation, Total - -416.11 -518.95 -524.53  Goodwill, Net - - - -  Intangibles, Net - 4 3.57 6.65  Long Term Investments - 937 827.59 707.33  Note Receivable - Long Term - 122 120 -  Other Long Term Assets, Total - 1 160.96 152.7  Other Assets, Total - -1296 - -","Property/Plant/Equipment, Total - Net - 376 400.31 430.57  Property/Plant/Equipment, Total - Gross - 793.03 919.26 955.11  Accumulated Depreciation, Total - -416.11 -518.95 -524.53  Goodwill, Net - - - -  Intangibles, Net - 4 3.57 6.65  Long Term Investments - 937 827.59 707.33  Note Receivable - Long Term - 122 120 -  Other Long Term Assets, Total - 1 160.96 152.7  Other Assets, Total - -1296 - -","Property/Plant/Equipment, Total - Net - 376 400.31 430.57  Property/Plant/Equipment, Total - Gross - 793.03 919.26 955.11  Accumulated Depreciation, Total - -416.11 -518.95 -524.53  Goodwill, Net - - - -  Intangibles, Net - 4 3.57 6.65  Long Term Investments - 937 827.59 707.33  Note Receivable - Long Term - 122 120 -  Other Long Term Assets, Total - 1 160.96 152.7  Other Assets, Total - -1296 - -","Property/Plant/Equipment, Total - Net - 376 400.31 430.57  Property/Plant/Equipment, Total - Gross - 793.03 919.26 955.11  Accumulated Depreciation, Total - -416.11 -518.95 -524.53  Goodwill, Net - - - -  Intangibles, Net - 4 3.57 6.65  Long Term Investments - 937 827.59 707.33  Note Receivable - Long Term - 122 120 -  Other Long Term Assets, Total - 1 160.96 152.7  Other Assets, Total - -1296 - -","Property/Plant/Equipment, Total - Net - 376 400.31 430.57  Property/Plant/Equipment, Total - Gross - 793.03 919.26 955.11  Accumulated Depreciation, Total - -416.11 -518.95 -524.53  Goodwill, Net - - - -  Intangibles, Net - 4 3.57 6.65  Long Term Investments - 937 827.59 707.33  Note Receivable - Long Term - 122 120 -  Other Long Term Assets, Total - 1 160.96 152.7  Other Assets, Total - -1296 - -"
"Property/Plant/Equipment, Total - Net",-,376,400.31,430.57
"Property/Plant/Equipment, Total - Gross",-,793.03,919.26,955.11
"Accumulated Depreciation, Total",-,-416.11,-518.95,-524.53
"Goodwill, Net",-,-,-,-
"Intangibles, Net",-,4,3.57,6.65
Long Term Investments,-,937,827.59,707.33
Note Receivable - Long Term,-,122,120,-
"Other Long Term Assets, Total",-,1,160.96,152.7
"Other Assets, Total",-,-1296,-,-
Total Current Liabilities,-,5310,5193.48,4995.6
"Accounts Payable - 4071 3815.88 3717.01  Payable/Accrued - - - -  Accrued Expenses - 44 43.71 42.41  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases - 764 801.55 825.48  Other Current liabilities, Total - 431 532.33 410.71","Accounts Payable - 4071 3815.88 3717.01  Payable/Accrued - - - -  Accrued Expenses - 44 43.71 42.41  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases - 764 801.55 825.48  Other Current liabilities, Total - 431 532.33 410.71","Accounts Payable - 4071 3815.88 3717.01  Payable/Accrued - - - -  Accrued Expenses - 44 43.71 42.41  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases - 764 801.55 825.48  Other Current liabilities, Total - 431 532.33 410.71","Accounts Payable - 4071 3815.88 3717.01  Payable/Accrued - - - -  Accrued Expenses - 44 43.71 42.41  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases - 764 801.55 825.48  Other Current liabilities, Total - 431 532.33 410.71","Accounts Payable - 4071 3815.88 3717.01  Payable/Accrued - - - -  Accrued Expenses - 44 43.71 42.41  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases - 764 801.55 825.48  Other Current liabilities, Total - 431 532.33 410.71"
Accounts Payable,-,4071,3815.88,3717.01
Payable/Accrued,-,-,-,-
Accrued Expenses,-,44,43.71,42.41
Notes Payable/Short Term Debt,-,-,-,-
Current Port. of LT Debt/Capital Leases,-,764,801.55,825.48
"Other Current liabilities, Total",-,431,532.33,410.71
Total Liabilities,-,6757,6839.56,6531.58
"Total Long Term Debt - 1376 1518.63 1449.46  Long Term Debt - 1376 1498.21 1419.9  Capital Lease Obligations - - 20.42 29.56  Deferred Income Tax - 57 61.79 32.08  Minority Interest - 83 63.93 52.75  Other Liabilities, Total - -2210.52 1.73 1.7","Total Long Term Debt - 1376 1518.63 1449.46  Long Term Debt - 1376 1498.21 1419.9  Capital Lease Obligations - - 20.42 29.56  Deferred Income Tax - 57 61.79 32.08  Minority Interest - 83 63.93 52.75  Other Liabilities, Total - -2210.52 1.73 1.7","Total Long Term Debt - 1376 1518.63 1449.46  Long Term Debt - 1376 1498.21 1419.9  Capital Lease Obligations - - 20.42 29.56  Deferred Income Tax - 57 61.79 32.08  Minority Interest - 83 63.93 52.75  Other Liabilities, Total - -2210.52 1.73 1.7","Total Long Term Debt - 1376 1518.63 1449.46  Long Term Debt - 1376 1498.21 1419.9  Capital Lease Obligations - - 20.42 29.56  Deferred Income Tax - 57 61.79 32.08  Minority Interest - 83 63.93 52.75  Other Liabilities, Total - -2210.52 1.73 1.7","Total Long Term Debt - 1376 1518.63 1449.46  Long Term Debt - 1376 1498.21 1419.9  Capital Lease Obligations - - 20.42 29.56  Deferred Income Tax - 57 61.79 32.08  Minority Interest - 83 63.93 52.75  Other Liabilities, Total - -2210.52 1.73 1.7"
Total Long Term Debt,-,1376,1518.63,1449.46
