Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,3621,2648,2118.85,1750.85
"Cash and Short Term Investments 529 528 576.57 223.17  Cash - - - -  Cash & Equivalents 529 528 576.57 223.17  Short Term Investments - - - -  Total Receivables, Net 1723 1257 842.95 968.01  Accounts Receivables - Trade, Net 1723 1257 811.14 902.08  Total Inventory 1172 721 611.05 452.68  Prepaid Expenses 32 32.51 35.75 35.22  Other Current Assets, Total 165 115 52.53 71.76","Cash and Short Term Investments 529 528 576.57 223.17  Cash - - - -  Cash & Equivalents 529 528 576.57 223.17  Short Term Investments - - - -  Total Receivables, Net 1723 1257 842.95 968.01  Accounts Receivables - Trade, Net 1723 1257 811.14 902.08  Total Inventory 1172 721 611.05 452.68  Prepaid Expenses 32 32.51 35.75 35.22  Other Current Assets, Total 165 115 52.53 71.76","Cash and Short Term Investments 529 528 576.57 223.17  Cash - - - -  Cash & Equivalents 529 528 576.57 223.17  Short Term Investments - - - -  Total Receivables, Net 1723 1257 842.95 968.01  Accounts Receivables - Trade, Net 1723 1257 811.14 902.08  Total Inventory 1172 721 611.05 452.68  Prepaid Expenses 32 32.51 35.75 35.22  Other Current Assets, Total 165 115 52.53 71.76","Cash and Short Term Investments 529 528 576.57 223.17  Cash - - - -  Cash & Equivalents 529 528 576.57 223.17  Short Term Investments - - - -  Total Receivables, Net 1723 1257 842.95 968.01  Accounts Receivables - Trade, Net 1723 1257 811.14 902.08  Total Inventory 1172 721 611.05 452.68  Prepaid Expenses 32 32.51 35.75 35.22  Other Current Assets, Total 165 115 52.53 71.76","Cash and Short Term Investments 529 528 576.57 223.17  Cash - - - -  Cash & Equivalents 529 528 576.57 223.17  Short Term Investments - - - -  Total Receivables, Net 1723 1257 842.95 968.01  Accounts Receivables - Trade, Net 1723 1257 811.14 902.08  Total Inventory 1172 721 611.05 452.68  Prepaid Expenses 32 32.51 35.75 35.22  Other Current Assets, Total 165 115 52.53 71.76"
Cash and Short Term Investments,529,528,576.57,223.17
Cash,-,-,-,-
Cash & Equivalents,529,528,576.57,223.17
Short Term Investments,-,-,-,-
"Total Receivables, Net",1723,1257,842.95,968.01
"Accounts Receivables - Trade, Net",1723,1257,811.14,902.08
Total Inventory,1172,721,611.05,452.68
Prepaid Expenses,32,32.51,35.75,35.22
"Other Current Assets, Total",165,115,52.53,71.76
Total Assets,5180,4094,3618.88,3208.63
"Property/Plant/Equipment, Total - Net 912 868 830.37 873.01  Property/Plant/Equipment, Total - Gross - - 2038.34 2020.05  Accumulated Depreciation, Total - - -1207.97 -1147.04  Goodwill, Net - - - -  Intangibles, Net 205 91 18.56 25.8  Long Term Investments 87 127 98.19 74.5  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 3 2 552.91 484.47  Other Assets, Total -34 -63 - -","Property/Plant/Equipment, Total - Net 912 868 830.37 873.01  Property/Plant/Equipment, Total - Gross - - 2038.34 2020.05  Accumulated Depreciation, Total - - -1207.97 -1147.04  Goodwill, Net - - - -  Intangibles, Net 205 91 18.56 25.8  Long Term Investments 87 127 98.19 74.5  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 3 2 552.91 484.47  Other Assets, Total -34 -63 - -","Property/Plant/Equipment, Total - Net 912 868 830.37 873.01  Property/Plant/Equipment, Total - Gross - - 2038.34 2020.05  Accumulated Depreciation, Total - - -1207.97 -1147.04  Goodwill, Net - - - -  Intangibles, Net 205 91 18.56 25.8  Long Term Investments 87 127 98.19 74.5  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 3 2 552.91 484.47  Other Assets, Total -34 -63 - -","Property/Plant/Equipment, Total - Net 912 868 830.37 873.01  Property/Plant/Equipment, Total - Gross - - 2038.34 2020.05  Accumulated Depreciation, Total - - -1207.97 -1147.04  Goodwill, Net - - - -  Intangibles, Net 205 91 18.56 25.8  Long Term Investments 87 127 98.19 74.5  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 3 2 552.91 484.47  Other Assets, Total -34 -63 - -","Property/Plant/Equipment, Total - Net 912 868 830.37 873.01  Property/Plant/Equipment, Total - Gross - - 2038.34 2020.05  Accumulated Depreciation, Total - - -1207.97 -1147.04  Goodwill, Net - - - -  Intangibles, Net 205 91 18.56 25.8  Long Term Investments 87 127 98.19 74.5  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 3 2 552.91 484.47  Other Assets, Total -34 -63 - -"
"Property/Plant/Equipment, Total - Net",912,868,830.37,873.01
"Property/Plant/Equipment, Total - Gross",-,-,2038.34,2020.05
"Accumulated Depreciation, Total",-,-,-1207.97,-1147.04
"Goodwill, Net",-,-,-,-
"Intangibles, Net",205,91,18.56,25.8
Long Term Investments,87,127,98.19,74.5
Note Receivable - Long Term,-,-,-,-
"Other Long Term Assets, Total",3,2,552.91,484.47
"Other Assets, Total",-34,-63,-,-
Total Current Liabilities,1894,1397,1360.84,1466.99
