Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Current Assets,8124,7108.61,8801.84,4774.64
"Cash and Short Term Investments 3415 3760.66 3485.15 952.53  Cash - - - -  Cash & Equivalents 3415 3760.66 3485.15 952.53  Short Term Investments - - - -  Total Receivables, Net 2607 850.08 2101.22 486.07  Accounts Receivables - Trade, Net 2607 850.08 2101.22 486.07  Total Inventory 1644 6.28 9.21 2.46  Prepaid Expenses - 265.54 328.51 811.43  Other Current Assets, Total 458 2226.06 2877.75 2522.14","Cash and Short Term Investments 3415 3760.66 3485.15 952.53  Cash - - - -  Cash & Equivalents 3415 3760.66 3485.15 952.53  Short Term Investments - - - -  Total Receivables, Net 2607 850.08 2101.22 486.07  Accounts Receivables - Trade, Net 2607 850.08 2101.22 486.07  Total Inventory 1644 6.28 9.21 2.46  Prepaid Expenses - 265.54 328.51 811.43  Other Current Assets, Total 458 2226.06 2877.75 2522.14","Cash and Short Term Investments 3415 3760.66 3485.15 952.53  Cash - - - -  Cash & Equivalents 3415 3760.66 3485.15 952.53  Short Term Investments - - - -  Total Receivables, Net 2607 850.08 2101.22 486.07  Accounts Receivables - Trade, Net 2607 850.08 2101.22 486.07  Total Inventory 1644 6.28 9.21 2.46  Prepaid Expenses - 265.54 328.51 811.43  Other Current Assets, Total 458 2226.06 2877.75 2522.14","Cash and Short Term Investments 3415 3760.66 3485.15 952.53  Cash - - - -  Cash & Equivalents 3415 3760.66 3485.15 952.53  Short Term Investments - - - -  Total Receivables, Net 2607 850.08 2101.22 486.07  Accounts Receivables - Trade, Net 2607 850.08 2101.22 486.07  Total Inventory 1644 6.28 9.21 2.46  Prepaid Expenses - 265.54 328.51 811.43  Other Current Assets, Total 458 2226.06 2877.75 2522.14","Cash and Short Term Investments 3415 3760.66 3485.15 952.53  Cash - - - -  Cash & Equivalents 3415 3760.66 3485.15 952.53  Short Term Investments - - - -  Total Receivables, Net 2607 850.08 2101.22 486.07  Accounts Receivables - Trade, Net 2607 850.08 2101.22 486.07  Total Inventory 1644 6.28 9.21 2.46  Prepaid Expenses - 265.54 328.51 811.43  Other Current Assets, Total 458 2226.06 2877.75 2522.14"
Cash and Short Term Investments,3415,3760.66,3485.15,952.53
Cash,-,-,-,-
Cash & Equivalents,3415,3760.66,3485.15,952.53
Short Term Investments,-,-,-,-
"Total Receivables, Net",2607,850.08,2101.22,486.07
"Accounts Receivables - Trade, Net",2607,850.08,2101.22,486.07
Total Inventory,1644,6.28,9.21,2.46
Prepaid Expenses,-,265.54,328.51,811.43
"Other Current Assets, Total",458,2226.06,2877.75,2522.14
Total Assets,10067,12215.8,8997.18,5190.76
"Property/Plant/Equipment, Total - Net 20 22.27 33.74 80.11  Property/Plant/Equipment, Total - Gross - - - 143.88  Accumulated Depreciation, Total - - - -63.77  Goodwill, Net - - - -  Intangibles, Net 22 216.5 55.26 108.81  Long Term Investments 1804 4817.94 39.73 40.73  Note Receivable - Long Term - 99.58 118.58 128.45  Other Long Term Assets, Total 1 -49.1 -51.97 58.02  Other Assets, Total -409 - - -","Property/Plant/Equipment, Total - Net 20 22.27 33.74 80.11  Property/Plant/Equipment, Total - Gross - - - 143.88  Accumulated Depreciation, Total - - - -63.77  Goodwill, Net - - - -  Intangibles, Net 22 216.5 55.26 108.81  Long Term Investments 1804 4817.94 39.73 40.73  Note Receivable - Long Term - 99.58 118.58 128.45  Other Long Term Assets, Total 1 -49.1 -51.97 58.02  Other Assets, Total -409 - - -","Property/Plant/Equipment, Total - Net 20 22.27 33.74 80.11  Property/Plant/Equipment, Total - Gross - - - 143.88  Accumulated Depreciation, Total - - - -63.77  Goodwill, Net - - - -  Intangibles, Net 22 216.5 55.26 108.81  Long Term Investments 1804 4817.94 39.73 40.73  Note Receivable - Long Term - 99.58 118.58 128.45  Other Long Term Assets, Total 1 -49.1 -51.97 58.02  Other Assets, Total -409 - - -","Property/Plant/Equipment, Total - Net 20 22.27 33.74 80.11  Property/Plant/Equipment, Total - Gross - - - 143.88  Accumulated Depreciation, Total - - - -63.77  Goodwill, Net - - - -  Intangibles, Net 22 216.5 55.26 108.81  Long Term Investments 1804 4817.94 39.73 40.73  Note Receivable - Long Term - 99.58 118.58 128.45  Other Long Term Assets, Total 1 -49.1 -51.97 58.02  Other Assets, Total -409 - - -","Property/Plant/Equipment, Total - Net 20 22.27 33.74 80.11  Property/Plant/Equipment, Total - Gross - - - 143.88  Accumulated Depreciation, Total - - - -63.77  Goodwill, Net - - - -  Intangibles, Net 22 216.5 55.26 108.81  Long Term Investments 1804 4817.94 39.73 40.73  Note Receivable - Long Term - 99.58 118.58 128.45  Other Long Term Assets, Total 1 -49.1 -51.97 58.02  Other Assets, Total -409 - - -"
"Property/Plant/Equipment, Total - Net",20,22.27,33.74,80.11
"Property/Plant/Equipment, Total - Gross",-,-,-,143.88
"Accumulated Depreciation, Total",-,-,-,-63.77
"Goodwill, Net",-,-,-,-
"Intangibles, Net",22,216.5,55.26,108.81
Long Term Investments,1804,4817.94,39.73,40.73
Note Receivable - Long Term,-,99.58,118.58,128.45
"Other Long Term Assets, Total",1,-49.1,-51.97,58.02
"Other Assets, Total",-409,-,-,-
Total Current Liabilities,2839,1596.98,2931.86,920.74
"Accounts Payable 2252 813.56 2474.39 429.35  Payable/Accrued - - - -  Accrued Expenses 61 - - 30.61  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases - 3.91 5.64 5.39  Other Current liabilities, Total 526 779.5 451.83 455.39","Accounts Payable 2252 813.56 2474.39 429.35  Payable/Accrued - - - -  Accrued Expenses 61 - - 30.61  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases - 3.91 5.64 5.39  Other Current liabilities, Total 526 779.5 451.83 455.39","Accounts Payable 2252 813.56 2474.39 429.35  Payable/Accrued - - - -  Accrued Expenses 61 - - 30.61  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases - 3.91 5.64 5.39  Other Current liabilities, Total 526 779.5 451.83 455.39","Accounts Payable 2252 813.56 2474.39 429.35  Payable/Accrued - - - -  Accrued Expenses 61 - - 30.61  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases - 3.91 5.64 5.39  Other Current liabilities, Total 526 779.5 451.83 455.39","Accounts Payable 2252 813.56 2474.39 429.35  Payable/Accrued - - - -  Accrued Expenses 61 - - 30.61  Notes Payable/Short Term Debt - - - -  Current Port. of LT Debt/Capital Leases - 3.91 5.64 5.39  Other Current liabilities, Total 526 779.5 451.83 455.39"
Accounts Payable,2252,813.56,2474.39,429.35
Payable/Accrued,-,-,-,-
Accrued Expenses,61,-,-,30.61
Notes Payable/Short Term Debt,-,-,-,-
Current Port. of LT Debt/Capital Leases,-,3.91,5.64,5.39
"Other Current liabilities, Total",526,779.5,451.83,455.39
Total Liabilities,3376,4372.08,3028.23,942.51
