Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,21747,19068,14813,15622
"Cash and Short Term Investments 9800 8779 5873 6365  Cash - - - -  Cash & Equivalents 9800 8779 5873 6365  Short Term Investments - - - -  Total Receivables, Net 10981 9386 8089 8430  Accounts Receivables - Trade, Net 10865 9386 8089 8430  Total Inventory - - - -  Prepaid Expenses 655 650 566 562  Other Current Assets, Total 311 253 285 265","Cash and Short Term Investments 9800 8779 5873 6365  Cash - - - -  Cash & Equivalents 9800 8779 5873 6365  Short Term Investments - - - -  Total Receivables, Net 10981 9386 8089 8430  Accounts Receivables - Trade, Net 10865 9386 8089 8430  Total Inventory - - - -  Prepaid Expenses 655 650 566 562  Other Current Assets, Total 311 253 285 265","Cash and Short Term Investments 9800 8779 5873 6365  Cash - - - -  Cash & Equivalents 9800 8779 5873 6365  Short Term Investments - - - -  Total Receivables, Net 10981 9386 8089 8430  Accounts Receivables - Trade, Net 10865 9386 8089 8430  Total Inventory - - - -  Prepaid Expenses 655 650 566 562  Other Current Assets, Total 311 253 285 265","Cash and Short Term Investments 9800 8779 5873 6365  Cash - - - -  Cash & Equivalents 9800 8779 5873 6365  Short Term Investments - - - -  Total Receivables, Net 10981 9386 8089 8430  Accounts Receivables - Trade, Net 10865 9386 8089 8430  Total Inventory - - - -  Prepaid Expenses 655 650 566 562  Other Current Assets, Total 311 253 285 265","Cash and Short Term Investments 9800 8779 5873 6365  Cash - - - -  Cash & Equivalents 9800 8779 5873 6365  Short Term Investments - - - -  Total Receivables, Net 10981 9386 8089 8430  Accounts Receivables - Trade, Net 10865 9386 8089 8430  Total Inventory - - - -  Prepaid Expenses 655 650 566 562  Other Current Assets, Total 311 253 285 265"
Cash and Short Term Investments,9800,8779,5873,6365
Cash,-,-,-,-
Cash & Equivalents,9800,8779,5873,6365
Short Term Investments,-,-,-,-
"Total Receivables, Net",10981,9386,8089,8430
"Accounts Receivables - Trade, Net",10865,9386,8089,8430
Total Inventory,-,-,-,-
Prepaid Expenses,655,650,566,562
