Period Ending:,202231/08,202131/08,202031/08,Unnamed: 4
Total Current Assets,12949,11666,8786,-
"Cash and Short Term Investments 2203 854 1028 -  Cash - - - -  Cash & Equivalents 2203 854 1028 -  Short Term Investments - - - -  Total Receivables, Net 164 136 227 -  Accounts Receivables - Trade, Net 19 - 46 -  Total Inventory 10278 10417 7363 -  Prepaid Expenses 41 23 17 -  Other Current Assets, Total 263 236 151 -","Cash and Short Term Investments 2203 854 1028 -  Cash - - - -  Cash & Equivalents 2203 854 1028 -  Short Term Investments - - - -  Total Receivables, Net 164 136 227 -  Accounts Receivables - Trade, Net 19 - 46 -  Total Inventory 10278 10417 7363 -  Prepaid Expenses 41 23 17 -  Other Current Assets, Total 263 236 151 -","Cash and Short Term Investments 2203 854 1028 -  Cash - - - -  Cash & Equivalents 2203 854 1028 -  Short Term Investments - - - -  Total Receivables, Net 164 136 227 -  Accounts Receivables - Trade, Net 19 - 46 -  Total Inventory 10278 10417 7363 -  Prepaid Expenses 41 23 17 -  Other Current Assets, Total 263 236 151 -","Cash and Short Term Investments 2203 854 1028 -  Cash - - - -  Cash & Equivalents 2203 854 1028 -  Short Term Investments - - - -  Total Receivables, Net 164 136 227 -  Accounts Receivables - Trade, Net 19 - 46 -  Total Inventory 10278 10417 7363 -  Prepaid Expenses 41 23 17 -  Other Current Assets, Total 263 236 151 -","Cash and Short Term Investments 2203 854 1028 -  Cash - - - -  Cash & Equivalents 2203 854 1028 -  Short Term Investments - - - -  Total Receivables, Net 164 136 227 -  Accounts Receivables - Trade, Net 19 - 46 -  Total Inventory 10278 10417 7363 -  Prepaid Expenses 41 23 17 -  Other Current Assets, Total 263 236 151 -"
Cash and Short Term Investments,2203,854,1028,-
Cash,-,-,-,-
Cash & Equivalents,2203,854,1028,-
Short Term Investments,-,-,-,-
"Total Receivables, Net",164,136,227,-
"Accounts Receivables - Trade, Net",19,-,46,-
Total Inventory,10278,10417,7363,-
Prepaid Expenses,41,23,17,-
"Other Current Assets, Total",263,236,151,-
Total Assets,13278,12018,9153,-
