Period Ending:,202231/03,202131/03,202031/03,201931/03
Total Current Assets,4894.14,3906.48,4344.43,3918.03
"Cash and Short Term Investments 1122.65 755.62 1417.39 1219.35  Cash - - - -  Cash & Equivalents 1122.65 755.62 1417.39 1219.35  Short Term Investments - - - -  Total Receivables, Net 2937.39 2502.02 2314.35 2121.68  Accounts Receivables - Trade, Net 2306.79 2031.68 1808.78 1712.21  Total Inventory 382.79 331.1 370.16 363.65  Prepaid Expenses - 215.85 192.05 169.89  Other Current Assets, Total 451.31 101.89 50.48 43.47","Cash and Short Term Investments 1122.65 755.62 1417.39 1219.35  Cash - - - -  Cash & Equivalents 1122.65 755.62 1417.39 1219.35  Short Term Investments - - - -  Total Receivables, Net 2937.39 2502.02 2314.35 2121.68  Accounts Receivables - Trade, Net 2306.79 2031.68 1808.78 1712.21  Total Inventory 382.79 331.1 370.16 363.65  Prepaid Expenses - 215.85 192.05 169.89  Other Current Assets, Total 451.31 101.89 50.48 43.47","Cash and Short Term Investments 1122.65 755.62 1417.39 1219.35  Cash - - - -  Cash & Equivalents 1122.65 755.62 1417.39 1219.35  Short Term Investments - - - -  Total Receivables, Net 2937.39 2502.02 2314.35 2121.68  Accounts Receivables - Trade, Net 2306.79 2031.68 1808.78 1712.21  Total Inventory 382.79 331.1 370.16 363.65  Prepaid Expenses - 215.85 192.05 169.89  Other Current Assets, Total 451.31 101.89 50.48 43.47","Cash and Short Term Investments 1122.65 755.62 1417.39 1219.35  Cash - - - -  Cash & Equivalents 1122.65 755.62 1417.39 1219.35  Short Term Investments - - - -  Total Receivables, Net 2937.39 2502.02 2314.35 2121.68  Accounts Receivables - Trade, Net 2306.79 2031.68 1808.78 1712.21  Total Inventory 382.79 331.1 370.16 363.65  Prepaid Expenses - 215.85 192.05 169.89  Other Current Assets, Total 451.31 101.89 50.48 43.47","Cash and Short Term Investments 1122.65 755.62 1417.39 1219.35  Cash - - - -  Cash & Equivalents 1122.65 755.62 1417.39 1219.35  Short Term Investments - - - -  Total Receivables, Net 2937.39 2502.02 2314.35 2121.68  Accounts Receivables - Trade, Net 2306.79 2031.68 1808.78 1712.21  Total Inventory 382.79 331.1 370.16 363.65  Prepaid Expenses - 215.85 192.05 169.89  Other Current Assets, Total 451.31 101.89 50.48 43.47"
Cash and Short Term Investments,1122.65,755.62,1417.39,1219.35
Cash,-,-,-,-
Cash & Equivalents,1122.65,755.62,1417.39,1219.35
Short Term Investments,-,-,-,-
"Total Receivables, Net",2937.39,2502.02,2314.35,2121.68
"Accounts Receivables - Trade, Net",2306.79,2031.68,1808.78,1712.21
Total Inventory,382.79,331.1,370.16,363.65
Prepaid Expenses,-,215.85,192.05,169.89
"Other Current Assets, Total",451.31,101.89,50.48,43.47
Total Assets,14205.29,10069.26,8848.87,8256.54
