Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Current Assets,11351.51,10110.63,8542.79,8736.09
"Cash and Short Term Investments 2310.81 2159.72 1313.03 1490.99  Cash - - - -  Cash & Equivalents 2250.81 2099.72 1313.03 1490.99  Short Term Investments 60 60 - -  Total Receivables, Net 7684.46 6858.69 6250.52 6255.57  Accounts Receivables - Trade, Net 7673.64 6849.17 6092.72 6255.57  Total Inventory 1169.8 941.66 829.65 854.65  Prepaid Expenses 185.35 149.99 147.94 134.04  Other Current Assets, Total 1.09 0.568 1.65 0.84","Cash and Short Term Investments 2310.81 2159.72 1313.03 1490.99  Cash - - - -  Cash & Equivalents 2250.81 2099.72 1313.03 1490.99  Short Term Investments 60 60 - -  Total Receivables, Net 7684.46 6858.69 6250.52 6255.57  Accounts Receivables - Trade, Net 7673.64 6849.17 6092.72 6255.57  Total Inventory 1169.8 941.66 829.65 854.65  Prepaid Expenses 185.35 149.99 147.94 134.04  Other Current Assets, Total 1.09 0.568 1.65 0.84","Cash and Short Term Investments 2310.81 2159.72 1313.03 1490.99  Cash - - - -  Cash & Equivalents 2250.81 2099.72 1313.03 1490.99  Short Term Investments 60 60 - -  Total Receivables, Net 7684.46 6858.69 6250.52 6255.57  Accounts Receivables - Trade, Net 7673.64 6849.17 6092.72 6255.57  Total Inventory 1169.8 941.66 829.65 854.65  Prepaid Expenses 185.35 149.99 147.94 134.04  Other Current Assets, Total 1.09 0.568 1.65 0.84","Cash and Short Term Investments 2310.81 2159.72 1313.03 1490.99  Cash - - - -  Cash & Equivalents 2250.81 2099.72 1313.03 1490.99  Short Term Investments 60 60 - -  Total Receivables, Net 7684.46 6858.69 6250.52 6255.57  Accounts Receivables - Trade, Net 7673.64 6849.17 6092.72 6255.57  Total Inventory 1169.8 941.66 829.65 854.65  Prepaid Expenses 185.35 149.99 147.94 134.04  Other Current Assets, Total 1.09 0.568 1.65 0.84","Cash and Short Term Investments 2310.81 2159.72 1313.03 1490.99  Cash - - - -  Cash & Equivalents 2250.81 2099.72 1313.03 1490.99  Short Term Investments 60 60 - -  Total Receivables, Net 7684.46 6858.69 6250.52 6255.57  Accounts Receivables - Trade, Net 7673.64 6849.17 6092.72 6255.57  Total Inventory 1169.8 941.66 829.65 854.65  Prepaid Expenses 185.35 149.99 147.94 134.04  Other Current Assets, Total 1.09 0.568 1.65 0.84"
Cash and Short Term Investments,2310.81,2159.72,1313.03,1490.99
Cash,-,-,-,-
Cash & Equivalents,2250.81,2099.72,1313.03,1490.99
Short Term Investments,60,60,-,-
"Total Receivables, Net",7684.46,6858.69,6250.52,6255.57
"Accounts Receivables - Trade, Net",7673.64,6849.17,6092.72,6255.57
Total Inventory,1169.8,941.66,829.65,854.65
Prepaid Expenses,185.35,149.99,147.94,134.04
"Other Current Assets, Total",1.09,0.568,1.65,0.84
Total Assets,22315.22,21155.32,19779.3,19169.51
"Property/Plant/Equipment, Total - Net 9068.88 9170.91 9438.96 8491.16  Property/Plant/Equipment, Total - Gross 24871.42 24174.45 24077.14 22541.27  Accumulated Depreciation, Total -15802.55 -15003.54 -14638.18 -14050.11  Goodwill, Net - - - -  Intangibles, Net 228.47 202.76 191.36 197.53  Long Term Investments 174.46 148.95 282.86 431.06  Note Receivable - Long Term 9.07 7.77 1.64 1.54  Other Long Term Assets, Total 430.95 424.56 1321.69 1312.11  Other Assets, Total -5390.87 -4757.2 - -","Property/Plant/Equipment, Total - Net 9068.88 9170.91 9438.96 8491.16  Property/Plant/Equipment, Total - Gross 24871.42 24174.45 24077.14 22541.27  Accumulated Depreciation, Total -15802.55 -15003.54 -14638.18 -14050.11  Goodwill, Net - - - -  Intangibles, Net 228.47 202.76 191.36 197.53  Long Term Investments 174.46 148.95 282.86 431.06  Note Receivable - Long Term 9.07 7.77 1.64 1.54  Other Long Term Assets, Total 430.95 424.56 1321.69 1312.11  Other Assets, Total -5390.87 -4757.2 - -","Property/Plant/Equipment, Total - Net 9068.88 9170.91 9438.96 8491.16  Property/Plant/Equipment, Total - Gross 24871.42 24174.45 24077.14 22541.27  Accumulated Depreciation, Total -15802.55 -15003.54 -14638.18 -14050.11  Goodwill, Net - - - -  Intangibles, Net 228.47 202.76 191.36 197.53  Long Term Investments 174.46 148.95 282.86 431.06  Note Receivable - Long Term 9.07 7.77 1.64 1.54  Other Long Term Assets, Total 430.95 424.56 1321.69 1312.11  Other Assets, Total -5390.87 -4757.2 - -","Property/Plant/Equipment, Total - Net 9068.88 9170.91 9438.96 8491.16  Property/Plant/Equipment, Total - Gross 24871.42 24174.45 24077.14 22541.27  Accumulated Depreciation, Total -15802.55 -15003.54 -14638.18 -14050.11  Goodwill, Net - - - -  Intangibles, Net 228.47 202.76 191.36 197.53  Long Term Investments 174.46 148.95 282.86 431.06  Note Receivable - Long Term 9.07 7.77 1.64 1.54  Other Long Term Assets, Total 430.95 424.56 1321.69 1312.11  Other Assets, Total -5390.87 -4757.2 - -","Property/Plant/Equipment, Total - Net 9068.88 9170.91 9438.96 8491.16  Property/Plant/Equipment, Total - Gross 24871.42 24174.45 24077.14 22541.27  Accumulated Depreciation, Total -15802.55 -15003.54 -14638.18 -14050.11  Goodwill, Net - - - -  Intangibles, Net 228.47 202.76 191.36 197.53  Long Term Investments 174.46 148.95 282.86 431.06  Note Receivable - Long Term 9.07 7.77 1.64 1.54  Other Long Term Assets, Total 430.95 424.56 1321.69 1312.11  Other Assets, Total -5390.87 -4757.2 - -"
"Property/Plant/Equipment, Total - Net",9068.88,9170.91,9438.96,8491.16
"Property/Plant/Equipment, Total - Gross",24871.42,24174.45,24077.14,22541.27
"Accumulated Depreciation, Total",-15802.55,-15003.54,-14638.18,-14050.11
"Goodwill, Net",-,-,-,-
"Intangibles, Net",228.47,202.76,191.36,197.53
Long Term Investments,174.46,148.95,282.86,431.06
Note Receivable - Long Term,9.07,7.77,1.64,1.54
"Other Long Term Assets, Total",430.95,424.56,1321.69,1312.11
"Other Assets, Total",-5390.87,-4757.2,-,-
Total Current Liabilities,7207.52,6954.01,6266.19,6046.02
