Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,17281,15644,7912,11428
"Cash and Short Term Investments 12527 11792 4594 6455  Cash - - - -  Cash & Equivalents 12527 11792 4594 6455  Short Term Investments - - - -  Total Receivables, Net - 2447 2036 3348  Accounts Receivables - Trade, Net 2929 202 100 574  Total Inventory 264 243 220 264  Prepaid Expenses 606 581 529 1049  Other Current Assets, Total 955 581 533 312","Cash and Short Term Investments 12527 11792 4594 6455  Cash - - - -  Cash & Equivalents 12527 11792 4594 6455  Short Term Investments - - - -  Total Receivables, Net - 2447 2036 3348  Accounts Receivables - Trade, Net 2929 202 100 574  Total Inventory 264 243 220 264  Prepaid Expenses 606 581 529 1049  Other Current Assets, Total 955 581 533 312","Cash and Short Term Investments 12527 11792 4594 6455  Cash - - - -  Cash & Equivalents 12527 11792 4594 6455  Short Term Investments - - - -  Total Receivables, Net - 2447 2036 3348  Accounts Receivables - Trade, Net 2929 202 100 574  Total Inventory 264 243 220 264  Prepaid Expenses 606 581 529 1049  Other Current Assets, Total 955 581 533 312","Cash and Short Term Investments 12527 11792 4594 6455  Cash - - - -  Cash & Equivalents 12527 11792 4594 6455  Short Term Investments - - - -  Total Receivables, Net - 2447 2036 3348  Accounts Receivables - Trade, Net 2929 202 100 574  Total Inventory 264 243 220 264  Prepaid Expenses 606 581 529 1049  Other Current Assets, Total 955 581 533 312","Cash and Short Term Investments 12527 11792 4594 6455  Cash - - - -  Cash & Equivalents 12527 11792 4594 6455  Short Term Investments - - - -  Total Receivables, Net - 2447 2036 3348  Accounts Receivables - Trade, Net 2929 202 100 574  Total Inventory 264 243 220 264  Prepaid Expenses 606 581 529 1049  Other Current Assets, Total 955 581 533 312"
Cash and Short Term Investments,12527,11792,4594,6455
Cash,-,-,-,-
Cash & Equivalents,12527,11792,4594,6455
Short Term Investments,-,-,-,-
"Total Receivables, Net",-,2447,2036,3348
"Accounts Receivables - Trade, Net",2929,202,100,574
Total Inventory,264,243,220,264
Prepaid Expenses,606,581,529,1049
"Other Current Assets, Total",955,581,533,312
Total Assets,55235,54032,48578,58197
