Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,1359,1313,1300.14,1137.87
"Cash and Short Term Investments 1236 1179 1101.36 964.51  Cash - - - -  Cash & Equivalents 1236 1179 1101.36 964.51  Short Term Investments - - - -  Total Receivables, Net 86 100 177.96 159.77  Accounts Receivables - Trade, Net 79 92 177.96 159.77  Total Inventory 8 9 3.03 1.4  Prepaid Expenses 11 15 17.42 10.77  Other Current Assets, Total 18 10 0.37 1.42","Cash and Short Term Investments 1236 1179 1101.36 964.51  Cash - - - -  Cash & Equivalents 1236 1179 1101.36 964.51  Short Term Investments - - - -  Total Receivables, Net 86 100 177.96 159.77  Accounts Receivables - Trade, Net 79 92 177.96 159.77  Total Inventory 8 9 3.03 1.4  Prepaid Expenses 11 15 17.42 10.77  Other Current Assets, Total 18 10 0.37 1.42","Cash and Short Term Investments 1236 1179 1101.36 964.51  Cash - - - -  Cash & Equivalents 1236 1179 1101.36 964.51  Short Term Investments - - - -  Total Receivables, Net 86 100 177.96 159.77  Accounts Receivables - Trade, Net 79 92 177.96 159.77  Total Inventory 8 9 3.03 1.4  Prepaid Expenses 11 15 17.42 10.77  Other Current Assets, Total 18 10 0.37 1.42","Cash and Short Term Investments 1236 1179 1101.36 964.51  Cash - - - -  Cash & Equivalents 1236 1179 1101.36 964.51  Short Term Investments - - - -  Total Receivables, Net 86 100 177.96 159.77  Accounts Receivables - Trade, Net 79 92 177.96 159.77  Total Inventory 8 9 3.03 1.4  Prepaid Expenses 11 15 17.42 10.77  Other Current Assets, Total 18 10 0.37 1.42","Cash and Short Term Investments 1236 1179 1101.36 964.51  Cash - - - -  Cash & Equivalents 1236 1179 1101.36 964.51  Short Term Investments - - - -  Total Receivables, Net 86 100 177.96 159.77  Accounts Receivables - Trade, Net 79 92 177.96 159.77  Total Inventory 8 9 3.03 1.4  Prepaid Expenses 11 15 17.42 10.77  Other Current Assets, Total 18 10 0.37 1.42"
Cash and Short Term Investments,1236,1179,1101.36,964.51
Cash,-,-,-,-
Cash & Equivalents,1236,1179,1101.36,964.51
Short Term Investments,-,-,-,-
"Total Receivables, Net",86,100,177.96,159.77
"Accounts Receivables - Trade, Net",79,92,177.96,159.77
Total Inventory,8,9,3.03,1.4
Prepaid Expenses,11,15,17.42,10.77
"Other Current Assets, Total",18,10,0.37,1.42
Total Assets,1393,1354,1352,1189.15
