Period Ending:,202231/05,202131/05,202031/05,201931/05
Total Current Assets,2675,2579,2212.05,1818.5
"Cash and Short Term Investments 1869 1897 1531.82 1261.08  Cash - - - -  Cash & Equivalents 1869 1897 1531.82 1261.08  Short Term Investments - - - -  Total Receivables, Net 524 582 606.27 504.56  Accounts Receivables - Trade, Net 513 570 553.47 497.76  Total Inventory - - - -  Prepaid Expenses 102 86 61.54 44.01  Other Current Assets, Total 180 14 12.42 8.85","Cash and Short Term Investments 1869 1897 1531.82 1261.08  Cash - - - -  Cash & Equivalents 1869 1897 1531.82 1261.08  Short Term Investments - - - -  Total Receivables, Net 524 582 606.27 504.56  Accounts Receivables - Trade, Net 513 570 553.47 497.76  Total Inventory - - - -  Prepaid Expenses 102 86 61.54 44.01  Other Current Assets, Total 180 14 12.42 8.85","Cash and Short Term Investments 1869 1897 1531.82 1261.08  Cash - - - -  Cash & Equivalents 1869 1897 1531.82 1261.08  Short Term Investments - - - -  Total Receivables, Net 524 582 606.27 504.56  Accounts Receivables - Trade, Net 513 570 553.47 497.76  Total Inventory - - - -  Prepaid Expenses 102 86 61.54 44.01  Other Current Assets, Total 180 14 12.42 8.85","Cash and Short Term Investments 1869 1897 1531.82 1261.08  Cash - - - -  Cash & Equivalents 1869 1897 1531.82 1261.08  Short Term Investments - - - -  Total Receivables, Net 524 582 606.27 504.56  Accounts Receivables - Trade, Net 513 570 553.47 497.76  Total Inventory - - - -  Prepaid Expenses 102 86 61.54 44.01  Other Current Assets, Total 180 14 12.42 8.85","Cash and Short Term Investments 1869 1897 1531.82 1261.08  Cash - - - -  Cash & Equivalents 1869 1897 1531.82 1261.08  Short Term Investments - - - -  Total Receivables, Net 524 582 606.27 504.56  Accounts Receivables - Trade, Net 513 570 553.47 497.76  Total Inventory - - - -  Prepaid Expenses 102 86 61.54 44.01  Other Current Assets, Total 180 14 12.42 8.85"
Cash and Short Term Investments,1869,1897,1531.82,1261.08
Cash,-,-,-,-
Cash & Equivalents,1869,1897,1531.82,1261.08
Short Term Investments,-,-,-,-
"Total Receivables, Net",524,582,606.27,504.56
"Accounts Receivables - Trade, Net",513,570,553.47,497.76
Total Inventory,-,-,-,-
Prepaid Expenses,102,86,61.54,44.01
"Other Current Assets, Total",180,14,12.42,8.85
Total Assets,4627,4495,3906.89,3236.89
"Property/Plant/Equipment, Total - Net 1421 1325 1230.3 1030.93  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net - - - -  Intangibles, Net 22 30 43.81 52.05  Long Term Investments 455 507 0.01 0.01  Note Receivable - Long Term 11 12 - -  Other Long Term Assets, Total 1 1 420.72 335.41  Other Assets, Total -291 -515 - -","Property/Plant/Equipment, Total - Net 1421 1325 1230.3 1030.93  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net - - - -  Intangibles, Net 22 30 43.81 52.05  Long Term Investments 455 507 0.01 0.01  Note Receivable - Long Term 11 12 - -  Other Long Term Assets, Total 1 1 420.72 335.41  Other Assets, Total -291 -515 - -","Property/Plant/Equipment, Total - Net 1421 1325 1230.3 1030.93  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net - - - -  Intangibles, Net 22 30 43.81 52.05  Long Term Investments 455 507 0.01 0.01  Note Receivable - Long Term 11 12 - -  Other Long Term Assets, Total 1 1 420.72 335.41  Other Assets, Total -291 -515 - -","Property/Plant/Equipment, Total - Net 1421 1325 1230.3 1030.93  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net - - - -  Intangibles, Net 22 30 43.81 52.05  Long Term Investments 455 507 0.01 0.01  Note Receivable - Long Term 11 12 - -  Other Long Term Assets, Total 1 1 420.72 335.41  Other Assets, Total -291 -515 - -","Property/Plant/Equipment, Total - Net 1421 1325 1230.3 1030.93  Property/Plant/Equipment, Total - Gross - - - -  Accumulated Depreciation, Total - - - -  Goodwill, Net - - - -  Intangibles, Net 22 30 43.81 52.05  Long Term Investments 455 507 0.01 0.01  Note Receivable - Long Term 11 12 - -  Other Long Term Assets, Total 1 1 420.72 335.41  Other Assets, Total -291 -515 - -"
"Property/Plant/Equipment, Total - Net",1421,1325,1230.3,1030.93
"Property/Plant/Equipment, Total - Gross",-,-,-,-
"Accumulated Depreciation, Total",-,-,-,-
"Goodwill, Net",-,-,-,-
"Intangibles, Net",22,30,43.81,52.05
Long Term Investments,455,507,0.01,0.01
Note Receivable - Long Term,11,12,-,-
"Other Long Term Assets, Total",1,1,420.72,335.41
"Other Assets, Total",-291,-515,-,-
Total Current Liabilities,1388,1347,1264.05,926.69
"Accounts Payable 12 9 3.34 5.08  Payable/Accrued - - - -  Accrued Expenses 689 645 633.42 578.24  Notes Payable/Short Term Debt - - 134.1 -  Current Port. of LT Debt/Capital Leases 103 91 70.98 58.45  Other Current liabilities, Total 584 602 422.21 284.92","Accounts Payable 12 9 3.34 5.08  Payable/Accrued - - - -  Accrued Expenses 689 645 633.42 578.24  Notes Payable/Short Term Debt - - 134.1 -  Current Port. of LT Debt/Capital Leases 103 91 70.98 58.45  Other Current liabilities, Total 584 602 422.21 284.92","Accounts Payable 12 9 3.34 5.08  Payable/Accrued - - - -  Accrued Expenses 689 645 633.42 578.24  Notes Payable/Short Term Debt - - 134.1 -  Current Port. of LT Debt/Capital Leases 103 91 70.98 58.45  Other Current liabilities, Total 584 602 422.21 284.92","Accounts Payable 12 9 3.34 5.08  Payable/Accrued - - - -  Accrued Expenses 689 645 633.42 578.24  Notes Payable/Short Term Debt - - 134.1 -  Current Port. of LT Debt/Capital Leases 103 91 70.98 58.45  Other Current liabilities, Total 584 602 422.21 284.92","Accounts Payable 12 9 3.34 5.08  Payable/Accrued - - - -  Accrued Expenses 689 645 633.42 578.24  Notes Payable/Short Term Debt - - 134.1 -  Current Port. of LT Debt/Capital Leases 103 91 70.98 58.45  Other Current liabilities, Total 584 602 422.21 284.92"
Accounts Payable,12,9,3.34,5.08
Payable/Accrued,-,-,-,-
Accrued Expenses,689,645,633.42,578.24
Notes Payable/Short Term Debt,-,-,134.1,-
Current Port. of LT Debt/Capital Leases,103,91,70.98,58.45
"Other Current liabilities, Total",584,602,422.21,284.92
Total Liabilities,2565,2564,2179.8,1602
"Total Long Term Debt 914 888 707.47 537.81  Long Term Debt 912 880 692.34 510.55  Capital Lease Obligations 2 8 15.13 27.25  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -747.34 -632.94 208.29 137.5","Total Long Term Debt 914 888 707.47 537.81  Long Term Debt 912 880 692.34 510.55  Capital Lease Obligations 2 8 15.13 27.25  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -747.34 -632.94 208.29 137.5","Total Long Term Debt 914 888 707.47 537.81  Long Term Debt 912 880 692.34 510.55  Capital Lease Obligations 2 8 15.13 27.25  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -747.34 -632.94 208.29 137.5","Total Long Term Debt 914 888 707.47 537.81  Long Term Debt 912 880 692.34 510.55  Capital Lease Obligations 2 8 15.13 27.25  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -747.34 -632.94 208.29 137.5","Total Long Term Debt 914 888 707.47 537.81  Long Term Debt 912 880 692.34 510.55  Capital Lease Obligations 2 8 15.13 27.25  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -747.34 -632.94 208.29 137.5"
Total Long Term Debt,914,888,707.47,537.81
Long Term Debt,912,880,692.34,510.55
Capital Lease Obligations,2,8,15.13,27.25
Deferred Income Tax,-,-,-,-
Minority Interest,-,-,-,-
"Other Liabilities, Total",-747.34,-632.94,208.29,137.5
Total Equity,2062,1931,1727.09,1634.89
"Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 693 693 693.26 693.26  Additional Paid-In Capital 671 671 671.43 671.43  Retained Earnings (Accumulated Deficit) 703 567 362.39 270.19  Treasury Stock - Common -6 - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 1 - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 693 693 693.26 693.26  Additional Paid-In Capital 671 671 671.43 671.43  Retained Earnings (Accumulated Deficit) 703 567 362.39 270.19  Treasury Stock - Common -6 - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 1 - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 693 693 693.26 693.26  Additional Paid-In Capital 671 671 671.43 671.43  Retained Earnings (Accumulated Deficit) 703 567 362.39 270.19  Treasury Stock - Common -6 - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 1 - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 693 693 693.26 693.26  Additional Paid-In Capital 671 671 671.43 671.43  Retained Earnings (Accumulated Deficit) 703 567 362.39 270.19  Treasury Stock - Common -6 - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 1 - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 693 693 693.26 693.26  Additional Paid-In Capital 671 671 671.43 671.43  Retained Earnings (Accumulated Deficit) 703 567 362.39 270.19  Treasury Stock - Common -6 - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 1 - - -"
"Redeemable Preferred Stock, Total",-,-,-,-
"Preferred Stock - Non Redeemable, Net",-,-,-,-
"Common Stock, Total",693,693,693.26,693.26
Additional Paid-In Capital,671,671,671.43,671.43
Retained Earnings (Accumulated Deficit),703,567,362.39,270.19
Treasury Stock - Common,-6,-,-,-
ESOP Debt Guarantee,-,-,-,-
Unrealized Gain (Loss),-,-,-,-
"Other Equity, Total",1,-,-,-
Total Liabilities & Shareholders' Equity,4627,4495,3906.89,3236.89
Total Common Shares Outstanding,6.32,6.33,6.33,6.33
Total Preferred Shares Outstanding,-,-,-,-
