Period Ending:,202231/05,202131/05,202031/05,201931/05
Total Current Assets,2077,1505,1205.46,1596.31
"Cash and Short Term Investments 1133 868 605.27 1042.56  Cash - - - -  Cash & Equivalents 1133 868 605.27 1042.56  Short Term Investments - - - -  Total Receivables, Net 649 444 417.42 422.33  Accounts Receivables - Trade, Net 649 444 417.42 422.33  Total Inventory 129 29 28.43 22.51  Prepaid Expenses - 109.69 - -  Other Current Assets, Total 166 164 154.34 108.91","Cash and Short Term Investments 1133 868 605.27 1042.56  Cash - - - -  Cash & Equivalents 1133 868 605.27 1042.56  Short Term Investments - - - -  Total Receivables, Net 649 444 417.42 422.33  Accounts Receivables - Trade, Net 649 444 417.42 422.33  Total Inventory 129 29 28.43 22.51  Prepaid Expenses - 109.69 - -  Other Current Assets, Total 166 164 154.34 108.91","Cash and Short Term Investments 1133 868 605.27 1042.56  Cash - - - -  Cash & Equivalents 1133 868 605.27 1042.56  Short Term Investments - - - -  Total Receivables, Net 649 444 417.42 422.33  Accounts Receivables - Trade, Net 649 444 417.42 422.33  Total Inventory 129 29 28.43 22.51  Prepaid Expenses - 109.69 - -  Other Current Assets, Total 166 164 154.34 108.91","Cash and Short Term Investments 1133 868 605.27 1042.56  Cash - - - -  Cash & Equivalents 1133 868 605.27 1042.56  Short Term Investments - - - -  Total Receivables, Net 649 444 417.42 422.33  Accounts Receivables - Trade, Net 649 444 417.42 422.33  Total Inventory 129 29 28.43 22.51  Prepaid Expenses - 109.69 - -  Other Current Assets, Total 166 164 154.34 108.91","Cash and Short Term Investments 1133 868 605.27 1042.56  Cash - - - -  Cash & Equivalents 1133 868 605.27 1042.56  Short Term Investments - - - -  Total Receivables, Net 649 444 417.42 422.33  Accounts Receivables - Trade, Net 649 444 417.42 422.33  Total Inventory 129 29 28.43 22.51  Prepaid Expenses - 109.69 - -  Other Current Assets, Total 166 164 154.34 108.91"
Cash and Short Term Investments,1133,868,605.27,1042.56
Cash,-,-,-,-
Cash & Equivalents,1133,868,605.27,1042.56
Short Term Investments,-,-,-,-
"Total Receivables, Net",649,444,417.42,422.33
"Accounts Receivables - Trade, Net",649,444,417.42,422.33
Total Inventory,129,29,28.43,22.51
Prepaid Expenses,-,109.69,-,-
"Other Current Assets, Total",166,164,154.34,108.91
Total Assets,3154,2107,1736.64,2051.13
