Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,7966,8910,7367.96,7216.72
"Cash and Short Term Investments 7436 8416 6953.7 6795.69  Cash - - - -  Cash & Equivalents 7436 8416 6953.7 6795.69  Short Term Investments - - - -  Total Receivables, Net 323 350 291.81 318.66  Accounts Receivables - Trade, Net 323 350 291.81 318.66  Total Inventory 56 44 57.51 16.59  Prepaid Expenses 41 27 15.29 21.27  Other Current Assets, Total 110 73 49.64 64.5","Cash and Short Term Investments 7436 8416 6953.7 6795.69  Cash - - - -  Cash & Equivalents 7436 8416 6953.7 6795.69  Short Term Investments - - - -  Total Receivables, Net 323 350 291.81 318.66  Accounts Receivables - Trade, Net 323 350 291.81 318.66  Total Inventory 56 44 57.51 16.59  Prepaid Expenses 41 27 15.29 21.27  Other Current Assets, Total 110 73 49.64 64.5","Cash and Short Term Investments 7436 8416 6953.7 6795.69  Cash - - - -  Cash & Equivalents 7436 8416 6953.7 6795.69  Short Term Investments - - - -  Total Receivables, Net 323 350 291.81 318.66  Accounts Receivables - Trade, Net 323 350 291.81 318.66  Total Inventory 56 44 57.51 16.59  Prepaid Expenses 41 27 15.29 21.27  Other Current Assets, Total 110 73 49.64 64.5","Cash and Short Term Investments 7436 8416 6953.7 6795.69  Cash - - - -  Cash & Equivalents 7436 8416 6953.7 6795.69  Short Term Investments - - - -  Total Receivables, Net 323 350 291.81 318.66  Accounts Receivables - Trade, Net 323 350 291.81 318.66  Total Inventory 56 44 57.51 16.59  Prepaid Expenses 41 27 15.29 21.27  Other Current Assets, Total 110 73 49.64 64.5","Cash and Short Term Investments 7436 8416 6953.7 6795.69  Cash - - - -  Cash & Equivalents 7436 8416 6953.7 6795.69  Short Term Investments - - - -  Total Receivables, Net 323 350 291.81 318.66  Accounts Receivables - Trade, Net 323 350 291.81 318.66  Total Inventory 56 44 57.51 16.59  Prepaid Expenses 41 27 15.29 21.27  Other Current Assets, Total 110 73 49.64 64.5"
Cash and Short Term Investments,7436,8416,6953.7,6795.69
Cash,-,-,-,-
Cash & Equivalents,7436,8416,6953.7,6795.69
Short Term Investments,-,-,-,-
"Total Receivables, Net",323,350,291.81,318.66
"Accounts Receivables - Trade, Net",323,350,291.81,318.66
Total Inventory,56,44,57.51,16.59
Prepaid Expenses,41,27,15.29,21.27
