Period Ending:,202331/03,202231/03,202130/09,202030/09
Total Current Assets,36699,35661,32956,11306.48
"Cash and Short Term Investments 24657 30437 27720 8171.41  Cash - - - -  Cash & Equivalents 22968 30407 27690 7599.69  Short Term Investments 1689 30 30 571.73  Total Receivables, Net 10331 4786 4797 2921.57  Accounts Receivables - Trade, Net 10331 4786 4797 2913.55  Total Inventory 480 95 46 10.82  Prepaid Expenses - 113 87 164.7  Other Current Assets, Total 1231 230 306 37.99","Cash and Short Term Investments 24657 30437 27720 8171.41  Cash - - - -  Cash & Equivalents 22968 30407 27690 7599.69  Short Term Investments 1689 30 30 571.73  Total Receivables, Net 10331 4786 4797 2921.57  Accounts Receivables - Trade, Net 10331 4786 4797 2913.55  Total Inventory 480 95 46 10.82  Prepaid Expenses - 113 87 164.7  Other Current Assets, Total 1231 230 306 37.99","Cash and Short Term Investments 24657 30437 27720 8171.41  Cash - - - -  Cash & Equivalents 22968 30407 27690 7599.69  Short Term Investments 1689 30 30 571.73  Total Receivables, Net 10331 4786 4797 2921.57  Accounts Receivables - Trade, Net 10331 4786 4797 2913.55  Total Inventory 480 95 46 10.82  Prepaid Expenses - 113 87 164.7  Other Current Assets, Total 1231 230 306 37.99","Cash and Short Term Investments 24657 30437 27720 8171.41  Cash - - - -  Cash & Equivalents 22968 30407 27690 7599.69  Short Term Investments 1689 30 30 571.73  Total Receivables, Net 10331 4786 4797 2921.57  Accounts Receivables - Trade, Net 10331 4786 4797 2913.55  Total Inventory 480 95 46 10.82  Prepaid Expenses - 113 87 164.7  Other Current Assets, Total 1231 230 306 37.99","Cash and Short Term Investments 24657 30437 27720 8171.41  Cash - - - -  Cash & Equivalents 22968 30407 27690 7599.69  Short Term Investments 1689 30 30 571.73  Total Receivables, Net 10331 4786 4797 2921.57  Accounts Receivables - Trade, Net 10331 4786 4797 2913.55  Total Inventory 480 95 46 10.82  Prepaid Expenses - 113 87 164.7  Other Current Assets, Total 1231 230 306 37.99"
Cash and Short Term Investments,24657,30437,27720,8171.41
Cash,-,-,-,-
Cash & Equivalents,22968,30407,27690,7599.69
Short Term Investments,1689,30,30,571.73
"Total Receivables, Net",10331,4786,4797,2921.57
"Accounts Receivables - Trade, Net",10331,4786,4797,2913.55
Total Inventory,480,95,46,10.82
Prepaid Expenses,-,113,87,164.7
"Other Current Assets, Total",1231,230,306,37.99
Total Assets,52943,42728,39386,17093.65
