Period Ending:,202230/06,202130/06,202030/06,201930/06
Total Current Assets,2776,2487.94,1537.89,1415.27
"Cash and Short Term Investments 873 935.2 764.03 653.04  Cash - - - -  Cash & Equivalents 873 935.2 764.03 653.04  Short Term Investments - - - -  Total Receivables, Net 1642 1290.79 666.83 659.17  Accounts Receivables - Trade, Net 1642 1290.79 665.93 659.17  Total Inventory 224 232.27 84.92 81.74  Prepaid Expenses 33 28.71 15.23 20.86  Other Current Assets, Total 4 0.97 6.89 0.45","Cash and Short Term Investments 873 935.2 764.03 653.04  Cash - - - -  Cash & Equivalents 873 935.2 764.03 653.04  Short Term Investments - - - -  Total Receivables, Net 1642 1290.79 666.83 659.17  Accounts Receivables - Trade, Net 1642 1290.79 665.93 659.17  Total Inventory 224 232.27 84.92 81.74  Prepaid Expenses 33 28.71 15.23 20.86  Other Current Assets, Total 4 0.97 6.89 0.45","Cash and Short Term Investments 873 935.2 764.03 653.04  Cash - - - -  Cash & Equivalents 873 935.2 764.03 653.04  Short Term Investments - - - -  Total Receivables, Net 1642 1290.79 666.83 659.17  Accounts Receivables - Trade, Net 1642 1290.79 665.93 659.17  Total Inventory 224 232.27 84.92 81.74  Prepaid Expenses 33 28.71 15.23 20.86  Other Current Assets, Total 4 0.97 6.89 0.45","Cash and Short Term Investments 873 935.2 764.03 653.04  Cash - - - -  Cash & Equivalents 873 935.2 764.03 653.04  Short Term Investments - - - -  Total Receivables, Net 1642 1290.79 666.83 659.17  Accounts Receivables - Trade, Net 1642 1290.79 665.93 659.17  Total Inventory 224 232.27 84.92 81.74  Prepaid Expenses 33 28.71 15.23 20.86  Other Current Assets, Total 4 0.97 6.89 0.45","Cash and Short Term Investments 873 935.2 764.03 653.04  Cash - - - -  Cash & Equivalents 873 935.2 764.03 653.04  Short Term Investments - - - -  Total Receivables, Net 1642 1290.79 666.83 659.17  Accounts Receivables - Trade, Net 1642 1290.79 665.93 659.17  Total Inventory 224 232.27 84.92 81.74  Prepaid Expenses 33 28.71 15.23 20.86  Other Current Assets, Total 4 0.97 6.89 0.45"
Cash and Short Term Investments,873,935.2,764.03,653.04
Cash,-,-,-,-
Cash & Equivalents,873,935.2,764.03,653.04
Short Term Investments,-,-,-,-
"Total Receivables, Net",1642,1290.79,666.83,659.17
"Accounts Receivables - Trade, Net",1642,1290.79,665.93,659.17
Total Inventory,224,232.27,84.92,81.74
Prepaid Expenses,33,28.71,15.23,20.86
"Other Current Assets, Total",4,0.97,6.89,0.45
Total Assets,3027,2672.46,1696.13,1593.66
"Property/Plant/Equipment, Total - Net 7 6.65 10.05 13.12  Property/Plant/Equipment, Total - Gross - 25.45 25.45 27.69  Accumulated Depreciation, Total - -18.8 -15.4 -14.57  Goodwill, Net - - - -  Intangibles, Net 57 44.81 27.36 8.36  Long Term Investments 150 - - -  Note Receivable - Long Term - 0.05 - -  Other Long Term Assets, Total 1 133.01 120.83 156.9  Other Assets, Total -1378 - - -","Property/Plant/Equipment, Total - Net 7 6.65 10.05 13.12  Property/Plant/Equipment, Total - Gross - 25.45 25.45 27.69  Accumulated Depreciation, Total - -18.8 -15.4 -14.57  Goodwill, Net - - - -  Intangibles, Net 57 44.81 27.36 8.36  Long Term Investments 150 - - -  Note Receivable - Long Term - 0.05 - -  Other Long Term Assets, Total 1 133.01 120.83 156.9  Other Assets, Total -1378 - - -","Property/Plant/Equipment, Total - Net 7 6.65 10.05 13.12  Property/Plant/Equipment, Total - Gross - 25.45 25.45 27.69  Accumulated Depreciation, Total - -18.8 -15.4 -14.57  Goodwill, Net - - - -  Intangibles, Net 57 44.81 27.36 8.36  Long Term Investments 150 - - -  Note Receivable - Long Term - 0.05 - -  Other Long Term Assets, Total 1 133.01 120.83 156.9  Other Assets, Total -1378 - - -","Property/Plant/Equipment, Total - Net 7 6.65 10.05 13.12  Property/Plant/Equipment, Total - Gross - 25.45 25.45 27.69  Accumulated Depreciation, Total - -18.8 -15.4 -14.57  Goodwill, Net - - - -  Intangibles, Net 57 44.81 27.36 8.36  Long Term Investments 150 - - -  Note Receivable - Long Term - 0.05 - -  Other Long Term Assets, Total 1 133.01 120.83 156.9  Other Assets, Total -1378 - - -","Property/Plant/Equipment, Total - Net 7 6.65 10.05 13.12  Property/Plant/Equipment, Total - Gross - 25.45 25.45 27.69  Accumulated Depreciation, Total - -18.8 -15.4 -14.57  Goodwill, Net - - - -  Intangibles, Net 57 44.81 27.36 8.36  Long Term Investments 150 - - -  Note Receivable - Long Term - 0.05 - -  Other Long Term Assets, Total 1 133.01 120.83 156.9  Other Assets, Total -1378 - - -"
"Property/Plant/Equipment, Total - Net",7,6.65,10.05,13.12
"Property/Plant/Equipment, Total - Gross",-,25.45,25.45,27.69
"Accumulated Depreciation, Total",-,-18.8,-15.4,-14.57
"Goodwill, Net",-,-,-,-
"Intangibles, Net",57,44.81,27.36,8.36
Long Term Investments,150,-,-,-
Note Receivable - Long Term,-,0.05,-,-
"Other Long Term Assets, Total",1,133.01,120.83,156.9
"Other Assets, Total",-1378,-,-,-
Total Current Liabilities,1358,1390.14,960.22,867.73
"Accounts Payable 336 327.36 136.01 62.85  Payable/Accrued - - - -  Accrued Expenses 218 204.55 175.56 173.97  Notes Payable/Short Term Debt 500 500 500 500  Current Port. of LT Debt/Capital Leases 45 60 60 60  Other Current liabilities, Total 259 298.23 88.65 70.9","Accounts Payable 336 327.36 136.01 62.85  Payable/Accrued - - - -  Accrued Expenses 218 204.55 175.56 173.97  Notes Payable/Short Term Debt 500 500 500 500  Current Port. of LT Debt/Capital Leases 45 60 60 60  Other Current liabilities, Total 259 298.23 88.65 70.9","Accounts Payable 336 327.36 136.01 62.85  Payable/Accrued - - - -  Accrued Expenses 218 204.55 175.56 173.97  Notes Payable/Short Term Debt 500 500 500 500  Current Port. of LT Debt/Capital Leases 45 60 60 60  Other Current liabilities, Total 259 298.23 88.65 70.9","Accounts Payable 336 327.36 136.01 62.85  Payable/Accrued - - - -  Accrued Expenses 218 204.55 175.56 173.97  Notes Payable/Short Term Debt 500 500 500 500  Current Port. of LT Debt/Capital Leases 45 60 60 60  Other Current liabilities, Total 259 298.23 88.65 70.9","Accounts Payable 336 327.36 136.01 62.85  Payable/Accrued - - - -  Accrued Expenses 218 204.55 175.56 173.97  Notes Payable/Short Term Debt 500 500 500 500  Current Port. of LT Debt/Capital Leases 45 60 60 60  Other Current liabilities, Total 259 298.23 88.65 70.9"
Accounts Payable,336,327.36,136.01,62.85
Payable/Accrued,-,-,-,-
Accrued Expenses,218,204.55,175.56,173.97
Notes Payable/Short Term Debt,500,500,500,500
Current Port. of LT Debt/Capital Leases,45,60,60,60
"Other Current liabilities, Total",259,298.23,88.65,70.9
Total Liabilities,1358,1435.14,1065.22,1032.73
"Total Long Term Debt - 45 105 165  Long Term Debt - 45 105 165  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -500 - - -","Total Long Term Debt - 45 105 165  Long Term Debt - 45 105 165  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -500 - - -","Total Long Term Debt - 45 105 165  Long Term Debt - 45 105 165  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -500 - - -","Total Long Term Debt - 45 105 165  Long Term Debt - 45 105 165  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -500 - - -","Total Long Term Debt - 45 105 165  Long Term Debt - 45 105 165  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total -500 - - -"
Total Long Term Debt,-,45,105,165
Long Term Debt,-,45,105,165
Capital Lease Obligations,-,-,-,-
Deferred Income Tax,-,-,-,-
Minority Interest,-,-,-,-
"Other Liabilities, Total",-500,-,-,-
Total Equity,1669,1237.32,630.91,560.93
"Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 331 277.4 93.47 93.47  Additional Paid-In Capital 281 228.2 44.27 44.27  Retained Earnings (Accumulated Deficit) 1056 731.73 493.17 423.19  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 1 - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 331 277.4 93.47 93.47  Additional Paid-In Capital 281 228.2 44.27 44.27  Retained Earnings (Accumulated Deficit) 1056 731.73 493.17 423.19  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 1 - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 331 277.4 93.47 93.47  Additional Paid-In Capital 281 228.2 44.27 44.27  Retained Earnings (Accumulated Deficit) 1056 731.73 493.17 423.19  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 1 - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 331 277.4 93.47 93.47  Additional Paid-In Capital 281 228.2 44.27 44.27  Retained Earnings (Accumulated Deficit) 1056 731.73 493.17 423.19  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 1 - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 331 277.4 93.47 93.47  Additional Paid-In Capital 281 228.2 44.27 44.27  Retained Earnings (Accumulated Deficit) 1056 731.73 493.17 423.19  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 1 - - -"
"Redeemable Preferred Stock, Total",-,-,-,-
"Preferred Stock - Non Redeemable, Net",-,-,-,-
"Common Stock, Total",331,277.4,93.47,93.47
Additional Paid-In Capital,281,228.2,44.27,44.27
Retained Earnings (Accumulated Deficit),1056,731.73,493.17,423.19
Treasury Stock - Common,-,-,-,-
ESOP Debt Guarantee,-,-,-,-
Unrealized Gain (Loss),-,-,-,-
"Other Equity, Total",1,-,-,-
Total Liabilities & Shareholders' Equity,3027,2672.46,1696.13,1593.66
Total Common Shares Outstanding,1.85,1.76,1.76,1.76
Total Preferred Shares Outstanding,-,-,-,-
