Period Ending:,202230/04,202130/04,202030/04,201930/04
Total Current Assets,11096,8383,9518,9909
"Cash and Short Term Investments 1871 967 1440 1277  Cash - - - -  Cash & Equivalents 1871 967 1440 1277  Short Term Investments - - - -  Total Receivables, Net 4989 4001 4271 4785  Accounts Receivables - Trade, Net 4289 3484 3681 4106  Total Inventory 3729 3220 3635 3735  Prepaid Expenses 160 149 154 92  Other Current Assets, Total 347 46 18 20","Cash and Short Term Investments 1871 967 1440 1277  Cash - - - -  Cash & Equivalents 1871 967 1440 1277  Short Term Investments - - - -  Total Receivables, Net 4989 4001 4271 4785  Accounts Receivables - Trade, Net 4289 3484 3681 4106  Total Inventory 3729 3220 3635 3735  Prepaid Expenses 160 149 154 92  Other Current Assets, Total 347 46 18 20","Cash and Short Term Investments 1871 967 1440 1277  Cash - - - -  Cash & Equivalents 1871 967 1440 1277  Short Term Investments - - - -  Total Receivables, Net 4989 4001 4271 4785  Accounts Receivables - Trade, Net 4289 3484 3681 4106  Total Inventory 3729 3220 3635 3735  Prepaid Expenses 160 149 154 92  Other Current Assets, Total 347 46 18 20","Cash and Short Term Investments 1871 967 1440 1277  Cash - - - -  Cash & Equivalents 1871 967 1440 1277  Short Term Investments - - - -  Total Receivables, Net 4989 4001 4271 4785  Accounts Receivables - Trade, Net 4289 3484 3681 4106  Total Inventory 3729 3220 3635 3735  Prepaid Expenses 160 149 154 92  Other Current Assets, Total 347 46 18 20","Cash and Short Term Investments 1871 967 1440 1277  Cash - - - -  Cash & Equivalents 1871 967 1440 1277  Short Term Investments - - - -  Total Receivables, Net 4989 4001 4271 4785  Accounts Receivables - Trade, Net 4289 3484 3681 4106  Total Inventory 3729 3220 3635 3735  Prepaid Expenses 160 149 154 92  Other Current Assets, Total 347 46 18 20"
Cash and Short Term Investments,1871,967,1440,1277
Cash,-,-,-,-
Cash & Equivalents,1871,967,1440,1277
Short Term Investments,-,-,-,-
"Total Receivables, Net",4989,4001,4271,4785
"Accounts Receivables - Trade, Net",4289,3484,3681,4106
Total Inventory,3729,3220,3635,3735
Prepaid Expenses,160,149,154,92
"Other Current Assets, Total",347,46,18,20
Total Assets,24697,18602,19082,19611
"Property/Plant/Equipment, Total - Net 12266 8872 8205 8460  Property/Plant/Equipment, Total - Gross 38631 34581 33427 34746  Accumulated Depreciation, Total -26367 -25710 -25223 -26286  Goodwill, Net - - - -  Intangibles, Net 24 22 33 41  Long Term Investments 344 343 260 419  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 967 982 1066 782  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 12266 8872 8205 8460  Property/Plant/Equipment, Total - Gross 38631 34581 33427 34746  Accumulated Depreciation, Total -26367 -25710 -25223 -26286  Goodwill, Net - - - -  Intangibles, Net 24 22 33 41  Long Term Investments 344 343 260 419  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 967 982 1066 782  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 12266 8872 8205 8460  Property/Plant/Equipment, Total - Gross 38631 34581 33427 34746  Accumulated Depreciation, Total -26367 -25710 -25223 -26286  Goodwill, Net - - - -  Intangibles, Net 24 22 33 41  Long Term Investments 344 343 260 419  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 967 982 1066 782  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 12266 8872 8205 8460  Property/Plant/Equipment, Total - Gross 38631 34581 33427 34746  Accumulated Depreciation, Total -26367 -25710 -25223 -26286  Goodwill, Net - - - -  Intangibles, Net 24 22 33 41  Long Term Investments 344 343 260 419  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 967 982 1066 782  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 12266 8872 8205 8460  Property/Plant/Equipment, Total - Gross 38631 34581 33427 34746  Accumulated Depreciation, Total -26367 -25710 -25223 -26286  Goodwill, Net - - - -  Intangibles, Net 24 22 33 41  Long Term Investments 344 343 260 419  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 967 982 1066 782  Other Assets, Total - - - -"
"Property/Plant/Equipment, Total - Net",12266,8872,8205,8460
"Property/Plant/Equipment, Total - Gross",38631,34581,33427,34746
"Accumulated Depreciation, Total",-26367,-25710,-25223,-26286
"Goodwill, Net",-,-,-,-
"Intangibles, Net",24,22,33,41
Long Term Investments,344,343,260,419
Note Receivable - Long Term,-,-,-,-
"Other Long Term Assets, Total",967,982,1066,782
"Other Assets, Total",-,-,-,-
Total Current Liabilities,11188,7090,8089,8285
"Accounts Payable 3527 2462 2518 3470  Payable/Accrued - - - -  Accrued Expenses 673 691 630 653  Notes Payable/Short Term Debt 2800 1600 3000 1300  Current Port. of LT Debt/Capital Leases 634 465 762 1711  Other Current liabilities, Total 3554 1872 1179 1151","Accounts Payable 3527 2462 2518 3470  Payable/Accrued - - - -  Accrued Expenses 673 691 630 653  Notes Payable/Short Term Debt 2800 1600 3000 1300  Current Port. of LT Debt/Capital Leases 634 465 762 1711  Other Current liabilities, Total 3554 1872 1179 1151","Accounts Payable 3527 2462 2518 3470  Payable/Accrued - - - -  Accrued Expenses 673 691 630 653  Notes Payable/Short Term Debt 2800 1600 3000 1300  Current Port. of LT Debt/Capital Leases 634 465 762 1711  Other Current liabilities, Total 3554 1872 1179 1151","Accounts Payable 3527 2462 2518 3470  Payable/Accrued - - - -  Accrued Expenses 673 691 630 653  Notes Payable/Short Term Debt 2800 1600 3000 1300  Current Port. of LT Debt/Capital Leases 634 465 762 1711  Other Current liabilities, Total 3554 1872 1179 1151","Accounts Payable 3527 2462 2518 3470  Payable/Accrued - - - -  Accrued Expenses 673 691 630 653  Notes Payable/Short Term Debt 2800 1600 3000 1300  Current Port. of LT Debt/Capital Leases 634 465 762 1711  Other Current liabilities, Total 3554 1872 1179 1151"
Accounts Payable,3527,2462,2518,3470
Payable/Accrued,-,-,-,-
Accrued Expenses,673,691,630,653
Notes Payable/Short Term Debt,2800,1600,3000,1300
Current Port. of LT Debt/Capital Leases,634,465,762,1711
"Other Current liabilities, Total",3554,1872,1179,1151
Total Liabilities,15332,10062,11530,12452
"Total Long Term Debt 1453 1028 1494 2256  Long Term Debt 1441 980 1399 2106  Capital Lease Obligations 12 48 95 150  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 2691 1944 1947 1911","Total Long Term Debt 1453 1028 1494 2256  Long Term Debt 1441 980 1399 2106  Capital Lease Obligations 12 48 95 150  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 2691 1944 1947 1911","Total Long Term Debt 1453 1028 1494 2256  Long Term Debt 1441 980 1399 2106  Capital Lease Obligations 12 48 95 150  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 2691 1944 1947 1911","Total Long Term Debt 1453 1028 1494 2256  Long Term Debt 1441 980 1399 2106  Capital Lease Obligations 12 48 95 150  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 2691 1944 1947 1911","Total Long Term Debt 1453 1028 1494 2256  Long Term Debt 1441 980 1399 2106  Capital Lease Obligations 12 48 95 150  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 2691 1944 1947 1911"
Total Long Term Debt,1453,1028,1494,2256
Long Term Debt,1441,980,1399,2106
Capital Lease Obligations,12,48,95,150
Deferred Income Tax,-,-,-,-
Minority Interest,-,-,-,-
"Other Liabilities, Total",2691,1944,1947,1911
Total Equity,9365,8540,7552,7159
"Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 1320 1320 1320 1320  Additional Paid-In Capital 1081 1085 1085 1079  Retained Earnings (Accumulated Deficit) 7122 6093 5170 4747  Treasury Stock - Common -252 -27 -27 -30  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) 94 67 2 43  Other Equity, Total - 2 2 -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 1320 1320 1320 1320  Additional Paid-In Capital 1081 1085 1085 1079  Retained Earnings (Accumulated Deficit) 7122 6093 5170 4747  Treasury Stock - Common -252 -27 -27 -30  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) 94 67 2 43  Other Equity, Total - 2 2 -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 1320 1320 1320 1320  Additional Paid-In Capital 1081 1085 1085 1079  Retained Earnings (Accumulated Deficit) 7122 6093 5170 4747  Treasury Stock - Common -252 -27 -27 -30  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) 94 67 2 43  Other Equity, Total - 2 2 -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 1320 1320 1320 1320  Additional Paid-In Capital 1081 1085 1085 1079  Retained Earnings (Accumulated Deficit) 7122 6093 5170 4747  Treasury Stock - Common -252 -27 -27 -30  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) 94 67 2 43  Other Equity, Total - 2 2 -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 1320 1320 1320 1320  Additional Paid-In Capital 1081 1085 1085 1079  Retained Earnings (Accumulated Deficit) 7122 6093 5170 4747  Treasury Stock - Common -252 -27 -27 -30  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) 94 67 2 43  Other Equity, Total - 2 2 -"
"Redeemable Preferred Stock, Total",-,-,-,-
"Preferred Stock - Non Redeemable, Net",-,-,-,-
"Common Stock, Total",1320,1320,1320,1320
Additional Paid-In Capital,1081,1085,1085,1079
Retained Earnings (Accumulated Deficit),7122,6093,5170,4747
Treasury Stock - Common,-252,-27,-27,-30
ESOP Debt Guarantee,-,-,-,-
Unrealized Gain (Loss),94,67,2,43
"Other Equity, Total",-,2,2,-
Total Liabilities & Shareholders' Equity,24697,18602,19082,19611
Total Common Shares Outstanding,9.03,9.16,9.16,9.15
Total Preferred Shares Outstanding,-,-,-,-
