Period Ending:,202328/02,202228/02,202128/02,202029/02
Total Current Assets,1910,2756,2751.22,1947.67
"Cash and Short Term Investments 1499 2235 2270.14 1473.27  Cash - - - -  Cash & Equivalents 1499 2235 2270.14 1473.27  Short Term Investments - - - -  Total Receivables, Net 198 97 61.88 218.37  Accounts Receivables - Trade, Net 198 97 61.88 218.37  Total Inventory 41 34 27.32 38.23  Prepaid Expenses 125 149 129.72 185.43  Other Current Assets, Total 47 241 262.16 32.37","Cash and Short Term Investments 1499 2235 2270.14 1473.27  Cash - - - -  Cash & Equivalents 1499 2235 2270.14 1473.27  Short Term Investments - - - -  Total Receivables, Net 198 97 61.88 218.37  Accounts Receivables - Trade, Net 198 97 61.88 218.37  Total Inventory 41 34 27.32 38.23  Prepaid Expenses 125 149 129.72 185.43  Other Current Assets, Total 47 241 262.16 32.37","Cash and Short Term Investments 1499 2235 2270.14 1473.27  Cash - - - -  Cash & Equivalents 1499 2235 2270.14 1473.27  Short Term Investments - - - -  Total Receivables, Net 198 97 61.88 218.37  Accounts Receivables - Trade, Net 198 97 61.88 218.37  Total Inventory 41 34 27.32 38.23  Prepaid Expenses 125 149 129.72 185.43  Other Current Assets, Total 47 241 262.16 32.37","Cash and Short Term Investments 1499 2235 2270.14 1473.27  Cash - - - -  Cash & Equivalents 1499 2235 2270.14 1473.27  Short Term Investments - - - -  Total Receivables, Net 198 97 61.88 218.37  Accounts Receivables - Trade, Net 198 97 61.88 218.37  Total Inventory 41 34 27.32 38.23  Prepaid Expenses 125 149 129.72 185.43  Other Current Assets, Total 47 241 262.16 32.37","Cash and Short Term Investments 1499 2235 2270.14 1473.27  Cash - - - -  Cash & Equivalents 1499 2235 2270.14 1473.27  Short Term Investments - - - -  Total Receivables, Net 198 97 61.88 218.37  Accounts Receivables - Trade, Net 198 97 61.88 218.37  Total Inventory 41 34 27.32 38.23  Prepaid Expenses 125 149 129.72 185.43  Other Current Assets, Total 47 241 262.16 32.37"
Cash and Short Term Investments,1499,2235,2270.14,1473.27
Cash,-,-,-,-
Cash & Equivalents,1499,2235,2270.14,1473.27
Short Term Investments,-,-,-,-
"Total Receivables, Net",198,97,61.88,218.37
"Accounts Receivables - Trade, Net",198,97,61.88,218.37
Total Inventory,41,34,27.32,38.23
Prepaid Expenses,125,149,129.72,185.43
"Other Current Assets, Total",47,241,262.16,32.37
Total Assets,4214,5764,5615.94,5476.24
