Period Ending:,202230/04,202130/04,202030/04,Unnamed: 4
Total Current Assets,8497.78,5220.82,3333.87,-
"Cash and Short Term Investments 5860.7 3628.27 2491.64 -  Cash - - - -  Cash & Equivalents 5860.7 3628.27 2491.64 -  Short Term Investments - - - -  Total Receivables, Net 2069.61 1395.31 705.17 -  Accounts Receivables - Trade, Net 2069.61 1395.31 705.17 -  Total Inventory 488.88 127.03 52.35 -  Prepaid Expenses 65.71 37.62 30.95 -  Other Current Assets, Total 12.89 32.58 53.76 -","Cash and Short Term Investments 5860.7 3628.27 2491.64 -  Cash - - - -  Cash & Equivalents 5860.7 3628.27 2491.64 -  Short Term Investments - - - -  Total Receivables, Net 2069.61 1395.31 705.17 -  Accounts Receivables - Trade, Net 2069.61 1395.31 705.17 -  Total Inventory 488.88 127.03 52.35 -  Prepaid Expenses 65.71 37.62 30.95 -  Other Current Assets, Total 12.89 32.58 53.76 -","Cash and Short Term Investments 5860.7 3628.27 2491.64 -  Cash - - - -  Cash & Equivalents 5860.7 3628.27 2491.64 -  Short Term Investments - - - -  Total Receivables, Net 2069.61 1395.31 705.17 -  Accounts Receivables - Trade, Net 2069.61 1395.31 705.17 -  Total Inventory 488.88 127.03 52.35 -  Prepaid Expenses 65.71 37.62 30.95 -  Other Current Assets, Total 12.89 32.58 53.76 -","Cash and Short Term Investments 5860.7 3628.27 2491.64 -  Cash - - - -  Cash & Equivalents 5860.7 3628.27 2491.64 -  Short Term Investments - - - -  Total Receivables, Net 2069.61 1395.31 705.17 -  Accounts Receivables - Trade, Net 2069.61 1395.31 705.17 -  Total Inventory 488.88 127.03 52.35 -  Prepaid Expenses 65.71 37.62 30.95 -  Other Current Assets, Total 12.89 32.58 53.76 -","Cash and Short Term Investments 5860.7 3628.27 2491.64 -  Cash - - - -  Cash & Equivalents 5860.7 3628.27 2491.64 -  Short Term Investments - - - -  Total Receivables, Net 2069.61 1395.31 705.17 -  Accounts Receivables - Trade, Net 2069.61 1395.31 705.17 -  Total Inventory 488.88 127.03 52.35 -  Prepaid Expenses 65.71 37.62 30.95 -  Other Current Assets, Total 12.89 32.58 53.76 -"
Cash and Short Term Investments,5860.7,3628.27,2491.64,-
Cash,-,-,-,-
Cash & Equivalents,5860.7,3628.27,2491.64,-
Short Term Investments,-,-,-,-
"Total Receivables, Net",2069.61,1395.31,705.17,-
"Accounts Receivables - Trade, Net",2069.61,1395.31,705.17,-
Total Inventory,488.88,127.03,52.35,-
Prepaid Expenses,65.71,37.62,30.95,-
"Other Current Assets, Total",12.89,32.58,53.76,-
Total Assets,9353.33,6229.76,3590.68,-
