Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,1959,1896.06,1561.85,1236.55
"Cash and Short Term Investments 567 719.56 538.29 227.42  Cash - - - -  Cash & Equivalents 567 719.56 538.29 227.42  Short Term Investments - - - -  Total Receivables, Net 1152 996.1 832.64 744.54  Accounts Receivables - Trade, Net 1152 996.1 832.64 744.54  Total Inventory 185 156.26 177.09 251.3  Prepaid Expenses 35 22.09 11.46 11.61  Other Current Assets, Total 20 2.05 2.37 1.68","Cash and Short Term Investments 567 719.56 538.29 227.42  Cash - - - -  Cash & Equivalents 567 719.56 538.29 227.42  Short Term Investments - - - -  Total Receivables, Net 1152 996.1 832.64 744.54  Accounts Receivables - Trade, Net 1152 996.1 832.64 744.54  Total Inventory 185 156.26 177.09 251.3  Prepaid Expenses 35 22.09 11.46 11.61  Other Current Assets, Total 20 2.05 2.37 1.68","Cash and Short Term Investments 567 719.56 538.29 227.42  Cash - - - -  Cash & Equivalents 567 719.56 538.29 227.42  Short Term Investments - - - -  Total Receivables, Net 1152 996.1 832.64 744.54  Accounts Receivables - Trade, Net 1152 996.1 832.64 744.54  Total Inventory 185 156.26 177.09 251.3  Prepaid Expenses 35 22.09 11.46 11.61  Other Current Assets, Total 20 2.05 2.37 1.68","Cash and Short Term Investments 567 719.56 538.29 227.42  Cash - - - -  Cash & Equivalents 567 719.56 538.29 227.42  Short Term Investments - - - -  Total Receivables, Net 1152 996.1 832.64 744.54  Accounts Receivables - Trade, Net 1152 996.1 832.64 744.54  Total Inventory 185 156.26 177.09 251.3  Prepaid Expenses 35 22.09 11.46 11.61  Other Current Assets, Total 20 2.05 2.37 1.68","Cash and Short Term Investments 567 719.56 538.29 227.42  Cash - - - -  Cash & Equivalents 567 719.56 538.29 227.42  Short Term Investments - - - -  Total Receivables, Net 1152 996.1 832.64 744.54  Accounts Receivables - Trade, Net 1152 996.1 832.64 744.54  Total Inventory 185 156.26 177.09 251.3  Prepaid Expenses 35 22.09 11.46 11.61  Other Current Assets, Total 20 2.05 2.37 1.68"
Cash and Short Term Investments,567,719.56,538.29,227.42
Cash,-,-,-,-
Cash & Equivalents,567,719.56,538.29,227.42
Short Term Investments,-,-,-,-
"Total Receivables, Net",1152,996.1,832.64,744.54
"Accounts Receivables - Trade, Net",1152,996.1,832.64,744.54
Total Inventory,185,156.26,177.09,251.3
Prepaid Expenses,35,22.09,11.46,11.61
"Other Current Assets, Total",20,2.05,2.37,1.68
Total Assets,2914,2531.61,2015.03,1771.86
