Period Ending:,202331/01,202231/01,202131/01,202031/01
Total Current Assets,3720,3123,3735.25,2851.13
"Cash and Short Term Investments 2401 1748 2425.22 1600.09  Cash - - - -  Cash & Equivalents 2401 1748 2425.22 1600.09  Short Term Investments - - - -  Total Receivables, Net 586 623 597.26 572.16  Accounts Receivables - Trade, Net 586 623 597.26 572.16  Total Inventory 1 0.54 0.47 2.56  Prepaid Expenses 557 525 467.02 472.58  Other Current Assets, Total 175 227 245.28 203.74","Cash and Short Term Investments 2401 1748 2425.22 1600.09  Cash - - - -  Cash & Equivalents 2401 1748 2425.22 1600.09  Short Term Investments - - - -  Total Receivables, Net 586 623 597.26 572.16  Accounts Receivables - Trade, Net 586 623 597.26 572.16  Total Inventory 1 0.54 0.47 2.56  Prepaid Expenses 557 525 467.02 472.58  Other Current Assets, Total 175 227 245.28 203.74","Cash and Short Term Investments 2401 1748 2425.22 1600.09  Cash - - - -  Cash & Equivalents 2401 1748 2425.22 1600.09  Short Term Investments - - - -  Total Receivables, Net 586 623 597.26 572.16  Accounts Receivables - Trade, Net 586 623 597.26 572.16  Total Inventory 1 0.54 0.47 2.56  Prepaid Expenses 557 525 467.02 472.58  Other Current Assets, Total 175 227 245.28 203.74","Cash and Short Term Investments 2401 1748 2425.22 1600.09  Cash - - - -  Cash & Equivalents 2401 1748 2425.22 1600.09  Short Term Investments - - - -  Total Receivables, Net 586 623 597.26 572.16  Accounts Receivables - Trade, Net 586 623 597.26 572.16  Total Inventory 1 0.54 0.47 2.56  Prepaid Expenses 557 525 467.02 472.58  Other Current Assets, Total 175 227 245.28 203.74","Cash and Short Term Investments 2401 1748 2425.22 1600.09  Cash - - - -  Cash & Equivalents 2401 1748 2425.22 1600.09  Short Term Investments - - - -  Total Receivables, Net 586 623 597.26 572.16  Accounts Receivables - Trade, Net 586 623 597.26 572.16  Total Inventory 1 0.54 0.47 2.56  Prepaid Expenses 557 525 467.02 472.58  Other Current Assets, Total 175 227 245.28 203.74"
Cash and Short Term Investments,2401,1748,2425.22,1600.09
Cash,-,-,-,-
Cash & Equivalents,2401,1748,2425.22,1600.09
Short Term Investments,-,-,-,-
"Total Receivables, Net",586,623,597.26,572.16
"Accounts Receivables - Trade, Net",586,623,597.26,572.16
Total Inventory,1,0.54,0.47,2.56
Prepaid Expenses,557,525,467.02,472.58
"Other Current Assets, Total",175,227,245.28,203.74
Total Assets,4100,3669,3995.58,3140.97
"Property/Plant/Equipment, Total - Net 12 12 40.09 15.28  Property/Plant/Equipment, Total - Gross - 31.57 82.13 43.36  Accumulated Depreciation, Total - -19.49 -42.03 -28.08  Goodwill, Net - 154.17 - 32.39  Intangibles, Net 129 287 11.73 15.4  Long Term Investments 99 135 59.49 88.77  Note Receivable - Long Term - 8.97 - -  Other Long Term Assets, Total 2 1 149.02 137.99  Other Assets, Total -272 -285 - -","Property/Plant/Equipment, Total - Net 12 12 40.09 15.28  Property/Plant/Equipment, Total - Gross - 31.57 82.13 43.36  Accumulated Depreciation, Total - -19.49 -42.03 -28.08  Goodwill, Net - 154.17 - 32.39  Intangibles, Net 129 287 11.73 15.4  Long Term Investments 99 135 59.49 88.77  Note Receivable - Long Term - 8.97 - -  Other Long Term Assets, Total 2 1 149.02 137.99  Other Assets, Total -272 -285 - -","Property/Plant/Equipment, Total - Net 12 12 40.09 15.28  Property/Plant/Equipment, Total - Gross - 31.57 82.13 43.36  Accumulated Depreciation, Total - -19.49 -42.03 -28.08  Goodwill, Net - 154.17 - 32.39  Intangibles, Net 129 287 11.73 15.4  Long Term Investments 99 135 59.49 88.77  Note Receivable - Long Term - 8.97 - -  Other Long Term Assets, Total 2 1 149.02 137.99  Other Assets, Total -272 -285 - -","Property/Plant/Equipment, Total - Net 12 12 40.09 15.28  Property/Plant/Equipment, Total - Gross - 31.57 82.13 43.36  Accumulated Depreciation, Total - -19.49 -42.03 -28.08  Goodwill, Net - 154.17 - 32.39  Intangibles, Net 129 287 11.73 15.4  Long Term Investments 99 135 59.49 88.77  Note Receivable - Long Term - 8.97 - -  Other Long Term Assets, Total 2 1 149.02 137.99  Other Assets, Total -272 -285 - -","Property/Plant/Equipment, Total - Net 12 12 40.09 15.28  Property/Plant/Equipment, Total - Gross - 31.57 82.13 43.36  Accumulated Depreciation, Total - -19.49 -42.03 -28.08  Goodwill, Net - 154.17 - 32.39  Intangibles, Net 129 287 11.73 15.4  Long Term Investments 99 135 59.49 88.77  Note Receivable - Long Term - 8.97 - -  Other Long Term Assets, Total 2 1 149.02 137.99  Other Assets, Total -272 -285 - -"
"Property/Plant/Equipment, Total - Net",12,12,40.09,15.28
"Property/Plant/Equipment, Total - Gross",-,31.57,82.13,43.36
"Accumulated Depreciation, Total",-,-19.49,-42.03,-28.08
"Goodwill, Net",-,154.17,-,32.39
"Intangibles, Net",129,287,11.73,15.4
Long Term Investments,99,135,59.49,88.77
Note Receivable - Long Term,-,8.97,-,-
"Other Long Term Assets, Total",2,1,149.02,137.99
"Other Assets, Total",-272,-285,-,-
Total Current Liabilities,2776,2330,2553.31,2113.37
