Period Ending:,202231/07,202131/07,202031/07,201931/07
Total Current Assets,10294,8011.47,10174.86,5736.18
"Cash and Short Term Investments 8657 4713.68 8675.23 4105.54  Cash - - - -  Cash & Equivalents 8657 4713.68 8675.23 4105.54  Short Term Investments - - - -  Total Receivables, Net 1107 2811.34 1011.1 1061.48  Accounts Receivables - Trade, Net 520 161.41 337.36 342.9  Total Inventory 130 83.78 125.15 144.47  Prepaid Expenses - - 265.05 296.57  Other Current Assets, Total 400 402.66 98.32 128.12","Cash and Short Term Investments 8657 4713.68 8675.23 4105.54  Cash - - - -  Cash & Equivalents 8657 4713.68 8675.23 4105.54  Short Term Investments - - - -  Total Receivables, Net 1107 2811.34 1011.1 1061.48  Accounts Receivables - Trade, Net 520 161.41 337.36 342.9  Total Inventory 130 83.78 125.15 144.47  Prepaid Expenses - - 265.05 296.57  Other Current Assets, Total 400 402.66 98.32 128.12","Cash and Short Term Investments 8657 4713.68 8675.23 4105.54  Cash - - - -  Cash & Equivalents 8657 4713.68 8675.23 4105.54  Short Term Investments - - - -  Total Receivables, Net 1107 2811.34 1011.1 1061.48  Accounts Receivables - Trade, Net 520 161.41 337.36 342.9  Total Inventory 130 83.78 125.15 144.47  Prepaid Expenses - - 265.05 296.57  Other Current Assets, Total 400 402.66 98.32 128.12","Cash and Short Term Investments 8657 4713.68 8675.23 4105.54  Cash - - - -  Cash & Equivalents 8657 4713.68 8675.23 4105.54  Short Term Investments - - - -  Total Receivables, Net 1107 2811.34 1011.1 1061.48  Accounts Receivables - Trade, Net 520 161.41 337.36 342.9  Total Inventory 130 83.78 125.15 144.47  Prepaid Expenses - - 265.05 296.57  Other Current Assets, Total 400 402.66 98.32 128.12","Cash and Short Term Investments 8657 4713.68 8675.23 4105.54  Cash - - - -  Cash & Equivalents 8657 4713.68 8675.23 4105.54  Short Term Investments - - - -  Total Receivables, Net 1107 2811.34 1011.1 1061.48  Accounts Receivables - Trade, Net 520 161.41 337.36 342.9  Total Inventory 130 83.78 125.15 144.47  Prepaid Expenses - - 265.05 296.57  Other Current Assets, Total 400 402.66 98.32 128.12"
Cash and Short Term Investments,8657,4713.68,8675.23,4105.54
Cash,-,-,-,-
Cash & Equivalents,8657,4713.68,8675.23,4105.54
Short Term Investments,-,-,-,-
"Total Receivables, Net",1107,2811.34,1011.1,1061.48
"Accounts Receivables - Trade, Net",520,161.41,337.36,342.9
Total Inventory,130,83.78,125.15,144.47
Prepaid Expenses,-,-,265.05,296.57
"Other Current Assets, Total",400,402.66,98.32,128.12
Total Assets,18466,16834.66,19953.27,17127.54
