Period Ending:,202331/01,202231/01,202131/01,202031/01
Total Current Assets,3286,2148,1705.37,1518.58
"Cash and Short Term Investments 1822 1439 1032.88 1008.84  Cash - - - -  Cash & Equivalents 1822 1439 1032.88 1008.84  Short Term Investments - - - -  Total Receivables, Net 1164 511 562.34 403.38  Accounts Receivables - Trade, Net 1164 511 562.34 403.38  Total Inventory 26 122 61.64 47.92  Prepaid Expenses - - 47.91 56.56  Other Current Assets, Total 274 76 0.6 1.88","Cash and Short Term Investments 1822 1439 1032.88 1008.84  Cash - - - -  Cash & Equivalents 1822 1439 1032.88 1008.84  Short Term Investments - - - -  Total Receivables, Net 1164 511 562.34 403.38  Accounts Receivables - Trade, Net 1164 511 562.34 403.38  Total Inventory 26 122 61.64 47.92  Prepaid Expenses - - 47.91 56.56  Other Current Assets, Total 274 76 0.6 1.88","Cash and Short Term Investments 1822 1439 1032.88 1008.84  Cash - - - -  Cash & Equivalents 1822 1439 1032.88 1008.84  Short Term Investments - - - -  Total Receivables, Net 1164 511 562.34 403.38  Accounts Receivables - Trade, Net 1164 511 562.34 403.38  Total Inventory 26 122 61.64 47.92  Prepaid Expenses - - 47.91 56.56  Other Current Assets, Total 274 76 0.6 1.88","Cash and Short Term Investments 1822 1439 1032.88 1008.84  Cash - - - -  Cash & Equivalents 1822 1439 1032.88 1008.84  Short Term Investments - - - -  Total Receivables, Net 1164 511 562.34 403.38  Accounts Receivables - Trade, Net 1164 511 562.34 403.38  Total Inventory 26 122 61.64 47.92  Prepaid Expenses - - 47.91 56.56  Other Current Assets, Total 274 76 0.6 1.88","Cash and Short Term Investments 1822 1439 1032.88 1008.84  Cash - - - -  Cash & Equivalents 1822 1439 1032.88 1008.84  Short Term Investments - - - -  Total Receivables, Net 1164 511 562.34 403.38  Accounts Receivables - Trade, Net 1164 511 562.34 403.38  Total Inventory 26 122 61.64 47.92  Prepaid Expenses - - 47.91 56.56  Other Current Assets, Total 274 76 0.6 1.88"
Cash and Short Term Investments,1822,1439,1032.88,1008.84
Cash,-,-,-,-
Cash & Equivalents,1822,1439,1032.88,1008.84
Short Term Investments,-,-,-,-
"Total Receivables, Net",1164,511,562.34,403.38
"Accounts Receivables - Trade, Net",1164,511,562.34,403.38
Total Inventory,26,122,61.64,47.92
Prepaid Expenses,-,-,47.91,56.56
"Other Current Assets, Total",274,76,0.6,1.88
Total Assets,4198,2815,2079.85,1917.53
"Property/Plant/Equipment, Total - Net 99 75 34.84 50.29  Property/Plant/Equipment, Total - Gross - - 170.77 180.35  Accumulated Depreciation, Total - - -135.93 -130.06  Goodwill, Net 290 194 2.12 10.8  Intangibles, Net 70 0.84 1.44 33.85  Long Term Investments 273 289 - -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total - 1 336.08 304.01  Other Assets, Total -684 -205 - -","Property/Plant/Equipment, Total - Net 99 75 34.84 50.29  Property/Plant/Equipment, Total - Gross - - 170.77 180.35  Accumulated Depreciation, Total - - -135.93 -130.06  Goodwill, Net 290 194 2.12 10.8  Intangibles, Net 70 0.84 1.44 33.85  Long Term Investments 273 289 - -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total - 1 336.08 304.01  Other Assets, Total -684 -205 - -","Property/Plant/Equipment, Total - Net 99 75 34.84 50.29  Property/Plant/Equipment, Total - Gross - - 170.77 180.35  Accumulated Depreciation, Total - - -135.93 -130.06  Goodwill, Net 290 194 2.12 10.8  Intangibles, Net 70 0.84 1.44 33.85  Long Term Investments 273 289 - -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total - 1 336.08 304.01  Other Assets, Total -684 -205 - -","Property/Plant/Equipment, Total - Net 99 75 34.84 50.29  Property/Plant/Equipment, Total - Gross - - 170.77 180.35  Accumulated Depreciation, Total - - -135.93 -130.06  Goodwill, Net 290 194 2.12 10.8  Intangibles, Net 70 0.84 1.44 33.85  Long Term Investments 273 289 - -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total - 1 336.08 304.01  Other Assets, Total -684 -205 - -","Property/Plant/Equipment, Total - Net 99 75 34.84 50.29  Property/Plant/Equipment, Total - Gross - - 170.77 180.35  Accumulated Depreciation, Total - - -135.93 -130.06  Goodwill, Net 290 194 2.12 10.8  Intangibles, Net 70 0.84 1.44 33.85  Long Term Investments 273 289 - -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total - 1 336.08 304.01  Other Assets, Total -684 -205 - -"
"Property/Plant/Equipment, Total - Net",99,75,34.84,50.29
"Property/Plant/Equipment, Total - Gross",-,-,170.77,180.35
"Accumulated Depreciation, Total",-,-,-135.93,-130.06
"Goodwill, Net",290,194,2.12,10.8
"Intangibles, Net",70,0.84,1.44,33.85
Long Term Investments,273,289,-,-
Note Receivable - Long Term,-,-,-,-
"Other Long Term Assets, Total",-,1,336.08,304.01
"Other Assets, Total",-684,-205,-,-
Total Current Liabilities,1578,884,542.67,466.13
"Accounts Payable 313 88 22.24 18.35  Payable/Accrued - - - -  Accrued Expenses 14 10 94.82 71.28  Notes Payable/Short Term Debt - 300 - -  Current Port. of LT Debt/Capital Leases 110 6 39.81 60.05  Other Current liabilities, Total 1141 480 385.81 316.46","Accounts Payable 313 88 22.24 18.35  Payable/Accrued - - - -  Accrued Expenses 14 10 94.82 71.28  Notes Payable/Short Term Debt - 300 - -  Current Port. of LT Debt/Capital Leases 110 6 39.81 60.05  Other Current liabilities, Total 1141 480 385.81 316.46","Accounts Payable 313 88 22.24 18.35  Payable/Accrued - - - -  Accrued Expenses 14 10 94.82 71.28  Notes Payable/Short Term Debt - 300 - -  Current Port. of LT Debt/Capital Leases 110 6 39.81 60.05  Other Current liabilities, Total 1141 480 385.81 316.46","Accounts Payable 313 88 22.24 18.35  Payable/Accrued - - - -  Accrued Expenses 14 10 94.82 71.28  Notes Payable/Short Term Debt - 300 - -  Current Port. of LT Debt/Capital Leases 110 6 39.81 60.05  Other Current liabilities, Total 1141 480 385.81 316.46","Accounts Payable 313 88 22.24 18.35  Payable/Accrued - - - -  Accrued Expenses 14 10 94.82 71.28  Notes Payable/Short Term Debt - 300 - -  Current Port. of LT Debt/Capital Leases 110 6 39.81 60.05  Other Current liabilities, Total 1141 480 385.81 316.46"
Accounts Payable,313,88,22.24,18.35
Payable/Accrued,-,-,-,-
Accrued Expenses,14,10,94.82,71.28
Notes Payable/Short Term Debt,-,300,-,-
Current Port. of LT Debt/Capital Leases,110,6,39.81,60.05
"Other Current liabilities, Total",1141,480,385.81,316.46
Total Liabilities,2078,891,545.99,509.26
"Total Long Term Debt 497 6 3.31 43.12  Long Term Debt 497 6 3.31 43.12  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 3 -611.81 - -","Total Long Term Debt 497 6 3.31 43.12  Long Term Debt 497 6 3.31 43.12  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 3 -611.81 - -","Total Long Term Debt 497 6 3.31 43.12  Long Term Debt 497 6 3.31 43.12  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 3 -611.81 - -","Total Long Term Debt 497 6 3.31 43.12  Long Term Debt 497 6 3.31 43.12  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 3 -611.81 - -","Total Long Term Debt 497 6 3.31 43.12  Long Term Debt 497 6 3.31 43.12  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 3 -611.81 - -"
Total Long Term Debt,497,6,3.31,43.12
Long Term Debt,497,6,3.31,43.12
Capital Lease Obligations,-,-,-,-
Deferred Income Tax,-,-,-,-
Minority Interest,-,-,-,-
"Other Liabilities, Total",3,-611.81,-,-
Total Equity,2120,1924,1533.87,1408.27
"Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 619 588 448.18 448.18  Additional Paid-In Capital 517 487 346.35 346.35  Retained Earnings (Accumulated Deficit) 1035 848 739.34 613.74  Treasury Stock - Common -57 - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 6 1 - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 619 588 448.18 448.18  Additional Paid-In Capital 517 487 346.35 346.35  Retained Earnings (Accumulated Deficit) 1035 848 739.34 613.74  Treasury Stock - Common -57 - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 6 1 - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 619 588 448.18 448.18  Additional Paid-In Capital 517 487 346.35 346.35  Retained Earnings (Accumulated Deficit) 1035 848 739.34 613.74  Treasury Stock - Common -57 - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 6 1 - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 619 588 448.18 448.18  Additional Paid-In Capital 517 487 346.35 346.35  Retained Earnings (Accumulated Deficit) 1035 848 739.34 613.74  Treasury Stock - Common -57 - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 6 1 - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 619 588 448.18 448.18  Additional Paid-In Capital 517 487 346.35 346.35  Retained Earnings (Accumulated Deficit) 1035 848 739.34 613.74  Treasury Stock - Common -57 - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 6 1 - -"
"Redeemable Preferred Stock, Total",-,-,-,-
"Preferred Stock - Non Redeemable, Net",-,-,-,-
"Common Stock, Total",619,588,448.18,448.18
Additional Paid-In Capital,517,487,346.35,346.35
Retained Earnings (Accumulated Deficit),1035,848,739.34,613.74
Treasury Stock - Common,-57,-,-,-
ESOP Debt Guarantee,-,-,-,-
Unrealized Gain (Loss),-,-,-,-
"Other Equity, Total",6,1,-,-
Total Liabilities & Shareholders' Equity,4198,2815,2079.85,1917.53
Total Common Shares Outstanding,4.08,3.98,3.21,3.21
Total Preferred Shares Outstanding,-,-,-,-
