Period Ending:,202231/05,202131/05,202031/05,201931/05
Total Current Assets,3629,2611.56,2069.22,1790.39
"Cash and Short Term Investments 3009 1877.32 1562.89 996.49  Cash - - - -  Cash & Equivalents 3009 1877.32 1562.89 996.49  Short Term Investments - - - -  Total Receivables, Net 569 691.02 461.43 713.05  Accounts Receivables - Trade, Net 565 675.99 457.28 550.62  Total Inventory 4 1.12 0.64 26.74  Prepaid Expenses 44 41.62 43.57 45.48  Other Current Assets, Total 3 0.48 0.69 8.63","Cash and Short Term Investments 3009 1877.32 1562.89 996.49  Cash - - - -  Cash & Equivalents 3009 1877.32 1562.89 996.49  Short Term Investments - - - -  Total Receivables, Net 569 691.02 461.43 713.05  Accounts Receivables - Trade, Net 565 675.99 457.28 550.62  Total Inventory 4 1.12 0.64 26.74  Prepaid Expenses 44 41.62 43.57 45.48  Other Current Assets, Total 3 0.48 0.69 8.63","Cash and Short Term Investments 3009 1877.32 1562.89 996.49  Cash - - - -  Cash & Equivalents 3009 1877.32 1562.89 996.49  Short Term Investments - - - -  Total Receivables, Net 569 691.02 461.43 713.05  Accounts Receivables - Trade, Net 565 675.99 457.28 550.62  Total Inventory 4 1.12 0.64 26.74  Prepaid Expenses 44 41.62 43.57 45.48  Other Current Assets, Total 3 0.48 0.69 8.63","Cash and Short Term Investments 3009 1877.32 1562.89 996.49  Cash - - - -  Cash & Equivalents 3009 1877.32 1562.89 996.49  Short Term Investments - - - -  Total Receivables, Net 569 691.02 461.43 713.05  Accounts Receivables - Trade, Net 565 675.99 457.28 550.62  Total Inventory 4 1.12 0.64 26.74  Prepaid Expenses 44 41.62 43.57 45.48  Other Current Assets, Total 3 0.48 0.69 8.63","Cash and Short Term Investments 3009 1877.32 1562.89 996.49  Cash - - - -  Cash & Equivalents 3009 1877.32 1562.89 996.49  Short Term Investments - - - -  Total Receivables, Net 569 691.02 461.43 713.05  Accounts Receivables - Trade, Net 565 675.99 457.28 550.62  Total Inventory 4 1.12 0.64 26.74  Prepaid Expenses 44 41.62 43.57 45.48  Other Current Assets, Total 3 0.48 0.69 8.63"
Cash and Short Term Investments,3009,1877.32,1562.89,996.49
Cash,-,-,-,-
Cash & Equivalents,3009,1877.32,1562.89,996.49
Short Term Investments,-,-,-,-
"Total Receivables, Net",569,691.02,461.43,713.05
"Accounts Receivables - Trade, Net",565,675.99,457.28,550.62
Total Inventory,4,1.12,0.64,26.74
Prepaid Expenses,44,41.62,43.57,45.48
"Other Current Assets, Total",3,0.48,0.69,8.63
Total Assets,4151,3138.79,2803.42,2423.41
