Period Ending:,202231/03,202131/03,202031/03,201931/03
Total Current Assets,8608.12,7638.05,8648.1,9624.89
"Cash and Short Term Investments 3231.89 2843.76 2883.67 3261.81  Cash - - - -  Cash & Equivalents 3231.89 2843.76 2883.67 3261.81  Short Term Investments - - - -  Total Receivables, Net 2811.23 2708.55 3113.25 3678.42  Accounts Receivables - Trade, Net 2664.6 2600.65 3078.45 3642.05  Total Inventory 2251.01 1958.88 2463.88 2474.07  Prepaid Expenses 121.43 106.24 145.98 75.75  Other Current Assets, Total 192.57 20.62 41.32 134.84","Cash and Short Term Investments 3231.89 2843.76 2883.67 3261.81  Cash - - - -  Cash & Equivalents 3231.89 2843.76 2883.67 3261.81  Short Term Investments - - - -  Total Receivables, Net 2811.23 2708.55 3113.25 3678.42  Accounts Receivables - Trade, Net 2664.6 2600.65 3078.45 3642.05  Total Inventory 2251.01 1958.88 2463.88 2474.07  Prepaid Expenses 121.43 106.24 145.98 75.75  Other Current Assets, Total 192.57 20.62 41.32 134.84","Cash and Short Term Investments 3231.89 2843.76 2883.67 3261.81  Cash - - - -  Cash & Equivalents 3231.89 2843.76 2883.67 3261.81  Short Term Investments - - - -  Total Receivables, Net 2811.23 2708.55 3113.25 3678.42  Accounts Receivables - Trade, Net 2664.6 2600.65 3078.45 3642.05  Total Inventory 2251.01 1958.88 2463.88 2474.07  Prepaid Expenses 121.43 106.24 145.98 75.75  Other Current Assets, Total 192.57 20.62 41.32 134.84","Cash and Short Term Investments 3231.89 2843.76 2883.67 3261.81  Cash - - - -  Cash & Equivalents 3231.89 2843.76 2883.67 3261.81  Short Term Investments - - - -  Total Receivables, Net 2811.23 2708.55 3113.25 3678.42  Accounts Receivables - Trade, Net 2664.6 2600.65 3078.45 3642.05  Total Inventory 2251.01 1958.88 2463.88 2474.07  Prepaid Expenses 121.43 106.24 145.98 75.75  Other Current Assets, Total 192.57 20.62 41.32 134.84","Cash and Short Term Investments 3231.89 2843.76 2883.67 3261.81  Cash - - - -  Cash & Equivalents 3231.89 2843.76 2883.67 3261.81  Short Term Investments - - - -  Total Receivables, Net 2811.23 2708.55 3113.25 3678.42  Accounts Receivables - Trade, Net 2664.6 2600.65 3078.45 3642.05  Total Inventory 2251.01 1958.88 2463.88 2474.07  Prepaid Expenses 121.43 106.24 145.98 75.75  Other Current Assets, Total 192.57 20.62 41.32 134.84"
Cash and Short Term Investments,3231.89,2843.76,2883.67,3261.81
Cash,-,-,-,-
Cash & Equivalents,3231.89,2843.76,2883.67,3261.81
Short Term Investments,-,-,-,-
"Total Receivables, Net",2811.23,2708.55,3113.25,3678.42
"Accounts Receivables - Trade, Net",2664.6,2600.65,3078.45,3642.05
Total Inventory,2251.01,1958.88,2463.88,2474.07
Prepaid Expenses,121.43,106.24,145.98,75.75
"Other Current Assets, Total",192.57,20.62,41.32,134.84
Total Assets,14953.43,14572.47,15983.42,17764.01
"Property/Plant/Equipment, Total - Net 3297.48 3526.51 3648.47 3907.47  Property/Plant/Equipment, Total - Gross 17669.56 17599.42 17358.3 17278.32  Accumulated Depreciation, Total -14372.08 -14072.91 -13709.83 -13370.85  Goodwill, Net - - - -  Intangibles, Net 196.05 201.28 485.13 472.14  Long Term Investments 2066.34 2466.16 2411.42 2634.5  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 785.44 740.47 790.29 1125.01  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 3297.48 3526.51 3648.47 3907.47  Property/Plant/Equipment, Total - Gross 17669.56 17599.42 17358.3 17278.32  Accumulated Depreciation, Total -14372.08 -14072.91 -13709.83 -13370.85  Goodwill, Net - - - -  Intangibles, Net 196.05 201.28 485.13 472.14  Long Term Investments 2066.34 2466.16 2411.42 2634.5  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 785.44 740.47 790.29 1125.01  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 3297.48 3526.51 3648.47 3907.47  Property/Plant/Equipment, Total - Gross 17669.56 17599.42 17358.3 17278.32  Accumulated Depreciation, Total -14372.08 -14072.91 -13709.83 -13370.85  Goodwill, Net - - - -  Intangibles, Net 196.05 201.28 485.13 472.14  Long Term Investments 2066.34 2466.16 2411.42 2634.5  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 785.44 740.47 790.29 1125.01  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 3297.48 3526.51 3648.47 3907.47  Property/Plant/Equipment, Total - Gross 17669.56 17599.42 17358.3 17278.32  Accumulated Depreciation, Total -14372.08 -14072.91 -13709.83 -13370.85  Goodwill, Net - - - -  Intangibles, Net 196.05 201.28 485.13 472.14  Long Term Investments 2066.34 2466.16 2411.42 2634.5  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 785.44 740.47 790.29 1125.01  Other Assets, Total - - - -","Property/Plant/Equipment, Total - Net 3297.48 3526.51 3648.47 3907.47  Property/Plant/Equipment, Total - Gross 17669.56 17599.42 17358.3 17278.32  Accumulated Depreciation, Total -14372.08 -14072.91 -13709.83 -13370.85  Goodwill, Net - - - -  Intangibles, Net 196.05 201.28 485.13 472.14  Long Term Investments 2066.34 2466.16 2411.42 2634.5  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 785.44 740.47 790.29 1125.01  Other Assets, Total - - - -"
"Property/Plant/Equipment, Total - Net",3297.48,3526.51,3648.47,3907.47
"Property/Plant/Equipment, Total - Gross",17669.56,17599.42,17358.3,17278.32
"Accumulated Depreciation, Total",-14372.08,-14072.91,-13709.83,-13370.85
"Goodwill, Net",-,-,-,-
"Intangibles, Net",196.05,201.28,485.13,472.14
Long Term Investments,2066.34,2466.16,2411.42,2634.5
Note Receivable - Long Term,-,-,-,-
"Other Long Term Assets, Total",785.44,740.47,790.29,1125.01
"Other Assets, Total",-,-,-,-
Total Current Liabilities,2008.82,1712.73,2434.61,2708.53
"Accounts Payable 1074.14 774.47 1297.29 1279.49  Payable/Accrued - - - -  Accrued Expenses 643.39 644.28 796.63 1063.89  Notes Payable/Short Term Debt - 100 100 100  Current Port. of LT Debt/Capital Leases 101.06 1.06 3.23 43.2  Other Current liabilities, Total 190.23 192.92 237.46 221.94","Accounts Payable 1074.14 774.47 1297.29 1279.49  Payable/Accrued - - - -  Accrued Expenses 643.39 644.28 796.63 1063.89  Notes Payable/Short Term Debt - 100 100 100  Current Port. of LT Debt/Capital Leases 101.06 1.06 3.23 43.2  Other Current liabilities, Total 190.23 192.92 237.46 221.94","Accounts Payable 1074.14 774.47 1297.29 1279.49  Payable/Accrued - - - -  Accrued Expenses 643.39 644.28 796.63 1063.89  Notes Payable/Short Term Debt - 100 100 100  Current Port. of LT Debt/Capital Leases 101.06 1.06 3.23 43.2  Other Current liabilities, Total 190.23 192.92 237.46 221.94","Accounts Payable 1074.14 774.47 1297.29 1279.49  Payable/Accrued - - - -  Accrued Expenses 643.39 644.28 796.63 1063.89  Notes Payable/Short Term Debt - 100 100 100  Current Port. of LT Debt/Capital Leases 101.06 1.06 3.23 43.2  Other Current liabilities, Total 190.23 192.92 237.46 221.94","Accounts Payable 1074.14 774.47 1297.29 1279.49  Payable/Accrued - - - -  Accrued Expenses 643.39 644.28 796.63 1063.89  Notes Payable/Short Term Debt - 100 100 100  Current Port. of LT Debt/Capital Leases 101.06 1.06 3.23 43.2  Other Current liabilities, Total 190.23 192.92 237.46 221.94"
Accounts Payable,1074.14,774.47,1297.29,1279.49
Payable/Accrued,-,-,-,-
Accrued Expenses,643.39,644.28,796.63,1063.89
Notes Payable/Short Term Debt,-,100,100,100
Current Port. of LT Debt/Capital Leases,101.06,1.06,3.23,43.2
"Other Current liabilities, Total",190.23,192.92,237.46,221.94
Total Liabilities,3472.63,3186.9,4036.33,4003.03
"Total Long Term Debt 1.59 2.65 3.71 2.13  Long Term Debt - - - -  Capital Lease Obligations 1.59 2.65 3.71 2.13  Deferred Income Tax 205.45 246.68 348.34 -  Minority Interest - - - -  Other Liabilities, Total 1256.78 1224.85 1249.68 1292.36","Total Long Term Debt 1.59 2.65 3.71 2.13  Long Term Debt - - - -  Capital Lease Obligations 1.59 2.65 3.71 2.13  Deferred Income Tax 205.45 246.68 348.34 -  Minority Interest - - - -  Other Liabilities, Total 1256.78 1224.85 1249.68 1292.36","Total Long Term Debt 1.59 2.65 3.71 2.13  Long Term Debt - - - -  Capital Lease Obligations 1.59 2.65 3.71 2.13  Deferred Income Tax 205.45 246.68 348.34 -  Minority Interest - - - -  Other Liabilities, Total 1256.78 1224.85 1249.68 1292.36","Total Long Term Debt 1.59 2.65 3.71 2.13  Long Term Debt - - - -  Capital Lease Obligations 1.59 2.65 3.71 2.13  Deferred Income Tax 205.45 246.68 348.34 -  Minority Interest - - - -  Other Liabilities, Total 1256.78 1224.85 1249.68 1292.36","Total Long Term Debt 1.59 2.65 3.71 2.13  Long Term Debt - - - -  Capital Lease Obligations 1.59 2.65 3.71 2.13  Deferred Income Tax 205.45 246.68 348.34 -  Minority Interest - - - -  Other Liabilities, Total 1256.78 1224.85 1249.68 1292.36"
Total Long Term Debt,1.59,2.65,3.71,2.13
Long Term Debt,-,-,-,-
Capital Lease Obligations,1.59,2.65,3.71,2.13
Deferred Income Tax,205.45,246.68,348.34,-
Minority Interest,-,-,-,-
"Other Liabilities, Total",1256.78,1224.85,1249.68,1292.36
Total Equity,11480.8,11385.57,11947.09,13760.98
"Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 3395.89 3395.89 3395.89 3395.89  Additional Paid-In Capital 2675.83 2675.83 2675.83 2675.83  Retained Earnings (Accumulated Deficit) 4568.21 4337.71 4939.57 6596.11  Treasury Stock - Common -36.27 -36.21 -36.12 -36.06  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) 877.15 1012.35 971.92 1129.21  Other Equity, Total - - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 3395.89 3395.89 3395.89 3395.89  Additional Paid-In Capital 2675.83 2675.83 2675.83 2675.83  Retained Earnings (Accumulated Deficit) 4568.21 4337.71 4939.57 6596.11  Treasury Stock - Common -36.27 -36.21 -36.12 -36.06  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) 877.15 1012.35 971.92 1129.21  Other Equity, Total - - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 3395.89 3395.89 3395.89 3395.89  Additional Paid-In Capital 2675.83 2675.83 2675.83 2675.83  Retained Earnings (Accumulated Deficit) 4568.21 4337.71 4939.57 6596.11  Treasury Stock - Common -36.27 -36.21 -36.12 -36.06  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) 877.15 1012.35 971.92 1129.21  Other Equity, Total - - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 3395.89 3395.89 3395.89 3395.89  Additional Paid-In Capital 2675.83 2675.83 2675.83 2675.83  Retained Earnings (Accumulated Deficit) 4568.21 4337.71 4939.57 6596.11  Treasury Stock - Common -36.27 -36.21 -36.12 -36.06  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) 877.15 1012.35 971.92 1129.21  Other Equity, Total - - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 3395.89 3395.89 3395.89 3395.89  Additional Paid-In Capital 2675.83 2675.83 2675.83 2675.83  Retained Earnings (Accumulated Deficit) 4568.21 4337.71 4939.57 6596.11  Treasury Stock - Common -36.27 -36.21 -36.12 -36.06  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) 877.15 1012.35 971.92 1129.21  Other Equity, Total - - - -"
"Redeemable Preferred Stock, Total",-,-,-,-
"Preferred Stock - Non Redeemable, Net",-,-,-,-
"Common Stock, Total",3395.89,3395.89,3395.89,3395.89
Additional Paid-In Capital,2675.83,2675.83,2675.83,2675.83
Retained Earnings (Accumulated Deficit),4568.21,4337.71,4939.57,6596.11
Treasury Stock - Common,-36.27,-36.21,-36.12,-36.06
ESOP Debt Guarantee,-,-,-,-
Unrealized Gain (Loss),877.15,1012.35,971.92,1129.21
"Other Equity, Total",-,-,-,-
Total Liabilities & Shareholders' Equity,14953.43,14572.47,15983.42,17764.01
Total Common Shares Outstanding,34.71,34.71,34.71,34.71
Total Preferred Shares Outstanding,-,-,-,-
