Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,1408090,1435206,1184180,1027227
"Cash and Short Term Investments 493253 568441 450796 376160  Cash - - - -  Cash & Equivalents 318557 370388 363979 239656  Short Term Investments 174696 198053 86817 136504  Total Receivables, Net 270618 358310 340871 281032  Accounts Receivables - Trade, Net 270618 358310 340871 280932  Total Inventory 575026 464723 361331 334408  Prepaid Expenses 69193 43732 31182 35627  Other Current Assets, Total - 43732 31182 -","Cash and Short Term Investments 493253 568441 450796 376160  Cash - - - -  Cash & Equivalents 318557 370388 363979 239656  Short Term Investments 174696 198053 86817 136504  Total Receivables, Net 270618 358310 340871 281032  Accounts Receivables - Trade, Net 270618 358310 340871 280932  Total Inventory 575026 464723 361331 334408  Prepaid Expenses 69193 43732 31182 35627  Other Current Assets, Total - 43732 31182 -","Cash and Short Term Investments 493253 568441 450796 376160  Cash - - - -  Cash & Equivalents 318557 370388 363979 239656  Short Term Investments 174696 198053 86817 136504  Total Receivables, Net 270618 358310 340871 281032  Accounts Receivables - Trade, Net 270618 358310 340871 280932  Total Inventory 575026 464723 361331 334408  Prepaid Expenses 69193 43732 31182 35627  Other Current Assets, Total - 43732 31182 -","Cash and Short Term Investments 493253 568441 450796 376160  Cash - - - -  Cash & Equivalents 318557 370388 363979 239656  Short Term Investments 174696 198053 86817 136504  Total Receivables, Net 270618 358310 340871 281032  Accounts Receivables - Trade, Net 270618 358310 340871 280932  Total Inventory 575026 464723 361331 334408  Prepaid Expenses 69193 43732 31182 35627  Other Current Assets, Total - 43732 31182 -","Cash and Short Term Investments 493253 568441 450796 376160  Cash - - - -  Cash & Equivalents 318557 370388 363979 239656  Short Term Investments 174696 198053 86817 136504  Total Receivables, Net 270618 358310 340871 281032  Accounts Receivables - Trade, Net 270618 358310 340871 280932  Total Inventory 575026 464723 361331 334408  Prepaid Expenses 69193 43732 31182 35627  Other Current Assets, Total - 43732 31182 -"
Cash and Short Term Investments,493253,568441,450796,376160
Cash,-,-,-,-
Cash & Equivalents,318557,370388,363979,239656
Short Term Investments,174696,198053,86817,136504
"Total Receivables, Net",270618,358310,340871,281032
"Accounts Receivables - Trade, Net",270618,358310,340871,280932
Total Inventory,575026,464723,361331,334408
Prepaid Expenses,69193,43732,31182,35627
"Other Current Assets, Total",-,43732,31182,-
Total Assets,2872763,2809171,2462261,2250230
"Property/Plant/Equipment, Total - Net 1188198 1116602 1078838 1002210  Property/Plant/Equipment, Total - Gross 2717842 2522062 2365436 2184528  Accumulated Depreciation, Total -1529644 -1405460 -1286598 -1182318  Goodwill, Net 126839 118014 71058 73032  Intangibles, Net 44387 47141 33524 38576  Long Term Investments 30365 65646 56865 49059  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 42999 57590 53223 60126  Other Assets, Total 510989 374760 176255 -","Property/Plant/Equipment, Total - Net 1188198 1116602 1078838 1002210  Property/Plant/Equipment, Total - Gross 2717842 2522062 2365436 2184528  Accumulated Depreciation, Total -1529644 -1405460 -1286598 -1182318  Goodwill, Net 126839 118014 71058 73032  Intangibles, Net 44387 47141 33524 38576  Long Term Investments 30365 65646 56865 49059  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 42999 57590 53223 60126  Other Assets, Total 510989 374760 176255 -","Property/Plant/Equipment, Total - Net 1188198 1116602 1078838 1002210  Property/Plant/Equipment, Total - Gross 2717842 2522062 2365436 2184528  Accumulated Depreciation, Total -1529644 -1405460 -1286598 -1182318  Goodwill, Net 126839 118014 71058 73032  Intangibles, Net 44387 47141 33524 38576  Long Term Investments 30365 65646 56865 49059  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 42999 57590 53223 60126  Other Assets, Total 510989 374760 176255 -","Property/Plant/Equipment, Total - Net 1188198 1116602 1078838 1002210  Property/Plant/Equipment, Total - Gross 2717842 2522062 2365436 2184528  Accumulated Depreciation, Total -1529644 -1405460 -1286598 -1182318  Goodwill, Net 126839 118014 71058 73032  Intangibles, Net 44387 47141 33524 38576  Long Term Investments 30365 65646 56865 49059  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 42999 57590 53223 60126  Other Assets, Total 510989 374760 176255 -","Property/Plant/Equipment, Total - Net 1188198 1116602 1078838 1002210  Property/Plant/Equipment, Total - Gross 2717842 2522062 2365436 2184528  Accumulated Depreciation, Total -1529644 -1405460 -1286598 -1182318  Goodwill, Net 126839 118014 71058 73032  Intangibles, Net 44387 47141 33524 38576  Long Term Investments 30365 65646 56865 49059  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 42999 57590 53223 60126  Other Assets, Total 510989 374760 176255 -"
"Property/Plant/Equipment, Total - Net",1188198,1116602,1078838,1002210
