Period Ending:,202330/04,202230/04,202130/04,202030/04
Total Current Assets,13877,4119,3101,2207.64
"Cash and Short Term Investments 9663 2097 1923 1370.12  Cash - - - -  Cash & Equivalents 9663 2097 1923 1370.12  Short Term Investments - - - -  Total Receivables, Net 3794 1912 1138 820.95  Accounts Receivables - Trade, Net 3794 1912 1138 820.95  Total Inventory - - - -  Prepaid Expenses - - - 16.57  Other Current Assets, Total 420 110 40 -","Cash and Short Term Investments 9663 2097 1923 1370.12  Cash - - - -  Cash & Equivalents 9663 2097 1923 1370.12  Short Term Investments - - - -  Total Receivables, Net 3794 1912 1138 820.95  Accounts Receivables - Trade, Net 3794 1912 1138 820.95  Total Inventory - - - -  Prepaid Expenses - - - 16.57  Other Current Assets, Total 420 110 40 -","Cash and Short Term Investments 9663 2097 1923 1370.12  Cash - - - -  Cash & Equivalents 9663 2097 1923 1370.12  Short Term Investments - - - -  Total Receivables, Net 3794 1912 1138 820.95  Accounts Receivables - Trade, Net 3794 1912 1138 820.95  Total Inventory - - - -  Prepaid Expenses - - - 16.57  Other Current Assets, Total 420 110 40 -","Cash and Short Term Investments 9663 2097 1923 1370.12  Cash - - - -  Cash & Equivalents 9663 2097 1923 1370.12  Short Term Investments - - - -  Total Receivables, Net 3794 1912 1138 820.95  Accounts Receivables - Trade, Net 3794 1912 1138 820.95  Total Inventory - - - -  Prepaid Expenses - - - 16.57  Other Current Assets, Total 420 110 40 -","Cash and Short Term Investments 9663 2097 1923 1370.12  Cash - - - -  Cash & Equivalents 9663 2097 1923 1370.12  Short Term Investments - - - -  Total Receivables, Net 3794 1912 1138 820.95  Accounts Receivables - Trade, Net 3794 1912 1138 820.95  Total Inventory - - - -  Prepaid Expenses - - - 16.57  Other Current Assets, Total 420 110 40 -"
Cash and Short Term Investments,9663,2097,1923,1370.12
Cash,-,-,-,-
Cash & Equivalents,9663,2097,1923,1370.12
Short Term Investments,-,-,-,-
"Total Receivables, Net",3794,1912,1138,820.95
"Accounts Receivables - Trade, Net",3794,1912,1138,820.95
Total Inventory,-,-,-,-
Prepaid Expenses,-,-,-,16.57
"Other Current Assets, Total",420,110,40,-
Total Assets,17519,5880,3348,2316.4
"Property/Plant/Equipment, Total - Net 100 63 14 20.11  Property/Plant/Equipment, Total - Gross - - - 28.48  Accumulated Depreciation, Total - - - -8.37  Goodwill, Net 2862 708 - -  Intangibles, Net 51 53 63 27.62  Long Term Investments 456 909 141 -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 1 1 61.03  Other Assets, Total -3202 -1775 -1070 -","Property/Plant/Equipment, Total - Net 100 63 14 20.11  Property/Plant/Equipment, Total - Gross - - - 28.48  Accumulated Depreciation, Total - - - -8.37  Goodwill, Net 2862 708 - -  Intangibles, Net 51 53 63 27.62  Long Term Investments 456 909 141 -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 1 1 61.03  Other Assets, Total -3202 -1775 -1070 -","Property/Plant/Equipment, Total - Net 100 63 14 20.11  Property/Plant/Equipment, Total - Gross - - - 28.48  Accumulated Depreciation, Total - - - -8.37  Goodwill, Net 2862 708 - -  Intangibles, Net 51 53 63 27.62  Long Term Investments 456 909 141 -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 1 1 61.03  Other Assets, Total -3202 -1775 -1070 -","Property/Plant/Equipment, Total - Net 100 63 14 20.11  Property/Plant/Equipment, Total - Gross - - - 28.48  Accumulated Depreciation, Total - - - -8.37  Goodwill, Net 2862 708 - -  Intangibles, Net 51 53 63 27.62  Long Term Investments 456 909 141 -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 1 1 61.03  Other Assets, Total -3202 -1775 -1070 -","Property/Plant/Equipment, Total - Net 100 63 14 20.11  Property/Plant/Equipment, Total - Gross - - - 28.48  Accumulated Depreciation, Total - - - -8.37  Goodwill, Net 2862 708 - -  Intangibles, Net 51 53 63 27.62  Long Term Investments 456 909 141 -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 1 1 61.03  Other Assets, Total -3202 -1775 -1070 -"
"Property/Plant/Equipment, Total - Net",100,63,14,20.11
"Property/Plant/Equipment, Total - Gross",-,-,-,28.48
"Accumulated Depreciation, Total",-,-,-,-8.37
"Goodwill, Net",2862,708,-,-
"Intangibles, Net",51,53,63,27.62
Long Term Investments,456,909,141,-
Note Receivable - Long Term,-,-,-,-
"Other Long Term Assets, Total",1,1,1,61.03
"Other Assets, Total",-3202,-1775,-1070,-
Total Current Liabilities,7409,2547,1414,936.57
"Accounts Payable 3897 1444 993 566.64  Payable/Accrued - - - -  Accrued Expenses 18 2 - 68.54  Notes Payable/Short Term Debt 1682 300 - -  Current Port. of LT Debt/Capital Leases 450 198 46 104.86  Other Current liabilities, Total 1362 603 375 196.53","Accounts Payable 3897 1444 993 566.64  Payable/Accrued - - - -  Accrued Expenses 18 2 - 68.54  Notes Payable/Short Term Debt 1682 300 - -  Current Port. of LT Debt/Capital Leases 450 198 46 104.86  Other Current liabilities, Total 1362 603 375 196.53","Accounts Payable 3897 1444 993 566.64  Payable/Accrued - - - -  Accrued Expenses 18 2 - 68.54  Notes Payable/Short Term Debt 1682 300 - -  Current Port. of LT Debt/Capital Leases 450 198 46 104.86  Other Current liabilities, Total 1362 603 375 196.53","Accounts Payable 3897 1444 993 566.64  Payable/Accrued - - - -  Accrued Expenses 18 2 - 68.54  Notes Payable/Short Term Debt 1682 300 - -  Current Port. of LT Debt/Capital Leases 450 198 46 104.86  Other Current liabilities, Total 1362 603 375 196.53","Accounts Payable 3897 1444 993 566.64  Payable/Accrued - - - -  Accrued Expenses 18 2 - 68.54  Notes Payable/Short Term Debt 1682 300 - -  Current Port. of LT Debt/Capital Leases 450 198 46 104.86  Other Current liabilities, Total 1362 603 375 196.53"
Accounts Payable,3897,1444,993,566.64
Payable/Accrued,-,-,-,-
Accrued Expenses,18,2,-,68.54
Notes Payable/Short Term Debt,1682,300,-,-
Current Port. of LT Debt/Capital Leases,450,198,46,104.86
"Other Current liabilities, Total",1362,603,375,196.53
Total Liabilities,9353,3094,1458,985.22
