Period Ending:,202231/08,202131/08,202031/08,201931/08
Total Current Assets,2031,1285.19,1265.27,736.82
"Cash and Short Term Investments 1632 1083.45 1078.3 552.2  Cash - - - -  Cash & Equivalents 1632 1083.45 1078.3 552.2  Short Term Investments - - - -  Total Receivables, Net 302 172.12 167.34 165.96  Accounts Receivables - Trade, Net 302 172.12 167.34 150.44  Total Inventory 31 2.65 0.72 1.92  Prepaid Expenses 42 20.59 12.79 9.1  Other Current Assets, Total 24 6.37 6.13 7.64","Cash and Short Term Investments 1632 1083.45 1078.3 552.2  Cash - - - -  Cash & Equivalents 1632 1083.45 1078.3 552.2  Short Term Investments - - - -  Total Receivables, Net 302 172.12 167.34 165.96  Accounts Receivables - Trade, Net 302 172.12 167.34 150.44  Total Inventory 31 2.65 0.72 1.92  Prepaid Expenses 42 20.59 12.79 9.1  Other Current Assets, Total 24 6.37 6.13 7.64","Cash and Short Term Investments 1632 1083.45 1078.3 552.2  Cash - - - -  Cash & Equivalents 1632 1083.45 1078.3 552.2  Short Term Investments - - - -  Total Receivables, Net 302 172.12 167.34 165.96  Accounts Receivables - Trade, Net 302 172.12 167.34 150.44  Total Inventory 31 2.65 0.72 1.92  Prepaid Expenses 42 20.59 12.79 9.1  Other Current Assets, Total 24 6.37 6.13 7.64","Cash and Short Term Investments 1632 1083.45 1078.3 552.2  Cash - - - -  Cash & Equivalents 1632 1083.45 1078.3 552.2  Short Term Investments - - - -  Total Receivables, Net 302 172.12 167.34 165.96  Accounts Receivables - Trade, Net 302 172.12 167.34 150.44  Total Inventory 31 2.65 0.72 1.92  Prepaid Expenses 42 20.59 12.79 9.1  Other Current Assets, Total 24 6.37 6.13 7.64","Cash and Short Term Investments 1632 1083.45 1078.3 552.2  Cash - - - -  Cash & Equivalents 1632 1083.45 1078.3 552.2  Short Term Investments - - - -  Total Receivables, Net 302 172.12 167.34 165.96  Accounts Receivables - Trade, Net 302 172.12 167.34 150.44  Total Inventory 31 2.65 0.72 1.92  Prepaid Expenses 42 20.59 12.79 9.1  Other Current Assets, Total 24 6.37 6.13 7.64"
Cash and Short Term Investments,1632,1083.45,1078.3,552.2
Cash,-,-,-,-
Cash & Equivalents,1632,1083.45,1078.3,552.2
Short Term Investments,-,-,-,-
"Total Receivables, Net",302,172.12,167.34,165.96
"Accounts Receivables - Trade, Net",302,172.12,167.34,150.44
Total Inventory,31,2.65,0.72,1.92
Prepaid Expenses,42,20.59,12.79,9.1
"Other Current Assets, Total",24,6.37,6.13,7.64
Total Assets,2649,1777.58,1644.76,973.02
