Period Ending:,202330/04,202230/04,202130/04,202030/04
Total Current Assets,12979.82,11796,9872.74,10923.41
"Cash and Short Term Investments 5438.39 5343 4817.16 6641.03  Cash - - - -  Cash & Equivalents 5427.68 5343 4817.16 6641.03  Short Term Investments 10.71 - - -  Total Receivables, Net 6822.47 6063 4522.47 3717.88  Accounts Receivables - Trade, Net 6822.47 6063 4522.47 3717.88  Total Inventory 0.183 0.28 0.26 0.1  Prepaid Expenses 192.8 196 206.87 187.59  Other Current Assets, Total 525.98 194 325.98 376.81","Cash and Short Term Investments 5438.39 5343 4817.16 6641.03  Cash - - - -  Cash & Equivalents 5427.68 5343 4817.16 6641.03  Short Term Investments 10.71 - - -  Total Receivables, Net 6822.47 6063 4522.47 3717.88  Accounts Receivables - Trade, Net 6822.47 6063 4522.47 3717.88  Total Inventory 0.183 0.28 0.26 0.1  Prepaid Expenses 192.8 196 206.87 187.59  Other Current Assets, Total 525.98 194 325.98 376.81","Cash and Short Term Investments 5438.39 5343 4817.16 6641.03  Cash - - - -  Cash & Equivalents 5427.68 5343 4817.16 6641.03  Short Term Investments 10.71 - - -  Total Receivables, Net 6822.47 6063 4522.47 3717.88  Accounts Receivables - Trade, Net 6822.47 6063 4522.47 3717.88  Total Inventory 0.183 0.28 0.26 0.1  Prepaid Expenses 192.8 196 206.87 187.59  Other Current Assets, Total 525.98 194 325.98 376.81","Cash and Short Term Investments 5438.39 5343 4817.16 6641.03  Cash - - - -  Cash & Equivalents 5427.68 5343 4817.16 6641.03  Short Term Investments 10.71 - - -  Total Receivables, Net 6822.47 6063 4522.47 3717.88  Accounts Receivables - Trade, Net 6822.47 6063 4522.47 3717.88  Total Inventory 0.183 0.28 0.26 0.1  Prepaid Expenses 192.8 196 206.87 187.59  Other Current Assets, Total 525.98 194 325.98 376.81","Cash and Short Term Investments 5438.39 5343 4817.16 6641.03  Cash - - - -  Cash & Equivalents 5427.68 5343 4817.16 6641.03  Short Term Investments 10.71 - - -  Total Receivables, Net 6822.47 6063 4522.47 3717.88  Accounts Receivables - Trade, Net 6822.47 6063 4522.47 3717.88  Total Inventory 0.183 0.28 0.26 0.1  Prepaid Expenses 192.8 196 206.87 187.59  Other Current Assets, Total 525.98 194 325.98 376.81"
Cash and Short Term Investments,5438.39,5343,4817.16,6641.03
Cash,-,-,-,-
Cash & Equivalents,5427.68,5343,4817.16,6641.03
Short Term Investments,10.71,-,-,-
"Total Receivables, Net",6822.47,6063,4522.47,3717.88
"Accounts Receivables - Trade, Net",6822.47,6063,4522.47,3717.88
Total Inventory,0.183,0.28,0.26,0.1
Prepaid Expenses,192.8,196,206.87,187.59
"Other Current Assets, Total",525.98,194,325.98,376.81
Total Assets,15178.66,14060,12452.18,13600.08
"Property/Plant/Equipment, Total - Net 1420.23 1436 1460.44 1473.95  Property/Plant/Equipment, Total - Gross 1560.28 1554.29 1560.16 1561.23  Accumulated Depreciation, Total -140.05 -117.46 -99.72 -87.28  Goodwill, Net - 62 243.13 281.58  Intangibles, Net 275.13 274 220.65 223.96  Long Term Investments 214.69 205 433.9 427.74  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 15 2 221.32 269.44  Other Assets, Total -6011.81 -5584 - -","Property/Plant/Equipment, Total - Net 1420.23 1436 1460.44 1473.95  Property/Plant/Equipment, Total - Gross 1560.28 1554.29 1560.16 1561.23  Accumulated Depreciation, Total -140.05 -117.46 -99.72 -87.28  Goodwill, Net - 62 243.13 281.58  Intangibles, Net 275.13 274 220.65 223.96  Long Term Investments 214.69 205 433.9 427.74  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 15 2 221.32 269.44  Other Assets, Total -6011.81 -5584 - -","Property/Plant/Equipment, Total - Net 1420.23 1436 1460.44 1473.95  Property/Plant/Equipment, Total - Gross 1560.28 1554.29 1560.16 1561.23  Accumulated Depreciation, Total -140.05 -117.46 -99.72 -87.28  Goodwill, Net - 62 243.13 281.58  Intangibles, Net 275.13 274 220.65 223.96  Long Term Investments 214.69 205 433.9 427.74  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 15 2 221.32 269.44  Other Assets, Total -6011.81 -5584 - -","Property/Plant/Equipment, Total - Net 1420.23 1436 1460.44 1473.95  Property/Plant/Equipment, Total - Gross 1560.28 1554.29 1560.16 1561.23  Accumulated Depreciation, Total -140.05 -117.46 -99.72 -87.28  Goodwill, Net - 62 243.13 281.58  Intangibles, Net 275.13 274 220.65 223.96  Long Term Investments 214.69 205 433.9 427.74  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 15 2 221.32 269.44  Other Assets, Total -6011.81 -5584 - -","Property/Plant/Equipment, Total - Net 1420.23 1436 1460.44 1473.95  Property/Plant/Equipment, Total - Gross 1560.28 1554.29 1560.16 1561.23  Accumulated Depreciation, Total -140.05 -117.46 -99.72 -87.28  Goodwill, Net - 62 243.13 281.58  Intangibles, Net 275.13 274 220.65 223.96  Long Term Investments 214.69 205 433.9 427.74  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 15 2 221.32 269.44  Other Assets, Total -6011.81 -5584 - -"
"Property/Plant/Equipment, Total - Net",1420.23,1436,1460.44,1473.95
"Property/Plant/Equipment, Total - Gross",1560.28,1554.29,1560.16,1561.23
"Accumulated Depreciation, Total",-140.05,-117.46,-99.72,-87.28
"Goodwill, Net",-,62,243.13,281.58
"Intangibles, Net",275.13,274,220.65,223.96
Long Term Investments,214.69,205,433.9,427.74
Note Receivable - Long Term,-,-,-,-
"Other Long Term Assets, Total",15,2,221.32,269.44
"Other Assets, Total",-6011.81,-5584,-,-
Total Current Liabilities,9702.72,7629.57,5859.16,8146.18
"Accounts Payable 7529.98 6439 4178.06 4365.43  Payable/Accrued - - - -  Accrued Expenses 152.59 85 75.48 74.46  Notes Payable/Short Term Debt - - - 2640  Current Port. of LT Debt/Capital Leases - 178 224.39 346.75  Other Current liabilities, Total 1000.15 927 1381.23 719.54","Accounts Payable 7529.98 6439 4178.06 4365.43  Payable/Accrued - - - -  Accrued Expenses 152.59 85 75.48 74.46  Notes Payable/Short Term Debt - - - 2640  Current Port. of LT Debt/Capital Leases - 178 224.39 346.75  Other Current liabilities, Total 1000.15 927 1381.23 719.54","Accounts Payable 7529.98 6439 4178.06 4365.43  Payable/Accrued - - - -  Accrued Expenses 152.59 85 75.48 74.46  Notes Payable/Short Term Debt - - - 2640  Current Port. of LT Debt/Capital Leases - 178 224.39 346.75  Other Current liabilities, Total 1000.15 927 1381.23 719.54","Accounts Payable 7529.98 6439 4178.06 4365.43  Payable/Accrued - - - -  Accrued Expenses 152.59 85 75.48 74.46  Notes Payable/Short Term Debt - - - 2640  Current Port. of LT Debt/Capital Leases - 178 224.39 346.75  Other Current liabilities, Total 1000.15 927 1381.23 719.54","Accounts Payable 7529.98 6439 4178.06 4365.43  Payable/Accrued - - - -  Accrued Expenses 152.59 85 75.48 74.46  Notes Payable/Short Term Debt - - - 2640  Current Port. of LT Debt/Capital Leases - 178 224.39 346.75  Other Current liabilities, Total 1000.15 927 1381.23 719.54"
Accounts Payable,7529.98,6439,4178.06,4365.43
Payable/Accrued,-,-,-,-
Accrued Expenses,152.59,85,75.48,74.46
Notes Payable/Short Term Debt,-,-,-,2640
Current Port. of LT Debt/Capital Leases,-,178,224.39,346.75
"Other Current liabilities, Total",1000.15,927,1381.23,719.54
Total Liabilities,9749.66,8696,7109.91,9600.37
