Period Ending:,202328/02,202228/02,202128/02,202029/02
Total Current Assets,5989,5076,1799,559.76
"Cash and Short Term Investments 3875 3123 1357 321.04  Cash - - - -  Cash & Equivalents 3875 3123 1357 321.04  Short Term Investments - - - -  Total Receivables, Net 1774 1622 411 202.4  Accounts Receivables - Trade, Net 1774 1622 411 202.4  Total Inventory - - - -  Prepaid Expenses - - - 26.45  Other Current Assets, Total 340 331 31 9.88","Cash and Short Term Investments 3875 3123 1357 321.04  Cash - - - -  Cash & Equivalents 3875 3123 1357 321.04  Short Term Investments - - - -  Total Receivables, Net 1774 1622 411 202.4  Accounts Receivables - Trade, Net 1774 1622 411 202.4  Total Inventory - - - -  Prepaid Expenses - - - 26.45  Other Current Assets, Total 340 331 31 9.88","Cash and Short Term Investments 3875 3123 1357 321.04  Cash - - - -  Cash & Equivalents 3875 3123 1357 321.04  Short Term Investments - - - -  Total Receivables, Net 1774 1622 411 202.4  Accounts Receivables - Trade, Net 1774 1622 411 202.4  Total Inventory - - - -  Prepaid Expenses - - - 26.45  Other Current Assets, Total 340 331 31 9.88","Cash and Short Term Investments 3875 3123 1357 321.04  Cash - - - -  Cash & Equivalents 3875 3123 1357 321.04  Short Term Investments - - - -  Total Receivables, Net 1774 1622 411 202.4  Accounts Receivables - Trade, Net 1774 1622 411 202.4  Total Inventory - - - -  Prepaid Expenses - - - 26.45  Other Current Assets, Total 340 331 31 9.88","Cash and Short Term Investments 3875 3123 1357 321.04  Cash - - - -  Cash & Equivalents 3875 3123 1357 321.04  Short Term Investments - - - -  Total Receivables, Net 1774 1622 411 202.4  Accounts Receivables - Trade, Net 1774 1622 411 202.4  Total Inventory - - - -  Prepaid Expenses - - - 26.45  Other Current Assets, Total 340 331 31 9.88"
Cash and Short Term Investments,3875,3123,1357,321.04
Cash,-,-,-,-
Cash & Equivalents,3875,3123,1357,321.04
Short Term Investments,-,-,-,-
"Total Receivables, Net",1774,1622,411,202.4
"Accounts Receivables - Trade, Net",1774,1622,411,202.4
Total Inventory,-,-,-,-
Prepaid Expenses,-,-,-,26.45
"Other Current Assets, Total",340,331,31,9.88
Total Assets,20884,18750,1969,648.22
"Property/Plant/Equipment, Total - Net 80 66 23 17.59  Property/Plant/Equipment, Total - Gross - 224.89 67.09 45.67  Accumulated Depreciation, Total - -158.09 -44.09 -28.09  Goodwill, Net 6642 6123 - -  Intangibles, Net 7924 7273 - -  Long Term Investments 148 143 101 -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 1 1 70.87  Other Assets, Total -1334 -1223 -335 -","Property/Plant/Equipment, Total - Net 80 66 23 17.59  Property/Plant/Equipment, Total - Gross - 224.89 67.09 45.67  Accumulated Depreciation, Total - -158.09 -44.09 -28.09  Goodwill, Net 6642 6123 - -  Intangibles, Net 7924 7273 - -  Long Term Investments 148 143 101 -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 1 1 70.87  Other Assets, Total -1334 -1223 -335 -","Property/Plant/Equipment, Total - Net 80 66 23 17.59  Property/Plant/Equipment, Total - Gross - 224.89 67.09 45.67  Accumulated Depreciation, Total - -158.09 -44.09 -28.09  Goodwill, Net 6642 6123 - -  Intangibles, Net 7924 7273 - -  Long Term Investments 148 143 101 -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 1 1 70.87  Other Assets, Total -1334 -1223 -335 -","Property/Plant/Equipment, Total - Net 80 66 23 17.59  Property/Plant/Equipment, Total - Gross - 224.89 67.09 45.67  Accumulated Depreciation, Total - -158.09 -44.09 -28.09  Goodwill, Net 6642 6123 - -  Intangibles, Net 7924 7273 - -  Long Term Investments 148 143 101 -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 1 1 70.87  Other Assets, Total -1334 -1223 -335 -","Property/Plant/Equipment, Total - Net 80 66 23 17.59  Property/Plant/Equipment, Total - Gross - 224.89 67.09 45.67  Accumulated Depreciation, Total - -158.09 -44.09 -28.09  Goodwill, Net 6642 6123 - -  Intangibles, Net 7924 7273 - -  Long Term Investments 148 143 101 -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 1 1 1 70.87  Other Assets, Total -1334 -1223 -335 -"
"Property/Plant/Equipment, Total - Net",80,66,23,17.59
"Property/Plant/Equipment, Total - Gross",-,224.89,67.09,45.67
"Accumulated Depreciation, Total",-,-158.09,-44.09,-28.09
"Goodwill, Net",6642,6123,-,-
"Intangibles, Net",7924,7273,-,-
Long Term Investments,148,143,101,-
Note Receivable - Long Term,-,-,-,-
"Other Long Term Assets, Total",1,1,1,70.87
"Other Assets, Total",-1334,-1223,-335,-
Total Current Liabilities,3521,2996,758,358.54
