Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,10905,8923,7422,7162
"Cash and Short Term Investments 4326 3894 2665 2469  Cash - - - -  Cash & Equivalents 4326 3894 2665 2469  Short Term Investments - - - -  Total Receivables, Net 4367 3028 2734 2697  Accounts Receivables - Trade, Net 4367 3028 2728 2692  Total Inventory 1880 1826 1778 1653  Prepaid Expenses - 57 222 177  Other Current Assets, Total 332 118 23 166","Cash and Short Term Investments 4326 3894 2665 2469  Cash - - - -  Cash & Equivalents 4326 3894 2665 2469  Short Term Investments - - - -  Total Receivables, Net 4367 3028 2734 2697  Accounts Receivables - Trade, Net 4367 3028 2728 2692  Total Inventory 1880 1826 1778 1653  Prepaid Expenses - 57 222 177  Other Current Assets, Total 332 118 23 166","Cash and Short Term Investments 4326 3894 2665 2469  Cash - - - -  Cash & Equivalents 4326 3894 2665 2469  Short Term Investments - - - -  Total Receivables, Net 4367 3028 2734 2697  Accounts Receivables - Trade, Net 4367 3028 2728 2692  Total Inventory 1880 1826 1778 1653  Prepaid Expenses - 57 222 177  Other Current Assets, Total 332 118 23 166","Cash and Short Term Investments 4326 3894 2665 2469  Cash - - - -  Cash & Equivalents 4326 3894 2665 2469  Short Term Investments - - - -  Total Receivables, Net 4367 3028 2734 2697  Accounts Receivables - Trade, Net 4367 3028 2728 2692  Total Inventory 1880 1826 1778 1653  Prepaid Expenses - 57 222 177  Other Current Assets, Total 332 118 23 166","Cash and Short Term Investments 4326 3894 2665 2469  Cash - - - -  Cash & Equivalents 4326 3894 2665 2469  Short Term Investments - - - -  Total Receivables, Net 4367 3028 2734 2697  Accounts Receivables - Trade, Net 4367 3028 2728 2692  Total Inventory 1880 1826 1778 1653  Prepaid Expenses - 57 222 177  Other Current Assets, Total 332 118 23 166"
Cash and Short Term Investments,4326,3894,2665,2469
Cash,-,-,-,-
Cash & Equivalents,4326,3894,2665,2469
Short Term Investments,-,-,-,-
"Total Receivables, Net",4367,3028,2734,2697
"Accounts Receivables - Trade, Net",4367,3028,2728,2692
Total Inventory,1880,1826,1778,1653
Prepaid Expenses,-,57,222,177
"Other Current Assets, Total",332,118,23,166
Total Assets,22165,17133,14003,13408
"Property/Plant/Equipment, Total - Net 9892 6646 5638 5701  Property/Plant/Equipment, Total - Gross - - 13259 -  Accumulated Depreciation, Total - - -7621 -  Goodwill, Net - - - -  Intangibles, Net 137 60 65 54  Long Term Investments 324 121 19 15  Note Receivable - Long Term - - - -  Other Long Term Assets, Total - 1 859 476  Other Assets, Total -1248 298 - -","Property/Plant/Equipment, Total - Net 9892 6646 5638 5701  Property/Plant/Equipment, Total - Gross - - 13259 -  Accumulated Depreciation, Total - - -7621 -  Goodwill, Net - - - -  Intangibles, Net 137 60 65 54  Long Term Investments 324 121 19 15  Note Receivable - Long Term - - - -  Other Long Term Assets, Total - 1 859 476  Other Assets, Total -1248 298 - -","Property/Plant/Equipment, Total - Net 9892 6646 5638 5701  Property/Plant/Equipment, Total - Gross - - 13259 -  Accumulated Depreciation, Total - - -7621 -  Goodwill, Net - - - -  Intangibles, Net 137 60 65 54  Long Term Investments 324 121 19 15  Note Receivable - Long Term - - - -  Other Long Term Assets, Total - 1 859 476  Other Assets, Total -1248 298 - -","Property/Plant/Equipment, Total - Net 9892 6646 5638 5701  Property/Plant/Equipment, Total - Gross - - 13259 -  Accumulated Depreciation, Total - - -7621 -  Goodwill, Net - - - -  Intangibles, Net 137 60 65 54  Long Term Investments 324 121 19 15  Note Receivable - Long Term - - - -  Other Long Term Assets, Total - 1 859 476  Other Assets, Total -1248 298 - -","Property/Plant/Equipment, Total - Net 9892 6646 5638 5701  Property/Plant/Equipment, Total - Gross - - 13259 -  Accumulated Depreciation, Total - - -7621 -  Goodwill, Net - - - -  Intangibles, Net 137 60 65 54  Long Term Investments 324 121 19 15  Note Receivable - Long Term - - - -  Other Long Term Assets, Total - 1 859 476  Other Assets, Total -1248 298 - -"
"Property/Plant/Equipment, Total - Net",9892,6646,5638,5701
"Property/Plant/Equipment, Total - Gross",-,-,13259,-
"Accumulated Depreciation, Total",-,-,-7621,-
"Goodwill, Net",-,-,-,-
"Intangibles, Net",137,60,65,54
Long Term Investments,324,121,19,15
Note Receivable - Long Term,-,-,-,-
"Other Long Term Assets, Total",-,1,859,476
"Other Assets, Total",-1248,298,-,-
Total Current Liabilities,8397,7720,7884,3799
"Accounts Payable 1592 1039 1138 1301  Payable/Accrued - - - -  Accrued Expenses 84 404 448 201  Notes Payable/Short Term Debt 3000 3500 4000 -  Current Port. of LT Debt/Capital Leases 964 1057 1083 1343  Other Current liabilities, Total 2757 1720 1215 954","Accounts Payable 1592 1039 1138 1301  Payable/Accrued - - - -  Accrued Expenses 84 404 448 201  Notes Payable/Short Term Debt 3000 3500 4000 -  Current Port. of LT Debt/Capital Leases 964 1057 1083 1343  Other Current liabilities, Total 2757 1720 1215 954","Accounts Payable 1592 1039 1138 1301  Payable/Accrued - - - -  Accrued Expenses 84 404 448 201  Notes Payable/Short Term Debt 3000 3500 4000 -  Current Port. of LT Debt/Capital Leases 964 1057 1083 1343  Other Current liabilities, Total 2757 1720 1215 954","Accounts Payable 1592 1039 1138 1301  Payable/Accrued - - - -  Accrued Expenses 84 404 448 201  Notes Payable/Short Term Debt 3000 3500 4000 -  Current Port. of LT Debt/Capital Leases 964 1057 1083 1343  Other Current liabilities, Total 2757 1720 1215 954","Accounts Payable 1592 1039 1138 1301  Payable/Accrued - - - -  Accrued Expenses 84 404 448 201  Notes Payable/Short Term Debt 3000 3500 4000 -  Current Port. of LT Debt/Capital Leases 964 1057 1083 1343  Other Current liabilities, Total 2757 1720 1215 954"
Accounts Payable,1592,1039,1138,1301
Payable/Accrued,-,-,-,-
Accrued Expenses,84,404,448,201
Notes Payable/Short Term Debt,3000,3500,4000,-
Current Port. of LT Debt/Capital Leases,964,1057,1083,1343
"Other Current liabilities, Total",2757,1720,1215,954
Total Liabilities,14008,10890,11971,12782
"Total Long Term Debt 5080 3156 4073 8971  Long Term Debt 5080 2535 3000 7418  Capital Lease Obligations - 621 1073 1553  Deferred Income Tax 15 - - -  Minority Interest - - - -  Other Liabilities, Total -2484 -3486 14 12","Total Long Term Debt 5080 3156 4073 8971  Long Term Debt 5080 2535 3000 7418  Capital Lease Obligations - 621 1073 1553  Deferred Income Tax 15 - - -  Minority Interest - - - -  Other Liabilities, Total -2484 -3486 14 12","Total Long Term Debt 5080 3156 4073 8971  Long Term Debt 5080 2535 3000 7418  Capital Lease Obligations - 621 1073 1553  Deferred Income Tax 15 - - -  Minority Interest - - - -  Other Liabilities, Total -2484 -3486 14 12","Total Long Term Debt 5080 3156 4073 8971  Long Term Debt 5080 2535 3000 7418  Capital Lease Obligations - 621 1073 1553  Deferred Income Tax 15 - - -  Minority Interest - - - -  Other Liabilities, Total -2484 -3486 14 12","Total Long Term Debt 5080 3156 4073 8971  Long Term Debt 5080 2535 3000 7418  Capital Lease Obligations - 621 1073 1553  Deferred Income Tax 15 - - -  Minority Interest - - - -  Other Liabilities, Total -2484 -3486 14 12"
Total Long Term Debt,5080,3156,4073,8971
Long Term Debt,5080,2535,3000,7418
Capital Lease Obligations,-,621,1073,1553
Deferred Income Tax,15,-,-,-
Minority Interest,-,-,-,-
"Other Liabilities, Total",-2484,-3486,14,12
Total Equity,8157,6243,2032,626
"Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 1071 1045 100 100  Additional Paid-In Capital 1254 1228 283 283  Retained Earnings (Accumulated Deficit) 5791 3969 1648 246  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -3  Other Equity, Total 41 1 1 -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 1071 1045 100 100  Additional Paid-In Capital 1254 1228 283 283  Retained Earnings (Accumulated Deficit) 5791 3969 1648 246  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -3  Other Equity, Total 41 1 1 -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 1071 1045 100 100  Additional Paid-In Capital 1254 1228 283 283  Retained Earnings (Accumulated Deficit) 5791 3969 1648 246  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -3  Other Equity, Total 41 1 1 -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 1071 1045 100 100  Additional Paid-In Capital 1254 1228 283 283  Retained Earnings (Accumulated Deficit) 5791 3969 1648 246  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -3  Other Equity, Total 41 1 1 -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 1071 1045 100 100  Additional Paid-In Capital 1254 1228 283 283  Retained Earnings (Accumulated Deficit) 5791 3969 1648 246  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -3  Other Equity, Total 41 1 1 -"
"Redeemable Preferred Stock, Total",-,-,-,-
"Preferred Stock - Non Redeemable, Net",-,-,-,-
"Common Stock, Total",1071,1045,100,100
Additional Paid-In Capital,1254,1228,283,283
Retained Earnings (Accumulated Deficit),5791,3969,1648,246
Treasury Stock - Common,-,-,-,-
ESOP Debt Guarantee,-,-,-,-
Unrealized Gain (Loss),-,-,-,-3
"Other Equity, Total",41,1,1,-
Total Liabilities & Shareholders' Equity,22165,17133,14003,13408
Total Common Shares Outstanding,12.92,12.53,12.55,12.55
Total Preferred Shares Outstanding,-,-,-,-
