Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,115014,96583,109018,94428
"Cash and Short Term Investments 39108 30585 16770 26369  Cash - - - -  Cash & Equivalents 39108 30585 16770 26369  Short Term Investments - - - -  Total Receivables, Net 67912 57036 80461 57784  Accounts Receivables - Trade, Net 67912 57036 70165 49977  Total Inventory 2158 2491 2763 5079  Prepaid Expenses - 3338 5757 2485  Other Current Assets, Total 5836 6471 3267 2711","Cash and Short Term Investments 39108 30585 16770 26369  Cash - - - -  Cash & Equivalents 39108 30585 16770 26369  Short Term Investments - - - -  Total Receivables, Net 67912 57036 80461 57784  Accounts Receivables - Trade, Net 67912 57036 70165 49977  Total Inventory 2158 2491 2763 5079  Prepaid Expenses - 3338 5757 2485  Other Current Assets, Total 5836 6471 3267 2711","Cash and Short Term Investments 39108 30585 16770 26369  Cash - - - -  Cash & Equivalents 39108 30585 16770 26369  Short Term Investments - - - -  Total Receivables, Net 67912 57036 80461 57784  Accounts Receivables - Trade, Net 67912 57036 70165 49977  Total Inventory 2158 2491 2763 5079  Prepaid Expenses - 3338 5757 2485  Other Current Assets, Total 5836 6471 3267 2711","Cash and Short Term Investments 39108 30585 16770 26369  Cash - - - -  Cash & Equivalents 39108 30585 16770 26369  Short Term Investments - - - -  Total Receivables, Net 67912 57036 80461 57784  Accounts Receivables - Trade, Net 67912 57036 70165 49977  Total Inventory 2158 2491 2763 5079  Prepaid Expenses - 3338 5757 2485  Other Current Assets, Total 5836 6471 3267 2711","Cash and Short Term Investments 39108 30585 16770 26369  Cash - - - -  Cash & Equivalents 39108 30585 16770 26369  Short Term Investments - - - -  Total Receivables, Net 67912 57036 80461 57784  Accounts Receivables - Trade, Net 67912 57036 70165 49977  Total Inventory 2158 2491 2763 5079  Prepaid Expenses - 3338 5757 2485  Other Current Assets, Total 5836 6471 3267 2711"
Cash and Short Term Investments,39108,30585,16770,26369
Cash,-,-,-,-
Cash & Equivalents,39108,30585,16770,26369
Short Term Investments,-,-,-,-
"Total Receivables, Net",67912,57036,80461,57784
"Accounts Receivables - Trade, Net",67912,57036,70165,49977
Total Inventory,2158,2491,2763,5079
Prepaid Expenses,-,3338,5757,2485
"Other Current Assets, Total",5836,6471,3267,2711
Total Assets,153717,135582,148953,135516
"Property/Plant/Equipment, Total - Net 31013 31508 32334 33988  Property/Plant/Equipment, Total - Gross - 60664 60633 61983  Accumulated Depreciation, Total - -29156 -28300 -27995  Goodwill, Net - - - -  Intangibles, Net 977 942 515 287  Long Term Investments 4198 4304 2561 2491  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 2 4525 4322  Other Assets, Total -57405 -45831 - -","Property/Plant/Equipment, Total - Net 31013 31508 32334 33988  Property/Plant/Equipment, Total - Gross - 60664 60633 61983  Accumulated Depreciation, Total - -29156 -28300 -27995  Goodwill, Net - - - -  Intangibles, Net 977 942 515 287  Long Term Investments 4198 4304 2561 2491  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 2 4525 4322  Other Assets, Total -57405 -45831 - -","Property/Plant/Equipment, Total - Net 31013 31508 32334 33988  Property/Plant/Equipment, Total - Gross - 60664 60633 61983  Accumulated Depreciation, Total - -29156 -28300 -27995  Goodwill, Net - - - -  Intangibles, Net 977 942 515 287  Long Term Investments 4198 4304 2561 2491  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 2 4525 4322  Other Assets, Total -57405 -45831 - -","Property/Plant/Equipment, Total - Net 31013 31508 32334 33988  Property/Plant/Equipment, Total - Gross - 60664 60633 61983  Accumulated Depreciation, Total - -29156 -28300 -27995  Goodwill, Net - - - -  Intangibles, Net 977 942 515 287  Long Term Investments 4198 4304 2561 2491  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 2 4525 4322  Other Assets, Total -57405 -45831 - -","Property/Plant/Equipment, Total - Net 31013 31508 32334 33988  Property/Plant/Equipment, Total - Gross - 60664 60633 61983  Accumulated Depreciation, Total - -29156 -28300 -27995  Goodwill, Net - - - -  Intangibles, Net 977 942 515 287  Long Term Investments 4198 4304 2561 2491  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 2 4525 4322  Other Assets, Total -57405 -45831 - -"
"Property/Plant/Equipment, Total - Net",31013,31508,32334,33988
"Property/Plant/Equipment, Total - Gross",-,60664,60633,61983
"Accumulated Depreciation, Total",-,-29156,-28300,-27995
"Goodwill, Net",-,-,-,-
"Intangibles, Net",977,942,515,287
Long Term Investments,4198,4304,2561,2491
Note Receivable - Long Term,-,-,-,-
"Other Long Term Assets, Total",2,2,4525,4322
"Other Assets, Total",-57405,-45831,-,-
Total Current Liabilities,70235,54747,71532,65723
"Accounts Payable 33729 29749 32226 33535  Payable/Accrued - - - -  Accrued Expenses 1233 979 10161 9104  Notes Payable/Short Term Debt 2951 2869 6200 6500  Current Port. of LT Debt/Capital Leases - 2869 1733 1782  Other Current liabilities, Total 32322 21150 21212 14802","Accounts Payable 33729 29749 32226 33535  Payable/Accrued - - - -  Accrued Expenses 1233 979 10161 9104  Notes Payable/Short Term Debt 2951 2869 6200 6500  Current Port. of LT Debt/Capital Leases - 2869 1733 1782  Other Current liabilities, Total 32322 21150 21212 14802","Accounts Payable 33729 29749 32226 33535  Payable/Accrued - - - -  Accrued Expenses 1233 979 10161 9104  Notes Payable/Short Term Debt 2951 2869 6200 6500  Current Port. of LT Debt/Capital Leases - 2869 1733 1782  Other Current liabilities, Total 32322 21150 21212 14802","Accounts Payable 33729 29749 32226 33535  Payable/Accrued - - - -  Accrued Expenses 1233 979 10161 9104  Notes Payable/Short Term Debt 2951 2869 6200 6500  Current Port. of LT Debt/Capital Leases - 2869 1733 1782  Other Current liabilities, Total 32322 21150 21212 14802","Accounts Payable 33729 29749 32226 33535  Payable/Accrued - - - -  Accrued Expenses 1233 979 10161 9104  Notes Payable/Short Term Debt 2951 2869 6200 6500  Current Port. of LT Debt/Capital Leases - 2869 1733 1782  Other Current liabilities, Total 32322 21150 21212 14802"
Accounts Payable,33729,29749,32226,33535
Payable/Accrued,-,-,-,-
Accrued Expenses,1233,979,10161,9104
Notes Payable/Short Term Debt,2951,2869,6200,6500
Current Port. of LT Debt/Capital Leases,-,2869,1733,1782
"Other Current liabilities, Total",32322,21150,21212,14802
Total Liabilities,79734,65683,84684,79564
"Total Long Term Debt 1754 2722 3001 3156  Long Term Debt 1754 2722 2752 2951  Capital Lease Obligations - - 249 205  Deferred Income Tax 2341 2362 2334 2275  Minority Interest 2165 1780 1606 1377  Other Liabilities, Total 288 -4388 6211 7033","Total Long Term Debt 1754 2722 3001 3156  Long Term Debt 1754 2722 2752 2951  Capital Lease Obligations - - 249 205  Deferred Income Tax 2341 2362 2334 2275  Minority Interest 2165 1780 1606 1377  Other Liabilities, Total 288 -4388 6211 7033","Total Long Term Debt 1754 2722 3001 3156  Long Term Debt 1754 2722 2752 2951  Capital Lease Obligations - - 249 205  Deferred Income Tax 2341 2362 2334 2275  Minority Interest 2165 1780 1606 1377  Other Liabilities, Total 288 -4388 6211 7033","Total Long Term Debt 1754 2722 3001 3156  Long Term Debt 1754 2722 2752 2951  Capital Lease Obligations - - 249 205  Deferred Income Tax 2341 2362 2334 2275  Minority Interest 2165 1780 1606 1377  Other Liabilities, Total 288 -4388 6211 7033","Total Long Term Debt 1754 2722 3001 3156  Long Term Debt 1754 2722 2752 2951  Capital Lease Obligations - - 249 205  Deferred Income Tax 2341 2362 2334 2275  Minority Interest 2165 1780 1606 1377  Other Liabilities, Total 288 -4388 6211 7033"
Total Long Term Debt,1754,2722,3001,3156
Long Term Debt,1754,2722,2752,2951
Capital Lease Obligations,-,-,249,205
Deferred Income Tax,2341,2362,2334,2275
Minority Interest,2165,1780,1606,1377
"Other Liabilities, Total",288,-4388,6211,7033
Total Equity,73983,69899,64269,55952
"Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 14049 14049 14049 14049  Additional Paid-In Capital 6074 6066 6057 6057  Retained Earnings (Accumulated Deficit) 48701 44931 41419 34007  Treasury Stock - Common -145 -161 -178 -147  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - 3731 3609 3120  Other Equity, Total 5304 5014 -687 -1134","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 14049 14049 14049 14049  Additional Paid-In Capital 6074 6066 6057 6057  Retained Earnings (Accumulated Deficit) 48701 44931 41419 34007  Treasury Stock - Common -145 -161 -178 -147  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - 3731 3609 3120  Other Equity, Total 5304 5014 -687 -1134","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 14049 14049 14049 14049  Additional Paid-In Capital 6074 6066 6057 6057  Retained Earnings (Accumulated Deficit) 48701 44931 41419 34007  Treasury Stock - Common -145 -161 -178 -147  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - 3731 3609 3120  Other Equity, Total 5304 5014 -687 -1134","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 14049 14049 14049 14049  Additional Paid-In Capital 6074 6066 6057 6057  Retained Earnings (Accumulated Deficit) 48701 44931 41419 34007  Treasury Stock - Common -145 -161 -178 -147  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - 3731 3609 3120  Other Equity, Total 5304 5014 -687 -1134","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 14049 14049 14049 14049  Additional Paid-In Capital 6074 6066 6057 6057  Retained Earnings (Accumulated Deficit) 48701 44931 41419 34007  Treasury Stock - Common -145 -161 -178 -147  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - 3731 3609 3120  Other Equity, Total 5304 5014 -687 -1134"
"Redeemable Preferred Stock, Total",-,-,-,-
"Preferred Stock - Non Redeemable, Net",-,-,-,-
"Common Stock, Total",14049,14049,14049,14049
Additional Paid-In Capital,6074,6066,6057,6057
Retained Earnings (Accumulated Deficit),48701,44931,41419,34007
Treasury Stock - Common,-145,-161,-178,-147
ESOP Debt Guarantee,-,-,-,-
Unrealized Gain (Loss),-,3731,3609,3120
"Other Equity, Total",5304,5014,-687,-1134
Total Liabilities & Shareholders' Equity,153717,135582,148953,135516
Total Common Shares Outstanding,94.02,93.98,93.94,94.02
Total Preferred Shares Outstanding,-,-,-,-
