Period Ending:,202231/01,202131/01,202031/01,Unnamed: 4
Total Current Assets,1080.87,894.96,728.29,-
"Cash and Short Term Investments 389.45 363.15 516.45 -  Cash - - - -  Cash & Equivalents 389.45 363.15 516.45 -  Short Term Investments - - - -  Total Receivables, Net 2.21 7.63 14.26 -  Accounts Receivables - Trade, Net 2.21 1.7 14.26 -  Total Inventory 655.75 490.58 176.7 -  Prepaid Expenses 28.85 19.6 15.6 -  Other Current Assets, Total 4.61 14 5.29 -","Cash and Short Term Investments 389.45 363.15 516.45 -  Cash - - - -  Cash & Equivalents 389.45 363.15 516.45 -  Short Term Investments - - - -  Total Receivables, Net 2.21 7.63 14.26 -  Accounts Receivables - Trade, Net 2.21 1.7 14.26 -  Total Inventory 655.75 490.58 176.7 -  Prepaid Expenses 28.85 19.6 15.6 -  Other Current Assets, Total 4.61 14 5.29 -","Cash and Short Term Investments 389.45 363.15 516.45 -  Cash - - - -  Cash & Equivalents 389.45 363.15 516.45 -  Short Term Investments - - - -  Total Receivables, Net 2.21 7.63 14.26 -  Accounts Receivables - Trade, Net 2.21 1.7 14.26 -  Total Inventory 655.75 490.58 176.7 -  Prepaid Expenses 28.85 19.6 15.6 -  Other Current Assets, Total 4.61 14 5.29 -","Cash and Short Term Investments 389.45 363.15 516.45 -  Cash - - - -  Cash & Equivalents 389.45 363.15 516.45 -  Short Term Investments - - - -  Total Receivables, Net 2.21 7.63 14.26 -  Accounts Receivables - Trade, Net 2.21 1.7 14.26 -  Total Inventory 655.75 490.58 176.7 -  Prepaid Expenses 28.85 19.6 15.6 -  Other Current Assets, Total 4.61 14 5.29 -","Cash and Short Term Investments 389.45 363.15 516.45 -  Cash - - - -  Cash & Equivalents 389.45 363.15 516.45 -  Short Term Investments - - - -  Total Receivables, Net 2.21 7.63 14.26 -  Accounts Receivables - Trade, Net 2.21 1.7 14.26 -  Total Inventory 655.75 490.58 176.7 -  Prepaid Expenses 28.85 19.6 15.6 -  Other Current Assets, Total 4.61 14 5.29 -"
Cash and Short Term Investments,389.45,363.15,516.45,-
Cash,-,-,-,-
Cash & Equivalents,389.45,363.15,516.45,-
Short Term Investments,-,-,-,-
"Total Receivables, Net",2.21,7.63,14.26,-
"Accounts Receivables - Trade, Net",2.21,1.7,14.26,-
Total Inventory,655.75,490.58,176.7,-
Prepaid Expenses,28.85,19.6,15.6,-
"Other Current Assets, Total",4.61,14,5.29,-
Total Assets,1512.49,1209.81,1056.02,-
