Period Ending:,202328/02,202228/02,202128/02,202029/02
Total Current Assets,4747,3603.18,2136.5,1609.66
"Cash and Short Term Investments 3925 2983.97 1580.71 1206.24  Cash - - - -  Cash & Equivalents 3925 2983.97 1580.71 1206.24  Short Term Investments - - - -  Total Receivables, Net 731 496.31 361.62 288.72  Accounts Receivables - Trade, Net 731 496.31 361.62 288.72  Total Inventory - 16.91 15.97 8.83  Prepaid Expenses 85 101.98 165.45 102.13  Other Current Assets, Total 6 4.01 12.76 3.74","Cash and Short Term Investments 3925 2983.97 1580.71 1206.24  Cash - - - -  Cash & Equivalents 3925 2983.97 1580.71 1206.24  Short Term Investments - - - -  Total Receivables, Net 731 496.31 361.62 288.72  Accounts Receivables - Trade, Net 731 496.31 361.62 288.72  Total Inventory - 16.91 15.97 8.83  Prepaid Expenses 85 101.98 165.45 102.13  Other Current Assets, Total 6 4.01 12.76 3.74","Cash and Short Term Investments 3925 2983.97 1580.71 1206.24  Cash - - - -  Cash & Equivalents 3925 2983.97 1580.71 1206.24  Short Term Investments - - - -  Total Receivables, Net 731 496.31 361.62 288.72  Accounts Receivables - Trade, Net 731 496.31 361.62 288.72  Total Inventory - 16.91 15.97 8.83  Prepaid Expenses 85 101.98 165.45 102.13  Other Current Assets, Total 6 4.01 12.76 3.74","Cash and Short Term Investments 3925 2983.97 1580.71 1206.24  Cash - - - -  Cash & Equivalents 3925 2983.97 1580.71 1206.24  Short Term Investments - - - -  Total Receivables, Net 731 496.31 361.62 288.72  Accounts Receivables - Trade, Net 731 496.31 361.62 288.72  Total Inventory - 16.91 15.97 8.83  Prepaid Expenses 85 101.98 165.45 102.13  Other Current Assets, Total 6 4.01 12.76 3.74","Cash and Short Term Investments 3925 2983.97 1580.71 1206.24  Cash - - - -  Cash & Equivalents 3925 2983.97 1580.71 1206.24  Short Term Investments - - - -  Total Receivables, Net 731 496.31 361.62 288.72  Accounts Receivables - Trade, Net 731 496.31 361.62 288.72  Total Inventory - 16.91 15.97 8.83  Prepaid Expenses 85 101.98 165.45 102.13  Other Current Assets, Total 6 4.01 12.76 3.74"
Cash and Short Term Investments,3925,2983.97,1580.71,1206.24
Cash,-,-,-,-
Cash & Equivalents,3925,2983.97,1580.71,1206.24
Short Term Investments,-,-,-,-
"Total Receivables, Net",731,496.31,361.62,288.72
"Accounts Receivables - Trade, Net",731,496.31,361.62,288.72
Total Inventory,-,16.91,15.97,8.83
Prepaid Expenses,85,101.98,165.45,102.13
"Other Current Assets, Total",6,4.01,12.76,3.74
Total Assets,5227,3901.23,2400.78,1913.26
