Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,28651,31341,31161,33814
"Cash and Short Term Investments 6457 9111 9361 9537  Cash - - - -  Cash & Equivalents 6457 9111 9361 9537  Short Term Investments - - - -  Total Receivables, Net 13226 13867 13924 15678  Accounts Receivables - Trade, Net 13226 13867 13924 15678  Total Inventory 8341 7955 7598 8025  Prepaid Expenses - - - 221  Other Current Assets, Total 627 408 278 353","Cash and Short Term Investments 6457 9111 9361 9537  Cash - - - -  Cash & Equivalents 6457 9111 9361 9537  Short Term Investments - - - -  Total Receivables, Net 13226 13867 13924 15678  Accounts Receivables - Trade, Net 13226 13867 13924 15678  Total Inventory 8341 7955 7598 8025  Prepaid Expenses - - - 221  Other Current Assets, Total 627 408 278 353","Cash and Short Term Investments 6457 9111 9361 9537  Cash - - - -  Cash & Equivalents 6457 9111 9361 9537  Short Term Investments - - - -  Total Receivables, Net 13226 13867 13924 15678  Accounts Receivables - Trade, Net 13226 13867 13924 15678  Total Inventory 8341 7955 7598 8025  Prepaid Expenses - - - 221  Other Current Assets, Total 627 408 278 353","Cash and Short Term Investments 6457 9111 9361 9537  Cash - - - -  Cash & Equivalents 6457 9111 9361 9537  Short Term Investments - - - -  Total Receivables, Net 13226 13867 13924 15678  Accounts Receivables - Trade, Net 13226 13867 13924 15678  Total Inventory 8341 7955 7598 8025  Prepaid Expenses - - - 221  Other Current Assets, Total 627 408 278 353","Cash and Short Term Investments 6457 9111 9361 9537  Cash - - - -  Cash & Equivalents 6457 9111 9361 9537  Short Term Investments - - - -  Total Receivables, Net 13226 13867 13924 15678  Accounts Receivables - Trade, Net 13226 13867 13924 15678  Total Inventory 8341 7955 7598 8025  Prepaid Expenses - - - 221  Other Current Assets, Total 627 408 278 353"
Cash and Short Term Investments,6457,9111,9361,9537
Cash,-,-,-,-
Cash & Equivalents,6457,9111,9361,9537
Short Term Investments,-,-,-,-
"Total Receivables, Net",13226,13867,13924,15678
"Accounts Receivables - Trade, Net",13226,13867,13924,15678
Total Inventory,8341,7955,7598,8025
Prepaid Expenses,-,-,-,221
"Other Current Assets, Total",627,408,278,353
Total Assets,67845,70306,67435,67950
"Property/Plant/Equipment, Total - Net 23929 24443 23278 24004  Property/Plant/Equipment, Total - Gross - 61465 58745 58260  Accumulated Depreciation, Total - -37024 -35470 -34258  Goodwill, Net - - 7 100  Intangibles, Net 430 460 445 253  Long Term Investments 14775 13999 10527 8991  Note Receivable - Long Term - - - -  Other Long Term Assets, Total - 2 2017 788  Other Assets, Total -4198 -5443 - -","Property/Plant/Equipment, Total - Net 23929 24443 23278 24004  Property/Plant/Equipment, Total - Gross - 61465 58745 58260  Accumulated Depreciation, Total - -37024 -35470 -34258  Goodwill, Net - - 7 100  Intangibles, Net 430 460 445 253  Long Term Investments 14775 13999 10527 8991  Note Receivable - Long Term - - - -  Other Long Term Assets, Total - 2 2017 788  Other Assets, Total -4198 -5443 - -","Property/Plant/Equipment, Total - Net 23929 24443 23278 24004  Property/Plant/Equipment, Total - Gross - 61465 58745 58260  Accumulated Depreciation, Total - -37024 -35470 -34258  Goodwill, Net - - 7 100  Intangibles, Net 430 460 445 253  Long Term Investments 14775 13999 10527 8991  Note Receivable - Long Term - - - -  Other Long Term Assets, Total - 2 2017 788  Other Assets, Total -4198 -5443 - -","Property/Plant/Equipment, Total - Net 23929 24443 23278 24004  Property/Plant/Equipment, Total - Gross - 61465 58745 58260  Accumulated Depreciation, Total - -37024 -35470 -34258  Goodwill, Net - - 7 100  Intangibles, Net 430 460 445 253  Long Term Investments 14775 13999 10527 8991  Note Receivable - Long Term - - - -  Other Long Term Assets, Total - 2 2017 788  Other Assets, Total -4198 -5443 - -","Property/Plant/Equipment, Total - Net 23929 24443 23278 24004  Property/Plant/Equipment, Total - Gross - 61465 58745 58260  Accumulated Depreciation, Total - -37024 -35470 -34258  Goodwill, Net - - 7 100  Intangibles, Net 430 460 445 253  Long Term Investments 14775 13999 10527 8991  Note Receivable - Long Term - - - -  Other Long Term Assets, Total - 2 2017 788  Other Assets, Total -4198 -5443 - -"
"Property/Plant/Equipment, Total - Net",23929,24443,23278,24004
"Property/Plant/Equipment, Total - Gross",-,61465,58745,58260
"Accumulated Depreciation, Total",-,-37024,-35470,-34258
"Goodwill, Net",-,-,7,100
"Intangibles, Net",430,460,445,253
Long Term Investments,14775,13999,10527,8991
Note Receivable - Long Term,-,-,-,-
"Other Long Term Assets, Total",-,2,2017,788
"Other Assets, Total",-4198,-5443,-,-
Total Current Liabilities,15709,18433,17585,18991
"Accounts Payable 9956 10542 10094 11332  Payable/Accrued - - - -  Accrued Expenses 594 655 596 661  Notes Payable/Short Term Debt 2898 4339 4329 4353  Current Port. of LT Debt/Capital Leases 1001 1104 1279 1367  Other Current liabilities, Total 1260 1793 1287 1278","Accounts Payable 9956 10542 10094 11332  Payable/Accrued - - - -  Accrued Expenses 594 655 596 661  Notes Payable/Short Term Debt 2898 4339 4329 4353  Current Port. of LT Debt/Capital Leases 1001 1104 1279 1367  Other Current liabilities, Total 1260 1793 1287 1278","Accounts Payable 9956 10542 10094 11332  Payable/Accrued - - - -  Accrued Expenses 594 655 596 661  Notes Payable/Short Term Debt 2898 4339 4329 4353  Current Port. of LT Debt/Capital Leases 1001 1104 1279 1367  Other Current liabilities, Total 1260 1793 1287 1278","Accounts Payable 9956 10542 10094 11332  Payable/Accrued - - - -  Accrued Expenses 594 655 596 661  Notes Payable/Short Term Debt 2898 4339 4329 4353  Current Port. of LT Debt/Capital Leases 1001 1104 1279 1367  Other Current liabilities, Total 1260 1793 1287 1278","Accounts Payable 9956 10542 10094 11332  Payable/Accrued - - - -  Accrued Expenses 594 655 596 661  Notes Payable/Short Term Debt 2898 4339 4329 4353  Current Port. of LT Debt/Capital Leases 1001 1104 1279 1367  Other Current liabilities, Total 1260 1793 1287 1278"
Accounts Payable,9956,10542,10094,11332
Payable/Accrued,-,-,-,-
Accrued Expenses,594,655,596,661
Notes Payable/Short Term Debt,2898,4339,4329,4353
Current Port. of LT Debt/Capital Leases,1001,1104,1279,1367
"Other Current liabilities, Total",1260,1793,1287,1278
Total Liabilities,18723,22012,23026,25351
