Period Ending:,202230/11,202130/11,202030/11,201930/11
Total Current Assets,1303,1052.67,935.04,897.95
"Cash and Short Term Investments 737 566.43 553.23 441.45  Cash - - - -  Cash & Equivalents 737 566.43 553.23 441.45  Short Term Investments - - - -  Total Receivables, Net 468 419.28 329.75 396.21  Accounts Receivables - Trade, Net 468 417.95 295.83 390.69  Total Inventory 68 43.31 27.99 38.37  Prepaid Expenses 25 21.57 22.74 18.28  Other Current Assets, Total 5 2.07 1.32 3.65","Cash and Short Term Investments 737 566.43 553.23 441.45  Cash - - - -  Cash & Equivalents 737 566.43 553.23 441.45  Short Term Investments - - - -  Total Receivables, Net 468 419.28 329.75 396.21  Accounts Receivables - Trade, Net 468 417.95 295.83 390.69  Total Inventory 68 43.31 27.99 38.37  Prepaid Expenses 25 21.57 22.74 18.28  Other Current Assets, Total 5 2.07 1.32 3.65","Cash and Short Term Investments 737 566.43 553.23 441.45  Cash - - - -  Cash & Equivalents 737 566.43 553.23 441.45  Short Term Investments - - - -  Total Receivables, Net 468 419.28 329.75 396.21  Accounts Receivables - Trade, Net 468 417.95 295.83 390.69  Total Inventory 68 43.31 27.99 38.37  Prepaid Expenses 25 21.57 22.74 18.28  Other Current Assets, Total 5 2.07 1.32 3.65","Cash and Short Term Investments 737 566.43 553.23 441.45  Cash - - - -  Cash & Equivalents 737 566.43 553.23 441.45  Short Term Investments - - - -  Total Receivables, Net 468 419.28 329.75 396.21  Accounts Receivables - Trade, Net 468 417.95 295.83 390.69  Total Inventory 68 43.31 27.99 38.37  Prepaid Expenses 25 21.57 22.74 18.28  Other Current Assets, Total 5 2.07 1.32 3.65","Cash and Short Term Investments 737 566.43 553.23 441.45  Cash - - - -  Cash & Equivalents 737 566.43 553.23 441.45  Short Term Investments - - - -  Total Receivables, Net 468 419.28 329.75 396.21  Accounts Receivables - Trade, Net 468 417.95 295.83 390.69  Total Inventory 68 43.31 27.99 38.37  Prepaid Expenses 25 21.57 22.74 18.28  Other Current Assets, Total 5 2.07 1.32 3.65"
Cash and Short Term Investments,737,566.43,553.23,441.45
Cash,-,-,-,-
Cash & Equivalents,737,566.43,553.23,441.45
Short Term Investments,-,-,-,-
"Total Receivables, Net",468,419.28,329.75,396.21
"Accounts Receivables - Trade, Net",468,417.95,295.83,390.69
Total Inventory,68,43.31,27.99,38.37
Prepaid Expenses,25,21.57,22.74,18.28
"Other Current Assets, Total",5,2.07,1.32,3.65
Total Assets,1631,1337.07,1171.74,1179.02
"Property/Plant/Equipment, Total - Net 54 43.56 42.98 47.42  Property/Plant/Equipment, Total - Gross - 76.58 69.78 71.64  Accumulated Depreciation, Total - -33.02 -26.8 -24.23  Goodwill, Net - - - -  Intangibles, Net 68 48.99 28.92 17.7  Long Term Investments 89 22.06 22.06 24.6  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 169.8 142.75 191.35  Other Assets, Total -280 - - -","Property/Plant/Equipment, Total - Net 54 43.56 42.98 47.42  Property/Plant/Equipment, Total - Gross - 76.58 69.78 71.64  Accumulated Depreciation, Total - -33.02 -26.8 -24.23  Goodwill, Net - - - -  Intangibles, Net 68 48.99 28.92 17.7  Long Term Investments 89 22.06 22.06 24.6  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 169.8 142.75 191.35  Other Assets, Total -280 - - -","Property/Plant/Equipment, Total - Net 54 43.56 42.98 47.42  Property/Plant/Equipment, Total - Gross - 76.58 69.78 71.64  Accumulated Depreciation, Total - -33.02 -26.8 -24.23  Goodwill, Net - - - -  Intangibles, Net 68 48.99 28.92 17.7  Long Term Investments 89 22.06 22.06 24.6  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 169.8 142.75 191.35  Other Assets, Total -280 - - -","Property/Plant/Equipment, Total - Net 54 43.56 42.98 47.42  Property/Plant/Equipment, Total - Gross - 76.58 69.78 71.64  Accumulated Depreciation, Total - -33.02 -26.8 -24.23  Goodwill, Net - - - -  Intangibles, Net 68 48.99 28.92 17.7  Long Term Investments 89 22.06 22.06 24.6  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 169.8 142.75 191.35  Other Assets, Total -280 - - -","Property/Plant/Equipment, Total - Net 54 43.56 42.98 47.42  Property/Plant/Equipment, Total - Gross - 76.58 69.78 71.64  Accumulated Depreciation, Total - -33.02 -26.8 -24.23  Goodwill, Net - - - -  Intangibles, Net 68 48.99 28.92 17.7  Long Term Investments 89 22.06 22.06 24.6  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 169.8 142.75 191.35  Other Assets, Total -280 - - -"
"Property/Plant/Equipment, Total - Net",54,43.56,42.98,47.42
"Property/Plant/Equipment, Total - Gross",-,76.58,69.78,71.64
"Accumulated Depreciation, Total",-,-33.02,-26.8,-24.23
"Goodwill, Net",-,-,-,-
"Intangibles, Net",68,48.99,28.92,17.7
Long Term Investments,89,22.06,22.06,24.6
Note Receivable - Long Term,-,-,-,-
"Other Long Term Assets, Total",2,169.8,142.75,191.35
"Other Assets, Total",-280,-,-,-
Total Current Liabilities,802,708.33,669.13,597.69
"Accounts Payable 143 100.66 61.01 73.22  Payable/Accrued - - - -  Accrued Expenses 213 199.33 154.54 222.15  Notes Payable/Short Term Debt - - 160 -  Current Port. of LT Debt/Capital Leases 34 70.29 117.5 50.02  Other Current liabilities, Total 412 338.04 176.08 252.3","Accounts Payable 143 100.66 61.01 73.22  Payable/Accrued - - - -  Accrued Expenses 213 199.33 154.54 222.15  Notes Payable/Short Term Debt - - 160 -  Current Port. of LT Debt/Capital Leases 34 70.29 117.5 50.02  Other Current liabilities, Total 412 338.04 176.08 252.3","Accounts Payable 143 100.66 61.01 73.22  Payable/Accrued - - - -  Accrued Expenses 213 199.33 154.54 222.15  Notes Payable/Short Term Debt - - 160 -  Current Port. of LT Debt/Capital Leases 34 70.29 117.5 50.02  Other Current liabilities, Total 412 338.04 176.08 252.3","Accounts Payable 143 100.66 61.01 73.22  Payable/Accrued - - - -  Accrued Expenses 213 199.33 154.54 222.15  Notes Payable/Short Term Debt - - 160 -  Current Port. of LT Debt/Capital Leases 34 70.29 117.5 50.02  Other Current liabilities, Total 412 338.04 176.08 252.3","Accounts Payable 143 100.66 61.01 73.22  Payable/Accrued - - - -  Accrued Expenses 213 199.33 154.54 222.15  Notes Payable/Short Term Debt - - 160 -  Current Port. of LT Debt/Capital Leases 34 70.29 117.5 50.02  Other Current liabilities, Total 412 338.04 176.08 252.3"
Accounts Payable,143,100.66,61.01,73.22
Payable/Accrued,-,-,-,-
Accrued Expenses,213,199.33,154.54,222.15
Notes Payable/Short Term Debt,-,-,160,-
Current Port. of LT Debt/Capital Leases,34,70.29,117.5,50.02
"Other Current liabilities, Total",412,338.04,176.08,252.3
Total Liabilities,855,742.37,773.47,650.43
"Total Long Term Debt - 34.04 104.33 52.75  Long Term Debt - 34.04 104.33 52.75  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 53 - - -","Total Long Term Debt - 34.04 104.33 52.75  Long Term Debt - 34.04 104.33 52.75  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 53 - - -","Total Long Term Debt - 34.04 104.33 52.75  Long Term Debt - 34.04 104.33 52.75  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 53 - - -","Total Long Term Debt - 34.04 104.33 52.75  Long Term Debt - 34.04 104.33 52.75  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 53 - - -","Total Long Term Debt - 34.04 104.33 52.75  Long Term Debt - 34.04 104.33 52.75  Capital Lease Obligations - - - -  Deferred Income Tax - - - -  Minority Interest - - - -  Other Liabilities, Total 53 - - -"
Total Long Term Debt,-,34.04,104.33,52.75
Long Term Debt,-,34.04,104.33,52.75
Capital Lease Obligations,-,-,-,-
Deferred Income Tax,-,-,-,-
Minority Interest,-,-,-,-
"Other Liabilities, Total",53,-,-,-
Total Equity,776,594.7,398.28,528.59
"Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 50 50 50 50  Additional Paid-In Capital - - - -  Retained Earnings (Accumulated Deficit) 723 544.7 348.28 478.59  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 3 - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 50 50 50 50  Additional Paid-In Capital - - - -  Retained Earnings (Accumulated Deficit) 723 544.7 348.28 478.59  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 3 - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 50 50 50 50  Additional Paid-In Capital - - - -  Retained Earnings (Accumulated Deficit) 723 544.7 348.28 478.59  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 3 - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 50 50 50 50  Additional Paid-In Capital - - - -  Retained Earnings (Accumulated Deficit) 723 544.7 348.28 478.59  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 3 - - -","Redeemable Preferred Stock, Total - - - -  Preferred Stock - Non Redeemable, Net - - - -  Common Stock, Total 50 50 50 50  Additional Paid-In Capital - - - -  Retained Earnings (Accumulated Deficit) 723 544.7 348.28 478.59  Treasury Stock - Common - - - -  ESOP Debt Guarantee - - - -  Unrealized Gain (Loss) - - - -  Other Equity, Total 3 - - -"
"Redeemable Preferred Stock, Total",-,-,-,-
"Preferred Stock - Non Redeemable, Net",-,-,-,-
"Common Stock, Total",50,50,50,50
Additional Paid-In Capital,-,-,-,-
Retained Earnings (Accumulated Deficit),723,544.7,348.28,478.59
Treasury Stock - Common,-,-,-,-
ESOP Debt Guarantee,-,-,-,-
Unrealized Gain (Loss),-,-,-,-
"Other Equity, Total",3,-,-,-
Total Liabilities & Shareholders' Equity,1631,1337.07,1171.74,1179.02
Total Common Shares Outstanding,1,1,1,1
Total Preferred Shares Outstanding,-,-,-,-
