Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,2477,488,511,488.22
"Cash and Short Term Investments 1320 395 414 384  Cash - - - -  Cash & Equivalents 1320 395 414 384  Short Term Investments - - - -  Total Receivables, Net 1034 85 89 96.72  Accounts Receivables - Trade, Net 1034 85 89 96.72  Total Inventory 3 5 2 2.64  Prepaid Expenses 7 2 2 4.65  Other Current Assets, Total 113 1 4 0.21","Cash and Short Term Investments 1320 395 414 384  Cash - - - -  Cash & Equivalents 1320 395 414 384  Short Term Investments - - - -  Total Receivables, Net 1034 85 89 96.72  Accounts Receivables - Trade, Net 1034 85 89 96.72  Total Inventory 3 5 2 2.64  Prepaid Expenses 7 2 2 4.65  Other Current Assets, Total 113 1 4 0.21","Cash and Short Term Investments 1320 395 414 384  Cash - - - -  Cash & Equivalents 1320 395 414 384  Short Term Investments - - - -  Total Receivables, Net 1034 85 89 96.72  Accounts Receivables - Trade, Net 1034 85 89 96.72  Total Inventory 3 5 2 2.64  Prepaid Expenses 7 2 2 4.65  Other Current Assets, Total 113 1 4 0.21","Cash and Short Term Investments 1320 395 414 384  Cash - - - -  Cash & Equivalents 1320 395 414 384  Short Term Investments - - - -  Total Receivables, Net 1034 85 89 96.72  Accounts Receivables - Trade, Net 1034 85 89 96.72  Total Inventory 3 5 2 2.64  Prepaid Expenses 7 2 2 4.65  Other Current Assets, Total 113 1 4 0.21","Cash and Short Term Investments 1320 395 414 384  Cash - - - -  Cash & Equivalents 1320 395 414 384  Short Term Investments - - - -  Total Receivables, Net 1034 85 89 96.72  Accounts Receivables - Trade, Net 1034 85 89 96.72  Total Inventory 3 5 2 2.64  Prepaid Expenses 7 2 2 4.65  Other Current Assets, Total 113 1 4 0.21"
Cash and Short Term Investments,1320,395,414,384
Cash,-,-,-,-
Cash & Equivalents,1320,395,414,384
Short Term Investments,-,-,-,-
"Total Receivables, Net",1034,85,89,96.72
"Accounts Receivables - Trade, Net",1034,85,89,96.72
Total Inventory,3,5,2,2.64
Prepaid Expenses,7,2,2,4.65
"Other Current Assets, Total",113,1,4,0.21
Total Assets,2821,512,542,579.8
"Property/Plant/Equipment, Total - Net 37 5 5 5.33  Property/Plant/Equipment, Total - Gross - 11.39 10.77 10.52  Accumulated Depreciation, Total - -6.25 -5.74 -5.19  Goodwill, Net - - - 66.39  Intangibles, Net 20 0.03 0.17 0.3  Long Term Investments 267 13 12 -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 1 1 19.57  Other Assets, Total -900 -74 -70 -","Property/Plant/Equipment, Total - Net 37 5 5 5.33  Property/Plant/Equipment, Total - Gross - 11.39 10.77 10.52  Accumulated Depreciation, Total - -6.25 -5.74 -5.19  Goodwill, Net - - - 66.39  Intangibles, Net 20 0.03 0.17 0.3  Long Term Investments 267 13 12 -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 1 1 19.57  Other Assets, Total -900 -74 -70 -","Property/Plant/Equipment, Total - Net 37 5 5 5.33  Property/Plant/Equipment, Total - Gross - 11.39 10.77 10.52  Accumulated Depreciation, Total - -6.25 -5.74 -5.19  Goodwill, Net - - - 66.39  Intangibles, Net 20 0.03 0.17 0.3  Long Term Investments 267 13 12 -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 1 1 19.57  Other Assets, Total -900 -74 -70 -","Property/Plant/Equipment, Total - Net 37 5 5 5.33  Property/Plant/Equipment, Total - Gross - 11.39 10.77 10.52  Accumulated Depreciation, Total - -6.25 -5.74 -5.19  Goodwill, Net - - - 66.39  Intangibles, Net 20 0.03 0.17 0.3  Long Term Investments 267 13 12 -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 1 1 19.57  Other Assets, Total -900 -74 -70 -","Property/Plant/Equipment, Total - Net 37 5 5 5.33  Property/Plant/Equipment, Total - Gross - 11.39 10.77 10.52  Accumulated Depreciation, Total - -6.25 -5.74 -5.19  Goodwill, Net - - - 66.39  Intangibles, Net 20 0.03 0.17 0.3  Long Term Investments 267 13 12 -  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 2 1 1 19.57  Other Assets, Total -900 -74 -70 -"
"Property/Plant/Equipment, Total - Net",37,5,5,5.33
"Property/Plant/Equipment, Total - Gross",-,11.39,10.77,10.52
"Accumulated Depreciation, Total",-,-6.25,-5.74,-5.19
"Goodwill, Net",-,-,-,66.39
"Intangibles, Net",20,0.03,0.17,0.3
Long Term Investments,267,13,12,-
Note Receivable - Long Term,-,-,-,-
"Other Long Term Assets, Total",2,1,1,19.57
"Other Assets, Total",-900,-74,-70,-
Total Current Liabilities,1878,134,168,190.26
