Period Ending:,202331/03,202231/03,202131/03,202031/03
Total Current Assets,2672,1515,1489,1377.22
"Cash and Short Term Investments 1340 292 447 208.74  Cash - - - -  Cash & Equivalents 1340 292 447 208.74  Short Term Investments - - - -  Total Receivables, Net 1193 1096 899 1000.27  Accounts Receivables - Trade, Net 1193 1096 899 1000.27  Total Inventory 3 4 23 16.79  Prepaid Expenses 96 89 85 94.47  Other Current Assets, Total 40 34 35 56.95","Cash and Short Term Investments 1340 292 447 208.74  Cash - - - -  Cash & Equivalents 1340 292 447 208.74  Short Term Investments - - - -  Total Receivables, Net 1193 1096 899 1000.27  Accounts Receivables - Trade, Net 1193 1096 899 1000.27  Total Inventory 3 4 23 16.79  Prepaid Expenses 96 89 85 94.47  Other Current Assets, Total 40 34 35 56.95","Cash and Short Term Investments 1340 292 447 208.74  Cash - - - -  Cash & Equivalents 1340 292 447 208.74  Short Term Investments - - - -  Total Receivables, Net 1193 1096 899 1000.27  Accounts Receivables - Trade, Net 1193 1096 899 1000.27  Total Inventory 3 4 23 16.79  Prepaid Expenses 96 89 85 94.47  Other Current Assets, Total 40 34 35 56.95","Cash and Short Term Investments 1340 292 447 208.74  Cash - - - -  Cash & Equivalents 1340 292 447 208.74  Short Term Investments - - - -  Total Receivables, Net 1193 1096 899 1000.27  Accounts Receivables - Trade, Net 1193 1096 899 1000.27  Total Inventory 3 4 23 16.79  Prepaid Expenses 96 89 85 94.47  Other Current Assets, Total 40 34 35 56.95","Cash and Short Term Investments 1340 292 447 208.74  Cash - - - -  Cash & Equivalents 1340 292 447 208.74  Short Term Investments - - - -  Total Receivables, Net 1193 1096 899 1000.27  Accounts Receivables - Trade, Net 1193 1096 899 1000.27  Total Inventory 3 4 23 16.79  Prepaid Expenses 96 89 85 94.47  Other Current Assets, Total 40 34 35 56.95"
Cash and Short Term Investments,1340,292,447,208.74
Cash,-,-,-,-
Cash & Equivalents,1340,292,447,208.74
Short Term Investments,-,-,-,-
"Total Receivables, Net",1193,1096,899,1000.27
"Accounts Receivables - Trade, Net",1193,1096,899,1000.27
Total Inventory,3,4,23,16.79
Prepaid Expenses,96,89,85,94.47
"Other Current Assets, Total",40,34,35,56.95
Total Assets,3444,2853,2581,2336.66
