Period Ending:,202230/06,202130/06,202030/06,201930/06
Total Current Assets,11537,11325.05,14439.69,12100.6
"Cash and Short Term Investments 8590 7580.54 5055.98 4754.86  Cash - - - -  Cash & Equivalents 8590 7580.54 5055.98 4754.86  Short Term Investments - - - -  Total Receivables, Net 2660 3556.43 9087.19 6786.68  Accounts Receivables - Trade, Net 2132 2631.24 6020.89 5496.6  Total Inventory 131 67.52 186.54 467.93  Prepaid Expenses 97 64.58 51.39 32.22  Other Current Assets, Total 59 55.99 58.59 58.9","Cash and Short Term Investments 8590 7580.54 5055.98 4754.86  Cash - - - -  Cash & Equivalents 8590 7580.54 5055.98 4754.86  Short Term Investments - - - -  Total Receivables, Net 2660 3556.43 9087.19 6786.68  Accounts Receivables - Trade, Net 2132 2631.24 6020.89 5496.6  Total Inventory 131 67.52 186.54 467.93  Prepaid Expenses 97 64.58 51.39 32.22  Other Current Assets, Total 59 55.99 58.59 58.9","Cash and Short Term Investments 8590 7580.54 5055.98 4754.86  Cash - - - -  Cash & Equivalents 8590 7580.54 5055.98 4754.86  Short Term Investments - - - -  Total Receivables, Net 2660 3556.43 9087.19 6786.68  Accounts Receivables - Trade, Net 2132 2631.24 6020.89 5496.6  Total Inventory 131 67.52 186.54 467.93  Prepaid Expenses 97 64.58 51.39 32.22  Other Current Assets, Total 59 55.99 58.59 58.9","Cash and Short Term Investments 8590 7580.54 5055.98 4754.86  Cash - - - -  Cash & Equivalents 8590 7580.54 5055.98 4754.86  Short Term Investments - - - -  Total Receivables, Net 2660 3556.43 9087.19 6786.68  Accounts Receivables - Trade, Net 2132 2631.24 6020.89 5496.6  Total Inventory 131 67.52 186.54 467.93  Prepaid Expenses 97 64.58 51.39 32.22  Other Current Assets, Total 59 55.99 58.59 58.9","Cash and Short Term Investments 8590 7580.54 5055.98 4754.86  Cash - - - -  Cash & Equivalents 8590 7580.54 5055.98 4754.86  Short Term Investments - - - -  Total Receivables, Net 2660 3556.43 9087.19 6786.68  Accounts Receivables - Trade, Net 2132 2631.24 6020.89 5496.6  Total Inventory 131 67.52 186.54 467.93  Prepaid Expenses 97 64.58 51.39 32.22  Other Current Assets, Total 59 55.99 58.59 58.9"
Cash and Short Term Investments,8590,7580.54,5055.98,4754.86
Cash,-,-,-,-
Cash & Equivalents,8590,7580.54,5055.98,4754.86
Short Term Investments,-,-,-,-
"Total Receivables, Net",2660,3556.43,9087.19,6786.68
"Accounts Receivables - Trade, Net",2132,2631.24,6020.89,5496.6
Total Inventory,131,67.52,186.54,467.93
Prepaid Expenses,97,64.58,51.39,32.22
"Other Current Assets, Total",59,55.99,58.59,58.9
Total Assets,13764,13423.53,16194.29,13679.56
"Property/Plant/Equipment, Total - Net 192 229.41 188.67 102.16  Property/Plant/Equipment, Total - Gross - 471.32 435.83 418.11  Accumulated Depreciation, Total - -241.91 -247.16 -315.95  Goodwill, Net - - - -  Intangibles, Net 28 28.69 24.35 16.14  Long Term Investments 1965 1381.6 1020.01 994.56  Note Receivable - Long Term 528 - - -  Other Long Term Assets, Total 2 458.78 521.57 466.09  Other Assets, Total -2430 - - -","Property/Plant/Equipment, Total - Net 192 229.41 188.67 102.16  Property/Plant/Equipment, Total - Gross - 471.32 435.83 418.11  Accumulated Depreciation, Total - -241.91 -247.16 -315.95  Goodwill, Net - - - -  Intangibles, Net 28 28.69 24.35 16.14  Long Term Investments 1965 1381.6 1020.01 994.56  Note Receivable - Long Term 528 - - -  Other Long Term Assets, Total 2 458.78 521.57 466.09  Other Assets, Total -2430 - - -","Property/Plant/Equipment, Total - Net 192 229.41 188.67 102.16  Property/Plant/Equipment, Total - Gross - 471.32 435.83 418.11  Accumulated Depreciation, Total - -241.91 -247.16 -315.95  Goodwill, Net - - - -  Intangibles, Net 28 28.69 24.35 16.14  Long Term Investments 1965 1381.6 1020.01 994.56  Note Receivable - Long Term 528 - - -  Other Long Term Assets, Total 2 458.78 521.57 466.09  Other Assets, Total -2430 - - -","Property/Plant/Equipment, Total - Net 192 229.41 188.67 102.16  Property/Plant/Equipment, Total - Gross - 471.32 435.83 418.11  Accumulated Depreciation, Total - -241.91 -247.16 -315.95  Goodwill, Net - - - -  Intangibles, Net 28 28.69 24.35 16.14  Long Term Investments 1965 1381.6 1020.01 994.56  Note Receivable - Long Term 528 - - -  Other Long Term Assets, Total 2 458.78 521.57 466.09  Other Assets, Total -2430 - - -","Property/Plant/Equipment, Total - Net 192 229.41 188.67 102.16  Property/Plant/Equipment, Total - Gross - 471.32 435.83 418.11  Accumulated Depreciation, Total - -241.91 -247.16 -315.95  Goodwill, Net - - - -  Intangibles, Net 28 28.69 24.35 16.14  Long Term Investments 1965 1381.6 1020.01 994.56  Note Receivable - Long Term 528 - - -  Other Long Term Assets, Total 2 458.78 521.57 466.09  Other Assets, Total -2430 - - -"
"Property/Plant/Equipment, Total - Net",192,229.41,188.67,102.16
"Property/Plant/Equipment, Total - Gross",-,471.32,435.83,418.11
"Accumulated Depreciation, Total",-,-241.91,-247.16,-315.95
"Goodwill, Net",-,-,-,-
"Intangibles, Net",28,28.69,24.35,16.14
Long Term Investments,1965,1381.6,1020.01,994.56
Note Receivable - Long Term,528,-,-,-
"Other Long Term Assets, Total",2,458.78,521.57,466.09
"Other Assets, Total",-2430,-,-,-
Total Current Liabilities,2598,2528.36,5488.88,3846.65
"Accounts Payable 1087 1346.74 3152.3 2028.42  Payable/Accrued - - - -  Accrued Expenses 24 24.57 104.39 95.2  Notes Payable/Short Term Debt 840 840 840 840  Current Port. of LT Debt/Capital Leases - 1.15 1.15 1.15  Other Current liabilities, Total 647 315.9 1391.04 881.88","Accounts Payable 1087 1346.74 3152.3 2028.42  Payable/Accrued - - - -  Accrued Expenses 24 24.57 104.39 95.2  Notes Payable/Short Term Debt 840 840 840 840  Current Port. of LT Debt/Capital Leases - 1.15 1.15 1.15  Other Current liabilities, Total 647 315.9 1391.04 881.88","Accounts Payable 1087 1346.74 3152.3 2028.42  Payable/Accrued - - - -  Accrued Expenses 24 24.57 104.39 95.2  Notes Payable/Short Term Debt 840 840 840 840  Current Port. of LT Debt/Capital Leases - 1.15 1.15 1.15  Other Current liabilities, Total 647 315.9 1391.04 881.88","Accounts Payable 1087 1346.74 3152.3 2028.42  Payable/Accrued - - - -  Accrued Expenses 24 24.57 104.39 95.2  Notes Payable/Short Term Debt 840 840 840 840  Current Port. of LT Debt/Capital Leases - 1.15 1.15 1.15  Other Current liabilities, Total 647 315.9 1391.04 881.88","Accounts Payable 1087 1346.74 3152.3 2028.42  Payable/Accrued - - - -  Accrued Expenses 24 24.57 104.39 95.2  Notes Payable/Short Term Debt 840 840 840 840  Current Port. of LT Debt/Capital Leases - 1.15 1.15 1.15  Other Current liabilities, Total 647 315.9 1391.04 881.88"
Accounts Payable,1087,1346.74,3152.3,2028.42
Payable/Accrued,-,-,-,-
Accrued Expenses,24,24.57,104.39,95.2
Notes Payable/Short Term Debt,840,840,840,840
Current Port. of LT Debt/Capital Leases,-,1.15,1.15,1.15
"Other Current liabilities, Total",647,315.9,1391.04,881.88
Total Liabilities,3221,3099.18,5937.8,4263.13
