Period Ending:,202231/12,202230/06,202131/12,202031/12
Total Current Assets,4255,3793,3467.36,3332.47
"Cash and Short Term Investments 1692 1038 1322.73 1153.91  Cash - - - -  Cash & Equivalents 1692 1038 1322.73 1153.91  Short Term Investments - - - -  Total Receivables, Net 21 20 23.64 9.63  Accounts Receivables - Trade, Net 21 20 23.64 9.63  Total Inventory - - - -  Prepaid Expenses - - 81.06 52.17  Other Current Assets, Total 2542 2735 2039.93 2116.76","Cash and Short Term Investments 1692 1038 1322.73 1153.91  Cash - - - -  Cash & Equivalents 1692 1038 1322.73 1153.91  Short Term Investments - - - -  Total Receivables, Net 21 20 23.64 9.63  Accounts Receivables - Trade, Net 21 20 23.64 9.63  Total Inventory - - - -  Prepaid Expenses - - 81.06 52.17  Other Current Assets, Total 2542 2735 2039.93 2116.76","Cash and Short Term Investments 1692 1038 1322.73 1153.91  Cash - - - -  Cash & Equivalents 1692 1038 1322.73 1153.91  Short Term Investments - - - -  Total Receivables, Net 21 20 23.64 9.63  Accounts Receivables - Trade, Net 21 20 23.64 9.63  Total Inventory - - - -  Prepaid Expenses - - 81.06 52.17  Other Current Assets, Total 2542 2735 2039.93 2116.76","Cash and Short Term Investments 1692 1038 1322.73 1153.91  Cash - - - -  Cash & Equivalents 1692 1038 1322.73 1153.91  Short Term Investments - - - -  Total Receivables, Net 21 20 23.64 9.63  Accounts Receivables - Trade, Net 21 20 23.64 9.63  Total Inventory - - - -  Prepaid Expenses - - 81.06 52.17  Other Current Assets, Total 2542 2735 2039.93 2116.76","Cash and Short Term Investments 1692 1038 1322.73 1153.91  Cash - - - -  Cash & Equivalents 1692 1038 1322.73 1153.91  Short Term Investments - - - -  Total Receivables, Net 21 20 23.64 9.63  Accounts Receivables - Trade, Net 21 20 23.64 9.63  Total Inventory - - - -  Prepaid Expenses - - 81.06 52.17  Other Current Assets, Total 2542 2735 2039.93 2116.76"
Cash and Short Term Investments,1692,1038,1322.73,1153.91
Cash,-,-,-,-
Cash & Equivalents,1692,1038,1322.73,1153.91
Short Term Investments,-,-,-,-
"Total Receivables, Net",21,20,23.64,9.63
"Accounts Receivables - Trade, Net",21,20,23.64,9.63
Total Inventory,-,-,-,-
Prepaid Expenses,-,-,81.06,52.17
"Other Current Assets, Total",2542,2735,2039.93,2116.76
Total Assets,43384,43095,33001.53,32652.73
"Property/Plant/Equipment, Total - Net 39100 39261 121.86 122.26  Property/Plant/Equipment, Total - Gross - - 169.11 157.19  Accumulated Depreciation, Total - - -47.25 -34.93  Goodwill, Net - - - -  Intangibles, Net - - 3.33 4.17  Long Term Investments - - 29265.29 29097.95  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 29 41 143.69 95.88  Other Assets, Total 2521 2715 - -","Property/Plant/Equipment, Total - Net 39100 39261 121.86 122.26  Property/Plant/Equipment, Total - Gross - - 169.11 157.19  Accumulated Depreciation, Total - - -47.25 -34.93  Goodwill, Net - - - -  Intangibles, Net - - 3.33 4.17  Long Term Investments - - 29265.29 29097.95  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 29 41 143.69 95.88  Other Assets, Total 2521 2715 - -","Property/Plant/Equipment, Total - Net 39100 39261 121.86 122.26  Property/Plant/Equipment, Total - Gross - - 169.11 157.19  Accumulated Depreciation, Total - - -47.25 -34.93  Goodwill, Net - - - -  Intangibles, Net - - 3.33 4.17  Long Term Investments - - 29265.29 29097.95  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 29 41 143.69 95.88  Other Assets, Total 2521 2715 - -","Property/Plant/Equipment, Total - Net 39100 39261 121.86 122.26  Property/Plant/Equipment, Total - Gross - - 169.11 157.19  Accumulated Depreciation, Total - - -47.25 -34.93  Goodwill, Net - - - -  Intangibles, Net - - 3.33 4.17  Long Term Investments - - 29265.29 29097.95  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 29 41 143.69 95.88  Other Assets, Total 2521 2715 - -","Property/Plant/Equipment, Total - Net 39100 39261 121.86 122.26  Property/Plant/Equipment, Total - Gross - - 169.11 157.19  Accumulated Depreciation, Total - - -47.25 -34.93  Goodwill, Net - - - -  Intangibles, Net - - 3.33 4.17  Long Term Investments - - 29265.29 29097.95  Note Receivable - Long Term - - - -  Other Long Term Assets, Total 29 41 143.69 95.88  Other Assets, Total 2521 2715 - -"
"Property/Plant/Equipment, Total - Net",39100,39261,121.86,122.26
"Property/Plant/Equipment, Total - Gross",-,-,169.11,157.19
"Accumulated Depreciation, Total",-,-,-47.25,-34.93
"Goodwill, Net",-,-,-,-
"Intangibles, Net",-,-,3.33,4.17
Long Term Investments,-,-,29265.29,29097.95
Note Receivable - Long Term,-,-,-,-
"Other Long Term Assets, Total",29,41,143.69,95.88
"Other Assets, Total",2521,2715,-,-
Total Current Liabilities,4538,4868,2769.84,8888.2
