Period Ending:,202230/09,202130/09,202030/09,201930/09
Total Current Assets,473,684.47,1055.26,1169.53
"Cash and Short Term Investments 104 121.51 316.16 448.69  Cash - - - -  Cash & Equivalents 104 121.51 316.16 448.69  Short Term Investments - - - -  Total Receivables, Net 59 82.11 304.93 270.57  Accounts Receivables - Trade, Net -3 19.38 29.61 155.56  Total Inventory 250 363.54 340.8 377.69  Prepaid Expenses 20 105.15 82.66 71.5  Other Current Assets, Total 40 12.16 10.71 1.08","Cash and Short Term Investments 104 121.51 316.16 448.69  Cash - - - -  Cash & Equivalents 104 121.51 316.16 448.69  Short Term Investments - - - -  Total Receivables, Net 59 82.11 304.93 270.57  Accounts Receivables - Trade, Net -3 19.38 29.61 155.56  Total Inventory 250 363.54 340.8 377.69  Prepaid Expenses 20 105.15 82.66 71.5  Other Current Assets, Total 40 12.16 10.71 1.08","Cash and Short Term Investments 104 121.51 316.16 448.69  Cash - - - -  Cash & Equivalents 104 121.51 316.16 448.69  Short Term Investments - - - -  Total Receivables, Net 59 82.11 304.93 270.57  Accounts Receivables - Trade, Net -3 19.38 29.61 155.56  Total Inventory 250 363.54 340.8 377.69  Prepaid Expenses 20 105.15 82.66 71.5  Other Current Assets, Total 40 12.16 10.71 1.08","Cash and Short Term Investments 104 121.51 316.16 448.69  Cash - - - -  Cash & Equivalents 104 121.51 316.16 448.69  Short Term Investments - - - -  Total Receivables, Net 59 82.11 304.93 270.57  Accounts Receivables - Trade, Net -3 19.38 29.61 155.56  Total Inventory 250 363.54 340.8 377.69  Prepaid Expenses 20 105.15 82.66 71.5  Other Current Assets, Total 40 12.16 10.71 1.08","Cash and Short Term Investments 104 121.51 316.16 448.69  Cash - - - -  Cash & Equivalents 104 121.51 316.16 448.69  Short Term Investments - - - -  Total Receivables, Net 59 82.11 304.93 270.57  Accounts Receivables - Trade, Net -3 19.38 29.61 155.56  Total Inventory 250 363.54 340.8 377.69  Prepaid Expenses 20 105.15 82.66 71.5  Other Current Assets, Total 40 12.16 10.71 1.08"
Cash and Short Term Investments,104,121.51,316.16,448.69
Cash,-,-,-,-
Cash & Equivalents,104,121.51,316.16,448.69
Short Term Investments,-,-,-,-
"Total Receivables, Net",59,82.11,304.93,270.57
"Accounts Receivables - Trade, Net",-3,19.38,29.61,155.56
Total Inventory,250,363.54,340.8,377.69
Prepaid Expenses,20,105.15,82.66,71.5
"Other Current Assets, Total",40,12.16,10.71,1.08
Total Assets,1426,1798.86,2183.12,2477.28
"Property/Plant/Equipment, Total - Net 522 571.75 633.25 717.3  Property/Plant/Equipment, Total - Gross - 1662.92 1633.12 1614.14  Accumulated Depreciation, Total - -1091.18 -999.87 -896.84  Goodwill, Net - - - 16.67  Intangibles, Net 236 340.81 295.48 308.8  Long Term Investments 190 14.52 5.67 10.21  Note Receivable - Long Term 46 138.99 119.07 79.43  Other Long Term Assets, Total 2 48.32 74.39 192.01  Other Assets, Total 250 - - -","Property/Plant/Equipment, Total - Net 522 571.75 633.25 717.3  Property/Plant/Equipment, Total - Gross - 1662.92 1633.12 1614.14  Accumulated Depreciation, Total - -1091.18 -999.87 -896.84  Goodwill, Net - - - 16.67  Intangibles, Net 236 340.81 295.48 308.8  Long Term Investments 190 14.52 5.67 10.21  Note Receivable - Long Term 46 138.99 119.07 79.43  Other Long Term Assets, Total 2 48.32 74.39 192.01  Other Assets, Total 250 - - -","Property/Plant/Equipment, Total - Net 522 571.75 633.25 717.3  Property/Plant/Equipment, Total - Gross - 1662.92 1633.12 1614.14  Accumulated Depreciation, Total - -1091.18 -999.87 -896.84  Goodwill, Net - - - 16.67  Intangibles, Net 236 340.81 295.48 308.8  Long Term Investments 190 14.52 5.67 10.21  Note Receivable - Long Term 46 138.99 119.07 79.43  Other Long Term Assets, Total 2 48.32 74.39 192.01  Other Assets, Total 250 - - -","Property/Plant/Equipment, Total - Net 522 571.75 633.25 717.3  Property/Plant/Equipment, Total - Gross - 1662.92 1633.12 1614.14  Accumulated Depreciation, Total - -1091.18 -999.87 -896.84  Goodwill, Net - - - 16.67  Intangibles, Net 236 340.81 295.48 308.8  Long Term Investments 190 14.52 5.67 10.21  Note Receivable - Long Term 46 138.99 119.07 79.43  Other Long Term Assets, Total 2 48.32 74.39 192.01  Other Assets, Total 250 - - -","Property/Plant/Equipment, Total - Net 522 571.75 633.25 717.3  Property/Plant/Equipment, Total - Gross - 1662.92 1633.12 1614.14  Accumulated Depreciation, Total - -1091.18 -999.87 -896.84  Goodwill, Net - - - 16.67  Intangibles, Net 236 340.81 295.48 308.8  Long Term Investments 190 14.52 5.67 10.21  Note Receivable - Long Term 46 138.99 119.07 79.43  Other Long Term Assets, Total 2 48.32 74.39 192.01  Other Assets, Total 250 - - -"
"Property/Plant/Equipment, Total - Net",522,571.75,633.25,717.3
"Property/Plant/Equipment, Total - Gross",-,1662.92,1633.12,1614.14
"Accumulated Depreciation, Total",-,-1091.18,-999.87,-896.84
"Goodwill, Net",-,-,-,16.67
"Intangibles, Net",236,340.81,295.48,308.8
Long Term Investments,190,14.52,5.67,10.21
Note Receivable - Long Term,46,138.99,119.07,79.43
"Other Long Term Assets, Total",2,48.32,74.39,192.01
"Other Assets, Total",250,-,-,-
Total Current Liabilities,876,882.8,1094.78,1263.91
"Accounts Payable 58 29.42 29.7 77.52  Payable/Accrued - - - -  Accrued Expenses 7 33.05 10.83 98.16  Notes Payable/Short Term Debt 435 484.28 650 520  Current Port. of LT Debt/Capital Leases 226 222.73 198.89 173.95  Other Current liabilities, Total 150 113.33 205.36 394.29","Accounts Payable 58 29.42 29.7 77.52  Payable/Accrued - - - -  Accrued Expenses 7 33.05 10.83 98.16  Notes Payable/Short Term Debt 435 484.28 650 520  Current Port. of LT Debt/Capital Leases 226 222.73 198.89 173.95  Other Current liabilities, Total 150 113.33 205.36 394.29","Accounts Payable 58 29.42 29.7 77.52  Payable/Accrued - - - -  Accrued Expenses 7 33.05 10.83 98.16  Notes Payable/Short Term Debt 435 484.28 650 520  Current Port. of LT Debt/Capital Leases 226 222.73 198.89 173.95  Other Current liabilities, Total 150 113.33 205.36 394.29","Accounts Payable 58 29.42 29.7 77.52  Payable/Accrued - - - -  Accrued Expenses 7 33.05 10.83 98.16  Notes Payable/Short Term Debt 435 484.28 650 520  Current Port. of LT Debt/Capital Leases 226 222.73 198.89 173.95  Other Current liabilities, Total 150 113.33 205.36 394.29","Accounts Payable 58 29.42 29.7 77.52  Payable/Accrued - - - -  Accrued Expenses 7 33.05 10.83 98.16  Notes Payable/Short Term Debt 435 484.28 650 520  Current Port. of LT Debt/Capital Leases 226 222.73 198.89 173.95  Other Current liabilities, Total 150 113.33 205.36 394.29"
Accounts Payable,58,29.42,29.7,77.52
Payable/Accrued,-,-,-,-
Accrued Expenses,7,33.05,10.83,98.16
Notes Payable/Short Term Debt,435,484.28,650,520
Current Port. of LT Debt/Capital Leases,226,222.73,198.89,173.95
"Other Current liabilities, Total",150,113.33,205.36,394.29
Total Liabilities,1847,1770.45,2140.42,1717.5
