Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Current Assets,4351,3031,1488.02,1422.17
"Cash and Short Term Investments 2199 1341 307.34 386.96  Cash - - - -  Cash & Equivalents 2199 1341 307.34 386.96  Short Term Investments - - - -  Total Receivables, Net 1986 1479 1094.21 865.08  Accounts Receivables - Trade, Net 1986 1479 1084.54 836.77  Total Inventory 52 112 13.4 17.44  Prepaid Expenses 103 95 57.66 52.76  Other Current Assets, Total 11 4 15.4 99.92","Cash and Short Term Investments 2199 1341 307.34 386.96  Cash - - - -  Cash & Equivalents 2199 1341 307.34 386.96  Short Term Investments - - - -  Total Receivables, Net 1986 1479 1094.21 865.08  Accounts Receivables - Trade, Net 1986 1479 1084.54 836.77  Total Inventory 52 112 13.4 17.44  Prepaid Expenses 103 95 57.66 52.76  Other Current Assets, Total 11 4 15.4 99.92","Cash and Short Term Investments 2199 1341 307.34 386.96  Cash - - - -  Cash & Equivalents 2199 1341 307.34 386.96  Short Term Investments - - - -  Total Receivables, Net 1986 1479 1094.21 865.08  Accounts Receivables - Trade, Net 1986 1479 1084.54 836.77  Total Inventory 52 112 13.4 17.44  Prepaid Expenses 103 95 57.66 52.76  Other Current Assets, Total 11 4 15.4 99.92","Cash and Short Term Investments 2199 1341 307.34 386.96  Cash - - - -  Cash & Equivalents 2199 1341 307.34 386.96  Short Term Investments - - - -  Total Receivables, Net 1986 1479 1094.21 865.08  Accounts Receivables - Trade, Net 1986 1479 1084.54 836.77  Total Inventory 52 112 13.4 17.44  Prepaid Expenses 103 95 57.66 52.76  Other Current Assets, Total 11 4 15.4 99.92","Cash and Short Term Investments 2199 1341 307.34 386.96  Cash - - - -  Cash & Equivalents 2199 1341 307.34 386.96  Short Term Investments - - - -  Total Receivables, Net 1986 1479 1094.21 865.08  Accounts Receivables - Trade, Net 1986 1479 1084.54 836.77  Total Inventory 52 112 13.4 17.44  Prepaid Expenses 103 95 57.66 52.76  Other Current Assets, Total 11 4 15.4 99.92"
Cash and Short Term Investments,2199,1341,307.34,386.96
Cash,-,-,-,-
Cash & Equivalents,2199,1341,307.34,386.96
Short Term Investments,-,-,-,-
"Total Receivables, Net",1986,1479,1094.21,865.08
"Accounts Receivables - Trade, Net",1986,1479,1084.54,836.77
Total Inventory,52,112,13.4,17.44
Prepaid Expenses,103,95,57.66,52.76
"Other Current Assets, Total",11,4,15.4,99.92
Total Assets,5114,3773,2184.16,1839.14
