Period Ending:,202131/07,202031/07,201931/07,201831/07
Total Current Assets,-,2596.74,1049.67,1197.61
"Cash and Short Term Investments - 1982.09 796.61 989.59  Cash - - - -  Cash & Equivalents - 1982.09 796.61 989.59  Short Term Investments - - - -  Total Receivables, Net - 268.68 22.53 28.15  Accounts Receivables - Trade, Net - 12.05 22.53 28.15  Total Inventory - 114.45 96.62 99.23  Prepaid Expenses - 86.98 75.36 74.67  Other Current Assets, Total - 144.54 58.56 5.97","Cash and Short Term Investments - 1982.09 796.61 989.59  Cash - - - -  Cash & Equivalents - 1982.09 796.61 989.59  Short Term Investments - - - -  Total Receivables, Net - 268.68 22.53 28.15  Accounts Receivables - Trade, Net - 12.05 22.53 28.15  Total Inventory - 114.45 96.62 99.23  Prepaid Expenses - 86.98 75.36 74.67  Other Current Assets, Total - 144.54 58.56 5.97","Cash and Short Term Investments - 1982.09 796.61 989.59  Cash - - - -  Cash & Equivalents - 1982.09 796.61 989.59  Short Term Investments - - - -  Total Receivables, Net - 268.68 22.53 28.15  Accounts Receivables - Trade, Net - 12.05 22.53 28.15  Total Inventory - 114.45 96.62 99.23  Prepaid Expenses - 86.98 75.36 74.67  Other Current Assets, Total - 144.54 58.56 5.97","Cash and Short Term Investments - 1982.09 796.61 989.59  Cash - - - -  Cash & Equivalents - 1982.09 796.61 989.59  Short Term Investments - - - -  Total Receivables, Net - 268.68 22.53 28.15  Accounts Receivables - Trade, Net - 12.05 22.53 28.15  Total Inventory - 114.45 96.62 99.23  Prepaid Expenses - 86.98 75.36 74.67  Other Current Assets, Total - 144.54 58.56 5.97","Cash and Short Term Investments - 1982.09 796.61 989.59  Cash - - - -  Cash & Equivalents - 1982.09 796.61 989.59  Short Term Investments - - - -  Total Receivables, Net - 268.68 22.53 28.15  Accounts Receivables - Trade, Net - 12.05 22.53 28.15  Total Inventory - 114.45 96.62 99.23  Prepaid Expenses - 86.98 75.36 74.67  Other Current Assets, Total - 144.54 58.56 5.97"
Cash and Short Term Investments,-,1982.09,796.61,989.59
Cash,-,-,-,-
Cash & Equivalents,-,1982.09,796.61,989.59
Short Term Investments,-,-,-,-
"Total Receivables, Net",-,268.68,22.53,28.15
"Accounts Receivables - Trade, Net",-,12.05,22.53,28.15
Total Inventory,-,114.45,96.62,99.23
Prepaid Expenses,-,86.98,75.36,74.67
"Other Current Assets, Total",-,144.54,58.56,5.97
Total Assets,-,12321.17,10480,9297.15
