Period Ending:,202231/12,202131/12,202031/12,201931/12
Total Current Assets,18073,16255,15726,19978
"Cash and Short Term Investments 9856 9717 8339 10215  Cash - - - -  Cash & Equivalents 9456 9717 8339 10215  Short Term Investments 400 - - -  Total Receivables, Net 2122 2232 2803 4005  Accounts Receivables - Trade, Net 1856 2199 2620 3980  Total Inventory 4680 3122 3451 4321  Prepaid Expenses 602 362 308 401  Other Current Assets, Total 813 822 825 1036","Cash and Short Term Investments 9856 9717 8339 10215  Cash - - - -  Cash & Equivalents 9456 9717 8339 10215  Short Term Investments 400 - - -  Total Receivables, Net 2122 2232 2803 4005  Accounts Receivables - Trade, Net 1856 2199 2620 3980  Total Inventory 4680 3122 3451 4321  Prepaid Expenses 602 362 308 401  Other Current Assets, Total 813 822 825 1036","Cash and Short Term Investments 9856 9717 8339 10215  Cash - - - -  Cash & Equivalents 9456 9717 8339 10215  Short Term Investments 400 - - -  Total Receivables, Net 2122 2232 2803 4005  Accounts Receivables - Trade, Net 1856 2199 2620 3980  Total Inventory 4680 3122 3451 4321  Prepaid Expenses 602 362 308 401  Other Current Assets, Total 813 822 825 1036","Cash and Short Term Investments 9856 9717 8339 10215  Cash - - - -  Cash & Equivalents 9456 9717 8339 10215  Short Term Investments 400 - - -  Total Receivables, Net 2122 2232 2803 4005  Accounts Receivables - Trade, Net 1856 2199 2620 3980  Total Inventory 4680 3122 3451 4321  Prepaid Expenses 602 362 308 401  Other Current Assets, Total 813 822 825 1036","Cash and Short Term Investments 9856 9717 8339 10215  Cash - - - -  Cash & Equivalents 9456 9717 8339 10215  Short Term Investments 400 - - -  Total Receivables, Net 2122 2232 2803 4005  Accounts Receivables - Trade, Net 1856 2199 2620 3980  Total Inventory 4680 3122 3451 4321  Prepaid Expenses 602 362 308 401  Other Current Assets, Total 813 822 825 1036"
Cash and Short Term Investments,9856,9717,8339,10215
Cash,-,-,-,-
Cash & Equivalents,9456,9717,8339,10215
Short Term Investments,400,-,-,-
"Total Receivables, Net",2122,2232,2803,4005
"Accounts Receivables - Trade, Net",1856,2199,2620,3980
Total Inventory,4680,3122,3451,4321
Prepaid Expenses,602,362,308,401
"Other Current Assets, Total",813,822,825,1036
Total Assets,20369,19243,19392,28788
